N	3gram	Propp_Isto	Otkroven
1	у него в	1	5
2	от него и	1	4
3	для того чтобы	1	3
4	с тем что	2	2
5	в этом мире	1	2
6	а не в	1	2
7	не может быть	5	2
8	ли сказать что	1	2
9	но и в	4	2
10	можно ли сказать	1	2
11	что у него	5	2
12	в самом начале	1	1
13	хотя и не	1	1
14	о том что	9	1
15	в том что	7	1
16	друг с другом	1	1
17	а иногда и	1	1
18	с того ни	1	1
19	в том-то и	2	1
20	и то что	1	1
21	ни с сего	1	1
22	в иных случаях	1	1
23	и когда он	1	1
24	и религиозное значение	1	1
25	как и в	3	1
26	и дело что	1	1
27	то что в	4	1
28	в самом деле	1	1
29	и не в	1	1
30	смысле этого слова	1	1
31	потому что у	2	1
32	не в форму	1	1
33	во всяком случае	3	1
34	не потому ли	1	1
35	в другом месте	2	1
36	как бы в	1	1
37	и на нем	1	1
38	о том как	3	1
39	ни с того	1	1
40	тем что у	1	1
41	между этими двумя	1	1
42	все что связано	1	1
43	на то что	1	1
44	но никогда не	1	1
45	том что в	2	1
46	он не только	1	1
47	того ни с	1	1
48	он подошел к	1	1
49	том-то и дело	1	1
50	после того как	4	1
51	никто не может	1	1
52	и не может	1	1
