N	3gram	Tiupa_Lite	Otkroven
1	для того чтобы	1	3
2	не могут быть	1	2
3	а не в	1	2
4	не может быть	5	2
5	нет ничего кроме	1	2
6	и в этом	1	2
7	в самом начале	1	1
8	так и не	1	1
9	о том что	3	1
10	в том что	15	1
11	никогда и нигде	1	1
12	все та же	2	1
13	и то что	2	1
14	он придет и	1	1
15	и когда он	1	1
16	у достоевского всегда	1	1
17	в виду не	2	1
18	в частности может	1	1
19	может быть назван	1	1
20	как например в	1	1
21	в самом деле	1	1
22	во всяком случае	2	1
23	это должно быть	1	1
24	в другом месте	1	1
25	во имя свободы	1	1
26	что человек всегда	1	1
27	и прежде всего	4	1
28	в этом отношении	5	1
29	человека в этом	1	1
30	а не только	1	1
31	на то что	1	1
32	в русской и	1	1
33	том что в	1	1
34	прежде всего в	4	1
35	преступления и наказания	1	1
36	в своей глубине	1	1
37	может быть он	1	1
38	после того как	1	1
39	в россии в	1	1
40	и не может	1	1
41	не в силах	1	1
