N	2gram	Medvedev_I	Vladivir
1	и в	1	116
2	и не	2	67
3	в этом	2	53
4	что в	2	48
5	и с	3	39
6	никогда не	1	29
7	для него	1	29
8	а в	1	27
9	а также	1	24
10	он не	2	23
11	по поводу	1	19
12	так и	1	19
13	того что	1	16
14	это было	1	15
15	того же	1	14
16	все эти	1	14
17	с а	1	14
18	жизни и	1	13
19	ничего не	2	12
20	есть только	1	12
21	я не	1	11
22	все это	1	11
23	и о	1	11
24	что для	1	10
25	и сам	1	9
26	с другой	1	9
27	а с	1	9
28	по существу	1	9
29	в целом	1	9
30	тем что	1	8
31	себя в	1	8
32	и и	1	8
33	после смерти	1	8
34	в них	1	7
35	если бы	1	7
36	того чтобы	1	7
37	нисколько не	1	7
38	то и	1	7
39	и очень	1	6
40	другой стороны	1	6
41	для того	1	6
42	и еще	1	5
43	утверждает что	1	5
44	это был	1	5
45	и без	1	5
46	во многом	1	5
47	только что	1	4
48	оба они	2	4
49	вплоть до	1	4
50	не так	1	4
51	тех же	1	4
52	же это	1	4
53	самого себя	2	3
54	но когда	1	3
55	в первую	1	3
56	на котором	1	3
57	бы в	1	3
58	бы его	1	3
59	и др	1	3
60	от нее	1	3
61	первую очередь	1	3
62	за границей	1	3
63	как о	1	3
64	а если	1	3
65	а по	1	3
66	был человек	1	2
67	только для	1	2
68	говорить о	1	2
69	о ней	1	2
70	его произведения	1	2
71	к отцу	1	2
72	последний не	1	2
73	от этого	1	2
74	могло бы	1	2
75	и тот	1	2
76	его личности	1	2
77	со всеми	1	2
78	нам в	1	2
79	в основе	1	2
80	нее и	1	2
81	них не	1	2
82	пушкина и	1	2
83	было не	1	2
84	факты и	1	1
85	человек никогда	1	1
86	и творчества	1	1
87	пишет и	1	1
88	другое дело	1	1
89	знакомство с	1	1
90	значительной мере	1	1
91	по отношению	1	1
92	не слишком	1	1
93	что при	1	1
94	бы что	2	1
95	видит в	1	1
96	этим и	1	1
97	очевидно что	1	1
98	человеке и	1	1
99	слишком много	1	1
100	а для	1	1
101	не дает	1	1
102	и та	1	1
103	когда его	1	1
104	и ничего	1	1
105	следовательно в	1	1
106	к нам	1	1
107	ничего в	1	1
108	странное и	1	1
109	и широко	1	1
110	и многое	1	1
111	более чем	1	1
112	автора и	1	1
113	ходить в	1	1
114	его полным	1	1
115	то она	1	1
116	всего творчества	1	1
117	неудивительно что	1	1
118	многое другое	1	1
119	что роман	1	1
120	для других	1	1
121	о жизни	1	1
122	еще одной	1	1
123	в руки	1	1
124	доказать что	1	1
125	в значительной	1	1
126	хотя его	1	1
127	и создавал	1	1
128	он с	1	1
