N	4gram	Trubetskoy	KulturaY
1	в то же время	10	6
2	одного и того же	1	4
3	заключается в том что	1	4
4	в том случае когда	1	3
5	в том случае если	3	3
6	только в том случае	2	3
7	и вместе с тем	2	3
8	лишь в том случае	2	3
9	только для того чтобы	1	3
10	точно так же как	1	3
11	о котором идет речь	2	2
12	что с точки зрения	1	2
13	в каждый данный момент	1	2
14	а в том что	1	2
15	можно сказать только то	1	1
16	что в большинстве случаев	1	1
17	и в этом случае	1	1
18	в том и в	2	1
19	от этого не меняется	1	1
20	или в лучшем случае	2	1
21	том и в другом	2	1
22	то это потому что	2	1
23	дело в том что	1	1
24	по себе еще не	1	1
25	и не может быть	1	1
26	что бы то ни	3	1
27	также и то что	1	1
28	сама по себе еще	1	1
29	и в другом случае	2	1
30	есть ничто иное как	1	1
31	сводится к тому что	1	1
32	свидетельствуют о том что	1	1
33	легко убедимся что в	1	1
34	и в том и	2	1
35	несмотря на то что	1	1
36	не трудно видеть что	1	1
37	бы то ни было	1	1
38	если бы речь шла	2	1
39	и с точки зрения	1	1
40	о которых идет речь	1	1
41	бы то ни стало	3	1
42	во всех этих случаях	1	1
43	во что бы то	3	1
44	на том основании что	1	1
