N	2gram	Tiupa_Disk	KulturaY
1	и в	27	84
2	в том	29	74
3	потому что	7	68
4	не только	36	60
5	точки зрения	6	59
6	в этом	29	57
7	было бы	1	53
8	и не	25	52
9	может быть	29	47
10	что в	8	44
11	том что	27	44
12	в самом	4	41
13	хотя бы	3	37
14	самом деле	2	37
15	с точки	3	36
16	в области	3	34
17	таким образом	4	33
18	а не	35	33
19	если бы	1	32
20	не в	8	30
21	в его	9	30
22	прежде всего	17	30
23	письменной речи	1	29
24	все же	8	29
25	не менее	6	28
26	того что	4	28
27	все эти	2	28
28	уже не	7	26
29	в языке	2	26
30	в силу	5	26
31	то что	10	25
32	вовсе не	1	25
33	не может	17	25
34	вопрос о	2	24
35	с другой	14	24
36	еще не	20	24
37	то же	12	23
38	с помощью	1	23
39	только в	9	23
40	так и	14	23
41	иными словами	1	22
42	тем не	1	21
43	по себе	3	20
44	во всяком	3	20
45	и что	2	20
46	но и	22	20
47	тем что	4	19
48	о том	12	19
49	речи в	2	19
50	что он	6	19
51	языка и	3	19
52	что же	4	19
53	всяком случае	2	19
54	но в	15	19
55	и с	2	18
56	с тем	1	18
57	к тому	6	18
58	в сущности	3	18
59	в качестве	45	18
60	связи с	4	18
61	между тем	5	18
62	вместе с	3	18
63	как бы	9	18
64	русском языке	1	18
65	все это	2	18
66	в той	2	17
67	можно говорить	2	17
68	другой стороны	5	17
69	как это	2	17
70	что это	1	17
71	слова и	2	17
72	как раз	1	17
73	это не	5	17
74	в виду	2	16
75	что и	5	16
76	что не	4	16
77	ничего не	1	16
78	но не	17	16
79	при этом	22	15
80	именно в	5	15
81	в данном	9	15
82	как на	1	15
83	в нашем	2	15
84	том чтобы	2	15
85	не было	9	15
86	и тем	2	15
87	один из	3	15
88	по отношению	13	15
89	ни к	11	15
90	целый ряд	2	15
91	только потому	1	15
92	а в	5	15
93	лишь в	4	15
94	должно быть	2	15
95	в них	6	14
96	и на	8	14
97	сказать что	4	14
98	хотя и	3	14
99	что такое	1	14
100	в связи	1	14
101	я не	1	14
102	сих пор	1	14
103	в ней	2	14
104	до сих	1	14
105	как мы	2	14
106	мы имеем	4	14
107	также и	6	14
108	отношению к	13	14
109	что она	1	13
110	к языку	1	13
111	крайней мере	3	13
112	в этой	5	13
113	там где	1	13
114	не случайно	2	13
115	не могут	2	13
116	в которых	5	13
117	по крайней	3	13
118	той же	2	13
119	это и	2	13
120	в пределах	4	13
121	и его	4	13
122	с этой	2	12
123	говорить о	3	12
124	в результате	3	12
125	но также	2	12
126	того же	5	12
127	а только	1	12
128	вопроса о	1	12
129	могут быть	5	12
130	как в	16	12
131	не трудно	1	12
132	этого слова	1	12
133	однако не	1	12
134	в рамках	11	12
135	для этого	1	12
136	те же	1	11
137	должен быть	1	11
138	в своем	11	11
139	речи и	2	11
140	он не	4	11
141	в нем	16	11
142	должна быть	2	11
143	и то	4	11
144	еще и	1	11
145	из этих	3	11
146	этом отношении	4	11
147	уже в	2	11
148	слова в	2	11
149	в их	5	11
150	в таких	1	11
151	в какой	2	11
152	или иной	8	11
153	в особенности	5	10
154	в первом	4	10
155	как и	27	10
156	речь идет	2	10
157	к этому	4	10
158	несмотря на	1	10
159	этом смысле	1	10
160	не просто	1	10
161	в то	8	10
162	со стороны	17	10
163	в каком	1	10
164	с этим	3	10
165	они не	2	10
166	бы и	1	10
167	на фоне	1	10
168	тем более	1	10
169	того или	3	10
170	в нашей	1	10
171	тем самым	6	10
172	от того	1	10
173	в своей	10	9
