N	2gram	Propp_Morf	Analitik
1	не только	8	71
2	тогда как	2	67
3	и в	17	66
4	в качестве	8	61
5	но и	9	57
6	в том	10	52
7	может быть	61	52
8	в этом	18	51
9	в частности	2	51
10	как и	4	50
11	и не	16	48
12	а не	11	42
13	в тексте	1	42
14	при этом	1	40
15	том что	7	40
16	так и	10	35
17	в мире	1	31
18	представляет собой	17	30
19	состоит в	3	30
20	как бы	6	29
21	не может	19	29
22	а в	8	28
23	в его	1	27
24	и его	3	27
25	не в	3	26
26	но не	8	26
27	в себе	1	24
28	что в	10	22
29	и даже	2	22
30	к тому	5	22
31	в этой	3	22
32	о том	6	20
33	то же	10	19
34	в своей	1	19
35	по отношению	7	19
36	с его	3	19
37	но в	4	19
38	в данном	2	18
39	в то	4	18
40	отношению к	7	18
41	с другой	9	17
42	только в	3	17
43	со стороны	5	17
44	или иной	1	17
45	в целом	5	17
46	что и	10	16
47	могут быть	21	16
48	то что	10	16
49	в пределах	3	16
50	и на	1	15
51	не есть	1	15
52	между тем	5	15
53	уже не	4	15
54	прежде всего	14	15
55	в сущности	3	15
56	в их	1	15
57	в рамках	1	15
58	не менее	7	14
59	себя в	2	14
60	той или	1	14
61	мы имеем	19	14
62	же время	1	14
63	данном случае	2	14
64	отличие от	1	14
65	далеко не	5	14
66	точки зрения	7	13
67	он не	5	13
68	ничего не	5	13
69	как раз	1	13
70	для него	2	13
71	а также	7	13
72	в начале	3	13
73	и к	4	12
74	как это	7	12
75	в первой	1	12
76	как в	5	12
77	еще не	4	12
78	есть не	1	12
79	в той	1	11
80	даже в	1	11
81	в свою	1	11
82	это не	6	11
83	можно сказать	2	11
84	и как	6	11
85	во второй	2	11
86	не с	2	11
87	именно в	1	10
88	все же	9	10
89	с одной	2	10
90	было бы	5	10
91	однако в	2	10
92	подобно тому	6	10
93	отношения к	1	10
94	здесь не	3	10
95	научного описания	1	10
96	со своей	1	10
97	того или	1	10
98	один из	7	10
99	говорить о	4	9
100	не столько	1	9
101	в результате	8	9
102	другой стороны	5	9
103	одной стороны	2	9
104	свою очередь	1	9
105	таким образом	26	9
106	во всех	6	9
107	в русской	1	9
108	вступает в	1	9
109	тому как	5	9
110	того что	3	9
111	как уже	3	9
112	что касается	1	9
113	дело с	1	8
114	о чем	1	8
115	роль в	2	8
116	не всегда	10	8
117	между двумя	1	8
118	одной из	2	8
119	о его	4	8
120	если бы	3	8
121	и все	1	8
122	что он	5	8
123	перед нами	14	8
124	не является	4	8
125	в основе	2	8
126	с точки	6	8
127	хотя и	5	8
128	этом отношении	2	8
129	дело не	2	8
130	в ходе	5	8
131	во всяком	2	7
132	в другом	2	7
133	в одном	2	7
134	как мы	8	7
135	в нашем	6	7
136	который в	2	7
137	одна из	5	7
138	несмотря на	4	7
139	в ее	1	7
140	у него	2	7
141	в таком	1	7
142	героя и	3	7
143	и тем	3	7
144	в свое	2	7
145	приводит к	3	7
146	собственно говоря	1	7
147	всяком случае	2	7
148	и для	4	7
149	все это	2	7
150	таком случае	1	7
151	на его	5	7
152	себя и	2	7
153	что иное	2	7
154	как будто	2	7
155	вплоть до	1	7
156	иное как	2	7
157	во всем	1	6
158	для всех	1	6
159	те же	1	6
160	или в	6	6
161	хотя бы	5	6
162	превращается в	2	6
163	не что	2	6
164	с другим	1	6
165	вовсе не	6	6
166	из них	4	6
167	то в	3	6
168	тем не	7	6
169	не знает	2	6
170	что не	1	6
171	вопроса о	3	6
172	о себе	1	6
173	не будет	1	6
174	могла бы	4	6
175	в силу	1	6
176	он был	1	6
177	если в	7	6
178	на этом	4	6
179	из которых	5	6
180	не более	1	6
181	и более	2	6
182	из этих	2	6
183	более чем	1	6
184	и то	1	6
185	ответ на	2	6
186	читателя в	1	6
187	есть в	1	6
188	по его	1	6
189	его в	4	6
190	же в	3	6
191	все что	1	5
192	не так	2	5
193	не как	1	5
194	а затем	10	5
195	в этих	17	5
196	в них	1	5
197	по пути	1	5
198	в первом	5	5
199	мысль о	1	5
200	тем что	4	5
201	в один	3	5
