N	3gram	Berdyaev_N	OGranits
1	не может быть	4	4
2	есть прежде всего	1	3
3	в том что	1	2
4	в зависимости от	1	2
5	с одной стороны	2	2
6	с другой стороны	2	2
7	в человеческом обществе	1	1
8	это конечно не	1	1
9	равно как и	2	1
10	подобно тому как	3	1
11	они считают себя	1	1
12	так же как	2	1
13	мы должны перейти	1	1
14	только потому что	1	1
15	что в этом	1	1
16	в отличие от	1	1
17	выходит за пределы	1	1
18	как и в	1	1
19	то что в	1	1
20	о переходе от	1	1
21	та или иная	1	1
22	вступает в свои	1	1
23	в свои права	2	1
24	не должно быть	1	1
25	можно было бы	1	1
26	и вместе с	1	1
27	и не может	1	1
