N	2gram	Tiupa_Hudo	EvropaiC
1	таким образом	3	34
2	в том	20	31
3	и в	23	24
4	том что	9	20
5	все эти	2	19
6	то что	5	18
7	не может	9	18
8	может быть	19	17
9	все же	1	15
10	точки зрения	11	14
11	в этом	12	13
12	все это	2	13
13	самом деле	2	12
14	с этим	1	12
15	между тем	4	12
16	в своем	4	12
17	по отношению	10	11
18	но и	14	11
19	отношению к	10	11
20	все что	1	10
21	не только	20	10
22	так и	12	10
23	как и	3	10
24	культуры в	3	10
25	во всех	3	10
26	как бы	11	10
27	что в	7	9
28	при этом	19	9
29	в результате	1	9
30	не в	9	9
31	и не	16	9
32	потому что	3	9
33	и что	4	9
34	на то	1	9
35	того же	3	9
36	в самом	7	8
37	с точки	3	8
38	чем у	1	8
39	более или	6	8
40	или менее	6	8
41	к тому	4	8
42	для того	5	8
43	если бы	3	8
44	того чтобы	5	8
45	так же	2	8
46	а и	1	8
47	из этих	3	8
48	так как	1	7
49	того что	5	7
50	приобщение к	1	7
51	что и	2	7
52	что он	5	7
53	не менее	5	7
54	о котором	1	7
55	из этого	2	7
56	о том	2	7
57	вместе с	1	7
58	по своей	7	7
59	в этой	2	7
60	в сознании	1	7
61	в силу	4	7
62	для этого	1	7
63	и на	3	6
64	несмотря на	2	6
65	с ним	2	6
66	только в	7	6
67	тому же	1	6
68	от друга	1	6
69	в мире	24	6
70	отличается от	2	6
71	друг от	1	6
72	еще не	4	6
73	все они	1	6
74	так что	1	6
75	тогда как	15	6
76	что касается	1	6
77	в каждый	1	6
78	начало и	2	6
79	с другой	9	6
80	в то	8	6
81	и для	3	6
82	и к	3	5
83	как к	5	5
84	должно быть	1	5
85	тех кто	1	5
86	в состоянии	1	5
87	в его	11	5
88	что это	1	5
89	другой стороны	6	5
90	у него	2	5
91	его в	4	5
92	так или	4	5
93	в которой	3	5
94	или иначе	5	5
95	именно в	2	5
96	эволюции человечества	1	5
97	и без	1	5
98	по своему	3	5
99	случае если	1	5
100	быть и	2	5
101	не будет	3	5
102	между двумя	2	5
103	далеко не	4	5
104	лишь в	7	5
105	так называемого	1	5
106	в себе	13	5
107	и от	1	5
108	что все	1	5
109	столь же	2	5
110	как будто	1	5
111	в целом	3	5
112	из них	1	5
113	но в	10	5
114	иначе говоря	5	4
115	не так	1	4
116	и то	4	4
117	на вопрос	1	4
118	из того	1	4
119	этом случае	1	4
120	хотя и	4	4
121	тем не	3	4
122	из которых	2	4
123	в европейской	2	4
124	все прочие	3	4
125	в их	5	4
126	связи с	3	4
127	что его	1	4
128	одним из	2	4
129	в конце	1	4
130	в таком	3	4
131	не есть	1	4
132	не могут	1	4
133	между собой	2	4
134	как сказано	1	4
135	том случае	1	4
136	а с	2	4
137	данный момент	2	4
138	то ни	2	4
139	в такой	1	4
140	для меня	2	4
141	и т.д	4	4
142	отношение к	7	4
143	что для	1	4
144	том же	1	4
145	и конец	2	4
146	в области	8	4
147	культуры как	1	4
148	он не	4	4
149	если мы	2	4
150	есть культура	1	4
151	то же	12	4
152	никогда не	2	4
153	бы то	2	3
154	на почве	4	3
155	от него	1	3
156	и по	2	3
157	с одной	3	3
158	даже в	3	3
159	ни было	2	3
160	в нашем	2	3
161	как у	1	3
162	для нас	1	3
163	прежде всего	5	3
164	у нас	1	3
165	одно из	2	3
166	в этих	4	3
167	что по	1	3
168	в нем	6	3
169	заключается в	2	3
170	в жизни	3	3
171	можно назвать	1	3
172	в связи	3	3
173	не подлежит	1	3
174	же как	1	3
175	на земле	1	3
176	настоящее время	1	3
177	в истории	1	3
178	может не	1	3
179	вследствие этого	2	3
180	и это	2	3
181	в сторону	2	3
182	тем более	2	3
183	и того	3	3
184	и потому	2	3
185	в данном	4	3
186	отличие от	7	3
187	и может	2	3
188	с этой	3	3
189	может служить	2	3
190	это не	4	3
191	тем самым	5	3
192	не вполне	2	3
193	в совершенно	1	3
194	каждый из	1	3
195	а в	13	3
196	было бы	1	3
197	как мы	1	3
198	но не	13	3
199	бы в	1	3
200	в настоящее	1	3
201	одного и	3	3
202	тот же	1	3
203	с которыми	1	2
204	представить себе	1	2
205	к такому	1	2
206	что они	1	2
207	только не	1	2
208	во втором	4	2
209	образом и	2	2
210	но на	2	2
211	многих других	1	2
212	то есть	26	2
213	то в	2	2
214	для себя	4	2
215	начале этой	1	2
216	для него	5	2
217	тем как	1	2
218	те же	1	2
219	а затем	2	2
220	то и	1	2
221	но как	2	2
222	не от	2	2
223	в виду	5	2
224	сводится к	11	2
225	том и	2	2
226	однако при	3	2
227	но с	1	2
228	в своих	1	2
229	не было	1	2
230	все то	1	2
231	не знает	4	2
232	и некоторые	2	2
233	и сам	3	2
234	из нее	1	2
235	и где	1	2
236	на нее	1	2
237	то с	1	2
238	вовсе не	2	2
239	но для	1	2
240	этом что	1	2
241	жизни и	1	2
242	и будет	1	2
243	то время	1	2
244	если он	1	2
245	между этими	1	2
246	тому что	2	2
247	имеет место	3	2
248	я не	2	2
249	между ними	5	2
250	с ними	2	2
251	их в	3	2
252	есть в	3	2
253	между прочим	1	2
254	в одно	2	2
255	при таком	1	2
256	никто не	3	2
257	однако это	1	2
258	они не	1	2
259	себя и	3	2
260	поскольку такое	1	2
261	не имеет	1	2
262	со своей	4	2
263	приобщения к	1	2
264	ему и	1	2
265	зависимости от	1	2
266	в себя	4	2
267	ни для	2	2
268	более как	1	2
269	на каждом	1	2
270	нет в	1	2
271	должен быть	2	2
272	при виде	1	2
273	по его	1	2
274	в них	2	2
275	вступают в	1	2
276	этих двух	2	2
277	и состоит	3	2
278	со временем	2	2
279	а для	2	2
280	в основе	7	2
281	и более	2	2
282	в котором	1	2
283	на этом	2	2
284	по тем	1	2
285	эти последние	1	2
286	совершенно иной	2	2
287	что несмотря	1	2
288	время от	1	2
289	нам всегда	1	2
290	к нему	3	2
291	в свою	3	2
292	именно потому	1	2
293	одной стороны	3	2
294	можно лишь	1	2
295	также и	1	2
296	ту же	1	2
297	одну из	1	2
298	только мы	1	2
299	в другом	4	2
300	и поэтому	1	2
301	культуры ибо	1	2
302	не более	1	2
303	говорить о	4	2
304	в противоречие	1	2
305	тех же	1	2
306	заключает в	1	2
307	не следует	4	2
308	только то	1	2
309	и те	1	2
310	же время	7	2
311	от своей	1	2
312	это может	2	2
313	свою очередь	2	2
314	я в	13	2
315	к ним	1	2
316	между людьми	1	2
317	общего с	1	2
318	той же	1	2
319	при условии	2	2
320	на первый	1	2
321	только при	1	2
322	по этому	1	2
323	во всей	3	2
324	все без	1	2
325	что она	2	2
326	в частности	18	2
327	одна из	2	2
328	этого слова	2	2
329	в сущности	1	2
330	но если	1	2
331	и его	12	2
332	от себя	3	2
333	отнюдь не	2	2
334	в отдельных	1	2
335	в точке	3	2
336	с ее	6	2
337	тем же	1	2
338	в самой	2	2
339	они могут	1	2
340	пришлось бы	1	2
341	и особенно	2	2
342	и ее	3	2
343	друг друга	1	2
344	он должен	3	2
345	открытие и	1	1
346	на время	2	1
347	всего в	1	1
348	культура есть	1	1
349	начиная с	2	1
350	не происходит	1	1
351	к действительности	3	1
352	и другие	2	1
353	на деле	3	1
354	между всеми	1	1
355	не принадлежат	2	1
356	и идет	1	1
357	которой я	1	1
358	в другой	1	1
359	в состав	6	1
360	для всех	1	1
361	мы видим	1	1
362	в более	1	1
363	произведение и	1	1
364	один из	2	1
365	вступить в	1	1
366	это делает	1	1
367	за ним	1	1
368	отношении оказывается	1	1
369	чужой психики	1	1
370	же и	1	1
371	не во	1	1
372	и свою	1	1
373	но из	1	1
374	если в	1	1
375	то я	1	1
