N	2gram	Tiupa_Lite	SlovoVZh
1	не может	10	16
2	может быть	24	14
3	точки зрения	8	14
4	как бы	8	13
5	и его	7	13
6	таким образом	4	12
7	и в	26	12
8	отношению к	4	11
9	по отношению	6	11
10	в нашем	2	11
11	и не	19	10
12	так как	2	9
13	если бы	1	9
14	прежде всего	14	8
15	для нас	3	7
16	сказать что	1	7
17	художественного произведения	1	7
18	все время	1	6
19	в ней	4	6
20	слова и	6	6
21	в том	22	6
22	только в	8	6
23	в нем	4	6
24	при этом	23	6
25	и др	4	5
26	можно сказать	1	5
27	героя и	2	5
28	хотя бы	3	5
29	должна быть	3	5
30	то же	13	5
31	к предмету	1	5
32	а не	28	5
33	в виду	4	5
34	то что	14	5
35	в жизни	7	5
36	как и	13	5
37	как в	5	5
38	отнюдь не	4	5
39	том что	19	5
40	но в	5	5
41	никогда не	5	5
42	в самом	4	4
43	и к	1	4
44	в литературе	2	4
45	и на	5	4
46	к материалу	1	4
47	материала и	1	4
48	не только	29	4
49	ни было	2	4
50	и является	2	4
51	на самом	1	4
52	за пределы	3	4
53	его в	4	4
54	с другой	11	4
55	не в	11	4
56	дело в	3	4
57	отношение к	1	4
58	что не	3	4
59	так и	7	4
60	уже не	9	4
61	жизни и	6	4
62	в этом	19	4
63	все же	6	4
64	зависимости от	1	4
65	художественного события	1	4
66	к нему	1	4
67	бы то	1	3
68	как к	4	3
69	и с	4	3
70	только ему	1	3
71	ее и	1	3
72	находит свое	1	3
73	до сих	1	3
74	это как	3	3
75	и более	1	3
76	в котором	1	3
77	и по	1	3
78	в поэзии	4	3
79	мы не	5	3
80	то ни	1	3
81	или не	1	3
82	между тем	2	3
83	для него	6	3
84	отношении к	2	3
85	с ним	2	3
86	того что	7	3
87	и уже	1	3
88	когда он	1	3
89	тем не	4	3
90	в некоторых	1	3
91	имеет в	1	3
92	с автором	1	3
93	в пределах	4	3
94	так же	1	3
95	в них	1	3
96	в каком	1	3
97	в творчестве	2	3
98	этой точки	3	3
99	самом деле	2	3
100	только на	3	3
101	но для	1	3
102	в себе	8	3
103	произведения и	1	3
104	все эти	2	3
105	о том	3	3
106	в своей	5	3
107	здесь не	1	3
108	не менее	11	3
109	из этого	2	3
110	за окном	1	3
111	в художественном	6	3
112	художественного творчества	3	3
113	в такой	1	3
114	нуждается в	3	3
115	да и	3	3
116	но и	25	3
117	и для	1	3
118	художественное произведение	2	3
119	и наконец	2	3
120	сих пор	1	3
121	не к	3	3
122	еще не	4	3
123	в особенности	2	2
124	что в	7	2
125	все они	2	2
126	нет ничего	2	2
127	перестает быть	5	2
128	но это	2	2
129	не так	1	2
130	и потому	1	2
131	ни на	1	2
132	и то	3	2
133	мы можем	1	2
134	в данном	7	2
135	в душе	3	2
136	произведение и	1	2
137	в то	12	2
138	в словесном	1	2
139	как форма	1	2
140	слово это	1	2
141	на один	2	2
142	данном случае	6	2
143	в момент	1	2
144	нас и	1	2
145	в основном	1	2
146	с одной	9	2
147	уже в	7	2
148	в его	9	2
149	с этой	6	2
150	она не	1	2
151	это не	4	2
152	одной стороны	8	2
153	автора и	1	2
154	относится к	3	2
155	как уже	3	2
156	дело с	1	2
157	с точки	4	2
158	мы имеем	2	2
159	была бы	1	2
160	искусства и	6	2
161	эти и	2	2
162	на него	1	2
163	тем как	1	2
164	тогда когда	1	2
165	в себя	5	2
166	от всех	2	2
167	в формах	4	2
168	но тем	4	2
169	как это	9	2
170	любит и	1	2
171	но все	1	2
172	но зато	2	2
173	мы в	3	2
174	и вражды	1	2
175	одно и	1	2
176	общения и	1	2
177	и что	2	2
178	что и	3	2
179	в отношении	2	2
180	о ком	1	2
181	почти исключительно	1	2
182	другой стороны	5	2
183	и вполне	3	2
184	и те	1	2
185	в этих	2	2
186	тому же	2	2
187	а к	2	2
188	на это	2	2
189	в материале	1	2
190	общей для	2	2
191	и здесь	1	2
192	как на	3	2
193	и все	1	2
194	кругозора и	1	2
195	но не	8	2
196	общего с	3	2
197	не есть	2	2
198	могут быть	4	2
199	с другими	1	2
200	до конца	3	2
201	не остается	2	2
202	стороны и	1	2
203	в своем	12	2
204	в какой	2	2
205	имеет место	1	2
206	вместе с	5	2
207	между ними	1	2
208	в зависимости	1	2
209	к его	1	2
210	может стать	1	2
211	лежит на	1	2
212	каком отношении	1	2
213	такой же	3	2
214	мы никогда	1	2
215	подобные им	2	2
216	с его	5	2
217	себя и	3	2
218	к этому	2	2
219	бы не	3	2
220	он не	4	2
221	в условиях	1	2
222	что слово	1	2
223	в чем	2	2
224	но мы	1	2
225	и подобные	2	2
226	едва ли	5	2
227	ничего не	3	2
228	возможна только	1	2
229	более того	1	2
230	однако остается	1	1
231	все в	1	1
232	в русской	13	1
233	к одному	1	1
234	себе в	3	1
235	в романтизме	1	1
236	было на	1	1
237	то в	3	1
238	одним и	1	1
239	во всяком	3	1
240	нам не	1	1
241	от него	2	1
242	лишь отраженные	1	1
243	в стиле	1	1
244	что они	1	1
245	является в	1	1
246	автор герой	3	1
247	входя в	1	1
248	и закрепленные	1	1
249	то он	3	1
250	в искусстве	4	1
251	во всех	4	1
252	стороны к	1	1
253	только из	1	1
254	не является	3	1
255	и политического	1	1
256	а с	2	1
257	если оно	2	1
258	и он	3	1
259	этой задачи	1	1
260	что современная	1	1
261	это делает	1	1
262	та же	2	1
263	по преимуществу	6	1
264	виду не	2	1
265	ты или	2	1
266	с самого	1	1
267	приближается к	1	1
268	в обществе	1	1
269	произведения с	2	1
270	выходит за	1	1
271	закрепленные в	1	1
272	он или	1	1
273	автора по	1	1
274	основе своей	1	1
275	социальной структурой	1	1
276	природы это	1	1
277	на этом	3	1
278	сказано в	3	1
279	бы но	1	1
280	и было	1	1
281	то есть	11	1
282	предметы и	1	1
283	читательской массой	1	1
284	становится лишь	1	1
285	в лучшем	1	1
286	должно быть	1	1
287	и который	1	1
288	даже и	2	1
289	и того	2	1
290	не поддающегося	1	1
291	третьем лице	2	1
292	и вот	2	1
293	ненависть к	1	1
294	в произведении	1	1
295	но при	2	1
296	героя в	2	1
297	особого рода	3	1
298	в свою	2	1
299	в значительной	1	1
300	только и	1	1
301	только как	1	1
302	случае мы	1	1
303	отраженные и	1	1
304	что уже	1	1
305	того чтобы	1	1
306	не должен	3	1
307	он как	1	1
308	другой все	1	1
309	в основе	5	1
310	не должно	1	1
311	и иных	2	1
312	ту же	4	1
313	на основе	2	1
314	в другом	3	1
315	и менее	1	1
316	тому как	4	1
317	несмотря на	3	1
318	но эти	1	1
319	автора героя	1	1
320	герой и	1	1
321	герой нашего	1	1
322	обстоит дело	1	1
323	к общему	3	1
324	высшую степень	1	1
325	во многих	3	1
326	второй план	1	1
327	что это	1	1
328	событии художественного	1	1
329	этом отношении	5	1
330	это уже	2	1
331	в новой	1	1
332	что осталось	1	1
333	в ее	1	1
334	существенный момент	1	1
335	и тем	4	1
336	и т.п	14	1
337	в руках	2	1
338	кажется что	1	1
339	остается только	1	1
340	проникает в	1	1
341	классический случай	1	1
342	какой бы	1	1
343	в частности	18	1
344	говорит о	1	1
345	нашего времени	2	1
346	для нее	2	1
347	не как	4	1
348	аналогии с	3	1
349	литературе и	1	1
350	со всей	2	1
351	окружающей его	2	1
352	и вся	1	1
353	пути в	8	1
354	пределы искусства	1	1
355	в слово	1	1
356	в качестве	21	1
357	и некоторые	1	1
358	или иных	2	1
359	каждое слово	1	1
360	всей жизни	1	1
361	потому не	1	1
362	выступает здесь	1	1
363	поэта в	1	1
364	в одном	2	1
365	в области	5	1
366	одно из	3	1
367	искусством и	1	1
368	у нас	5	1
369	с жизнью	2	1
370	частности в	1	1
371	можно было	3	1
372	быть ни	1	1
373	бы они	1	1
374	кто не	1	1
375	однако он	1	1
376	ценности и	1	1
377	в результате	2	1
378	к делу	1	1
379	же он	1	1
380	ни были	1	1
381	иных приемов	1	1
382	множественного числа	1	1
383	сводится к	4	1
384	для них	2	1
385	не бывает	2	1
386	более и	1	1
387	значительной степени	1	1
388	в поэтике	1	1
389	с ней	1	1
390	подобно тому	4	1
391	природу и	1	1
392	далеко не	4	1
393	только то	3	1
394	уже и	1	1
395	не вполне	1	1
396	у него	5	1
397	не на	2	1
398	в истории	1	1
399	не могут	1	1
400	все равно	1	1
401	дела с	1	1
402	же время	12	1
403	в виде	1	1
404	о литературе	2	1
405	к которой	1	1
406	и общества	1	1
407	отношения между	3	1
408	самого начала	1	1
409	еще один	1	1
410	непосредственно в	1	1
411	в большинстве	1	1
412	и последовательное	1	1
413	свою очередь	2	1
414	в конечном	9	1
415	три существенных	1	1
416	не было	5	1
417	не уверен	1	1
418	как например	1	1
419	связи с	7	1
420	для эстетики	1	1
421	к кому-то	1	1
422	их но	1	1
423	между людьми	1	1
424	события со	1	1
425	все то	2	1
426	каковы бы	1	1
427	здесь мы	1	1
428	с ее	3	1
429	того кто	2	1
430	было бы	4	1
431	не знает	3	1
432	образом не	1	1
433	к тому	3	1
434	люди не	1	1
435	из двух	1	1
436	людьми лишь	1	1
437	героя с	2	1
438	сознания не	2	1
439	так называемый	3	1
440	как ближайшего	1	1
441	и мы	2	1
442	его носителя	1	1
443	не нуждается	1	1
444	как мы	2	1
445	общего для	1	1
446	это мы	1	1
447	что нам	1	1
448	по аналогии	3	1
449	обнимает все	1	1
450	бытия и	1	1
451	и о	1	1
452	издательского дела	1	1
453	руках у	1	1
454	показать что	1	1
455	и тому	1	1
456	что для	2	1
457	с первого	1	1
458	если мы	1	1
459	тем же	5	1
460	него не	1	1
461	от всего	1	1
462	и эта	1	1
463	стиля как	1	1
464	не те	1	1
465	наряду с	1	1
466	и во	1	1
467	именно в	1	1
468	поэзию не	1	1
469	уже на	1	1
470	словесном материале	1	1
471	конечном счете	8	1
472	мы это	1	1
473	не можем	2	1
474	искусства как	2	1
475	в таком	1	1
476	следующим образом	2	1
477	например в	3	1
478	что я	4	1
479	само собою	1	1
480	тот же	1	1
481	положение в	1	1
482	за пределами	1	1
483	и признания	1	1
484	а одно	1	1
485	имеем дело	2	1
486	время не	2	1
487	это ни	1	1
488	и без	1	1
489	как о	1	1
490	т.е как	1	1
491	себе не	2	1
492	столь же	5	1
493	том же	3	1
494	в общем	1	1
495	подхода к	1	1
496	своего героя	2	1
497	есть в	1	1
498	же как	3	1
499	исходит из	3	1
500	места в	1	1
501	в переводе	1	1
502	рядом с	1	1
503	из его	2	1
504	и прежде	4	1
505	со специфической	1	1
506	в слове	3	1
507	живет и	1	1
508	как будто	2	1
509	в различные	1	1
510	на второй	2	1
511	жизни в	5	1
512	человека или	1	1
513	это прежде	1	1
514	свою художественную	1	1
515	они не	1	1
516	в словах	2	1
517	при таком	1	1
518	именно такую	1	1
519	на себя	4	1
520	от его	1	1
521	в воспринимающем	1	1
522	тех или	2	1
523	все более	3	1
524	теории искусства	1	1
525	не желает	1	1
526	и внешней	1	1
