N	3gram	Vinokur_St	Psycholo
1	в том что	29	78
2	для того чтобы	13	70
3	на то что	5	55
4	в самом деле	7	51
5	и т п	11	37
6	заключается в том	4	36
7	о том что	19	34
8	с точки зрения	10	29
9	с одной стороны	2	28
10	не может быть	5	23
11	до сих пор	12	23
12	и т д	25	22
13	и в самом	3	22
14	к тому что	4	20
15	с другой стороны	8	20
16	в том чтобы	1	20
17	на самом деле	7	17
18	не только не	2	16
19	с самого начала	3	16
20	в зависимости от	2	15
21	так же как	5	14
22	во всяком случае	8	14
23	в то время	2	14
24	в этом отношении	13	14
25	можно было бы	8	13
26	и в этом	4	13
27	то время как	1	13
28	сам по себе	1	12
29	что в этом	1	12
30	в конце концов	2	12
31	тот факт что	5	11
32	то что он	3	11
33	то что в	3	11
34	по сравнению с	1	11
35	вместе с тем	2	10
36	только в том	3	10
37	и то что	2	10
38	не в том	3	10
39	том что она	1	10
40	сами по себе	2	10
41	том что он	6	10
42	надо сказать что	1	9
43	в отличие от	1	9
44	не то что	1	9
45	и что в	1	9
46	в том случае	1	9
47	потому что он	1	9
48	точно так же	2	9
49	в данном случае	7	9
50	что он не	5	9
51	в том и	1	9
52	и то же	1	8
53	смысле этого слова	1	8
54	речь идет о	3	8
55	и таким образом	1	8
56	что в этой	2	8
57	по этому поводу	4	8
58	то что она	1	8
59	что в нем	2	8
60	на этот вопрос	2	7
61	в этом смысле	2	7
62	если бы мы	2	7
63	а с другой	1	7
64	только то что	1	7
65	одно и то	1	7
66	что и в	4	7
67	как и в	2	7
68	потому что она	1	6
69	тем не менее	4	6
70	более или менее	2	6
71	что у него	1	6
72	и в том	3	6
73	того или иного	4	6
74	не только в	4	6
75	по его мнению	1	6
76	ни в каком	1	5
77	о том как	1	5
78	или вернее сказать	1	5
79	сказать что в	3	5
80	и вместе с	1	5
81	в целом ряде	1	5
82	и в результате	1	5
83	в том смысле	4	5
84	не имеет никакого	1	5
85	должен был бы	1	5
86	в лучшем случае	1	5
87	как раз в	4	5
88	же как и	1	5
89	вместо того чтобы	1	5
90	потому что они	1	5
91	как будто бы	1	4
