N	2gram	Losev_Dial	StatiiOP
1	и в	35	103
2	в том	20	89
3	том что	18	77
4	в этом	18	76
5	что в	19	74
6	не только	26	60
7	борис годунов	1	58
8	и т	31	51
9	о том	8	47
10	у пушкина	6	46
11	но и	17	46
12	то что	25	44
13	что он	16	42
14	в его	4	42
15	и не	51	41
16	может быть	30	38
17	т е	49	33
18	пушкина и	1	33
19	было бы	14	32
20	т д	28	32
21	в этой	3	31
22	вовсе не	19	31
23	тем что	2	29
24	все это	14	29
25	таким образом	5	28
26	а в	8	27
27	а не	24	27
28	но в	8	26
29	что это	21	25
30	так и	18	25
31	этом отношении	2	24
32	и его	6	24
33	все же	9	23
34	точки зрения	25	23
35	не в	12	23
36	так что	21	23
37	потому что	23	23
38	для того	2	22
39	в которой	3	22
40	как в	3	22
41	того что	6	22
42	прежде всего	14	22
43	в области	2	22
44	и пр	7	21
45	того чтобы	1	21
46	до сих	4	20
47	это не	18	20
48	в своей	9	19
49	сих пор	4	19
50	т п	3	19
51	в то	10	19
52	только в	7	19
53	в котором	5	18
54	с другой	10	18
55	он не	5	18
56	но также	1	18
57	об этом	7	18
58	не может	16	18
59	в самом	6	17
60	как на	1	17
61	между прочим	1	17
62	самом деле	6	17
63	пушкина но	1	17
64	как бы	19	17
65	в данном	5	17
66	в этих	6	16
67	с этим	5	16
68	сказать что	19	16
69	можно было	5	16
70	если бы	12	16
71	в ней	4	16
72	другой стороны	7	15
73	с тем	2	15
74	как и	10	15
75	из этих	2	15
76	у него	2	15
77	я не	9	15
78	например в	2	15
79	в отношении	5	15
80	как раз	7	15
81	для него	2	15
82	также и	7	15
83	то же	21	14
84	но все	5	14
85	так например	1	14
86	к тому	6	14
87	я думаю	1	14
88	с точки	18	14
89	между тем	3	14
90	и что	17	14
91	была бы	4	14
92	в той	4	13
93	именно в	4	13
94	во всяком	5	13
95	в своем	7	13
96	из них	5	13
97	в качестве	2	13
98	а с	2	13
99	в конце	5	13
100	в нем	25	13
101	вместе с	3	13
