N	4gram	Losev_Dial	slovoVRo
1	в то же время	7	18
2	но в то же	1	7
3	и в то же	3	6
4	с одной стороны и	3	4
5	никогда не может быть	1	3
6	одно и то же	8	3
7	в том и в	1	2
8	том и в другом	1	2
9	и в том и	1	2
10	с точки зрения самого	2	2
11	и с другой стороны	2	2
12	ни в чем не	1	2
13	в то время как	2	2
14	и в другом случае	1	2
15	привело к тому что	1	2
16	до сих пор не	1	2
17	как одно и то	1	1
18	именно в том что	1	1
19	на самом же деле	2	1
20	образ может быть и	1	1
21	это не может быть	1	1
22	в том что она	1	1
23	не с точки зрения	2	1
24	дело в том что	1	1
25	а в том что	1	1
26	только один и единственный	1	1
27	и т д если	1	1
28	одной и той же	1	1
29	как бы она ни	1	1
30	в связи с этим	2	1
31	нужно отнести также и	1	1
32	бы она ни была	1	1
33	все новые и новые	1	1
34	то время как поэзия	1	1
35	в том что он	1	1
36	все более и более	1	1
37	все дальше и дальше	1	1
38	и с точки зрения	1	1
39	друг с другом в	1	1
40	но и в смысле	1	1
41	и не может избежать	1	1
42	при известных условиях может	1	1
43	с той или иной	1	1
44	тем не менее в	1	1
45	так же как и	1	1
46	в одно и то	1	1
47	в широком смысле но	1	1
48	не только в смысле	1	1
