N	2gram	Potebnia_M	Problema
1	и в	48	182
2	то есть	53	165
3	и не	28	152
4	вовсе не	13	145
5	то что	37	144
6	не есть	24	113
7	не только	32	104
8	потому что	82	89
9	в этом	19	88
10	может быть	46	82
11	в том	47	81
12	том что	28	81
13	только в	29	73
14	сказать что	8	72
15	но и	30	70
16	в виде	3	69
17	у нас	2	68
18	и даже	3	66
19	по себе	26	64
20	не менее	9	58
21	о том	7	57
22	тем не	7	56
23	а не	22	56
24	так и	17	56
25	но в	8	55
26	так что	14	52
27	ни в	2	51
28	для нас	40	50
29	в себе	26	48
30	и вообще	4	48
31	при помощи	2	47
32	было бы	16	46
33	прежде всего	6	45
34	в своей	2	45
35	что в	30	44
36	в его	6	44
37	не в	24	43
38	все эти	1	43
39	то же	35	42
40	а именно	1	42
41	таким образом	24	42
42	если мы	2	42
43	и что	13	40
44	и то	13	40
45	что он	8	40
46	так как	20	40
47	что мы	16	40
48	во всяком	4	39
49	есть символ	1	39
50	не может	18	39
51	и тем	8	39
52	в этой	3	39
53	как бы	10	39
54	в данном	3	38
55	хотя бы	3	37
56	никак не	3	37
57	в нем	16	37
58	того что	24	37
59	точки зрения	4	36
60	есть нечто	6	36
61	еще не	9	36
62	и все	5	36
63	когда мы	4	35
64	и т	12	35
65	в виду	1	34
66	уже не	11	34
67	и с	4	34
68	как и	22	34
69	указывает на	8	34
70	же самое	3	33
71	в таком	6	33
72	не является	1	33
73	т д	5	33
74	как символ	1	33
75	здесь не	1	32
76	в то	16	32
77	но не	8	32
78	едва ли	1	32
79	так же	6	31
80	в своем	6	31
81	связи с	6	31
82	что такое	2	31
83	но это	9	31
84	все это	4	31
85	ясно что	1	30
86	с другой	8	30
87	настоящее время	1	30
88	в настоящее	1	30
89	в связи	1	29
90	все же	3	29
91	можно сказать	4	29
92	перед нами	3	29
93	художественный образ	2	29
94	как мы	8	29
95	об этом	4	29
96	что же	3	28
97	данном случае	3	28
98	мы не	17	28
99	а в	14	28
100	есть только	9	28
101	и о	6	28
102	и это	6	27
103	и как	8	27
104	хотя и	3	27
105	ничего общего	2	27
106	ничего не	1	27
107	в результате	1	26
108	другой стороны	4	26
109	крайней мере	8	26
110	да и	2	26
111	как будто	1	26
112	знак и	1	26
113	вместе с	22	26
114	по крайней	8	26
115	еще и	1	26
116	это не	2	26
117	и его	4	26
118	мы можем	13	25
119	и на	5	25
120	тем самым	11	25
121	с точки	3	25
122	всяком случае	3	25
123	с тем	9	24
124	на самом	4	24
125	тем более	9	24
126	в нашем	1	24
127	и вполне	2	24
128	не имеет	10	24
129	таком случае	2	23
130	по своему	2	23
131	что символ	1	23
132	на то	6	23
133	при этом	6	23
134	тут же	2	23
135	и притом	3	23
136	а только	7	23
137	то и	10	23
138	есть не	9	23
139	и к	5	22
140	раз и	1	22
141	только на	4	22
142	никогда не	2	22
143	тоже не	1	22
144	нет ничего	2	22
145	есть в	6	22
146	значит что	2	22
147	сам по	9	22
148	его в	6	22
149	и от	5	22
150	и есть	4	22
151	и если	4	22
152	что и	16	22
153	другими словами	3	22
154	в самом	11	21
155	сама по	3	21
156	мы должны	6	21
157	и ее	1	21
158	говорить о	6	21
159	для себя	3	21
160	а также	1	21
161	и без	9	21
162	и только	5	21
163	именно в	5	20
164	для того	8	20
165	но как	2	20
166	можно было	1	20
167	и потому	9	20
168	тем что	13	20
169	несмотря на	2	20
170	как о	3	20
171	или в	4	20
172	это значит	1	19
173	в них	9	19
174	с ним	10	19
175	самом деле	5	19
176	в каком	8	19
177	но если	2	19
178	есть знак	1	19
179	то это	9	19
180	уже в	10	19
181	то в	1	19
182	но только	3	19
183	этом смысле	2	19
184	он не	4	19
185	это есть	1	19
186	если не	6	19
187	если бы	20	19
188	как в	17	19
189	как нечто	3	19
190	жизни и	3	19
191	в этих	2	18
192	того же	5	18
193	не было	12	18
194	не будет	4	18
195	не существует	5	18
196	в ее	3	18
197	того чтобы	5	18
198	в ней	11	18
199	без всякого	2	17
200	что они	2	17
201	во всех	1	17
202	значение и	1	17
203	но уже	2	17
204	и здесь	3	17
205	гораздо более	1	17
206	есть именно	2	17
207	мы уже	5	17
208	совсем не	2	17
209	ни о	3	17
210	в языке	19	17
211	что здесь	1	17
212	это и	2	17
213	точно так	15	16
214	что она	4	16
215	как это	1	16
216	самое время	1	16
217	художественного произведения	6	16
218	же в	3	16
219	для этого	1	16
220	но все	2	16
221	в одно	8	16
222	к тому	9	16
223	но даже	3	16
224	между собою	13	16
225	далеко не	5	16
226	и сам	1	15
227	с этим	12	15
228	в чем	6	15
229	в той	2	15
230	у него	3	15
231	что не	12	15
232	общего с	1	15
233	и более	4	15
234	на нечто	1	15
235	искусства и	3	14
236	людей и	2	14
237	уже и	1	14
238	что все	5	14
239	с другими	9	14
240	сих пор	4	14
241	только о	2	14
242	не так	1	14
243	этом случае	2	14
244	нас не	1	14
245	а это	2	14
246	все равно	5	14
247	в котором	7	14
248	нас в	3	14
249	до сих	4	14
250	не что	1	14
251	то ни	1	14
252	за пределы	2	14
253	что иное	1	14
254	иное как	1	14
255	же и	3	13
256	есть ни	4	13
257	из них	11	13
258	тому что	6	13
259	действительности и	3	13
260	сами по	3	13
261	бы и	4	13
262	только при	2	13
263	в их	2	13
264	или даже	1	13
265	здесь только	4	13
266	в области	3	13
267	который в	2	13
268	в других	3	13
269	мы в	3	13
270	те или	1	13
271	дело в	1	13
272	он сам	2	12
273	с одной	8	12
274	в которой	9	12
275	время как	3	12
276	в самой	1	12
277	так или	2	12
278	то время	7	12
279	на первый	1	12
280	является только	1	12
281	каждый раз	3	12
282	в начале	3	12
283	или по	2	12
284	что этот	2	12
285	значения и	1	12
286	в смысле	4	12
287	что это	6	12
288	но именно	1	12
289	не будем	1	12
290	или иначе	1	12
291	нисколько не	1	12
292	не говоря	3	12
293	в целом	5	12
294	бы то	2	11
295	и следовательно	3	11
296	могли бы	3	11
297	жизни в	1	11
298	свидетельствует о	1	11
299	тот же	2	11
300	мы выше	1	11
301	как именно	1	11
302	в таких	4	11
303	и другое	3	11
304	одной стороны	4	11
305	по поводу	8	11
306	к нему	7	11
307	только не	5	11
308	что его	3	11
309	не могут	7	11
310	имеет значение	6	11
311	мы говорим	2	11
312	заключается в	2	11
313	в истории	2	11
314	и во	1	11
315	указание на	2	11
316	вообще не	1	11
317	в искусстве	6	11
318	и их	4	11
319	в нашей	1	11
320	по этому	2	11
321	и тогда	4	11
322	более или	6	10
323	есть то	3	10
324	что у	4	10
325	на том	1	10
326	но он	3	10
327	в математике	1	10
328	что для	5	10
329	один из	7	10
330	от нас	4	10
331	бы не	6	10
332	художественное произведение	6	10
333	то или	2	10
334	что оно	12	10
335	у гоголя	1	10
336	однако это	1	10
337	бы даже	1	10
338	в одном	4	10
339	отличается от	1	10
340	которые мы	3	10
341	не то	6	10
342	это будет	1	10
343	мы читаем	1	10
344	и сама	2	10
345	действительности но	1	10
346	быть только	5	10
347	он в	1	10
348	однако в	1	10
349	из которых	1	10
350	относится к	6	10
351	внимание на	2	10
352	ни с	1	10
353	общего и	1	10
354	или менее	6	10
355	быть и	1	10
356	только то	1	10
357	собственно говоря	2	10
358	слова и	8	10
359	что если	5	9
360	говоря уже	1	9
361	в своих	2	9
362	их в	3	9
363	действительности а	1	9
364	вопрос о	2	9
365	миф о	1	9
