N	3gram	Propp_Russ	KFilosof
1	по отношению к	1	22
2	не может быть	1	11
3	с точки зрения	3	10
4	на самом деле	1	3
5	и в этом	2	3
6	в том что	27	2
7	только по отношению	1	2
8	ничего общего не	2	2
9	тем не менее	3	2
10	здесь мы имеем	2	2
11	и та же	1	2
12	во всех этих	1	2
13	одна и та	1	2
14	для нас важно	1	2
15	вопрос о том	1	2
16	быть не может	1	1
17	время от времени	1	1
18	в свою очередь	2	1
19	и как бы	1	1
20	это не значит	2	1
21	вместе с тем	10	1
22	можно говорить об	1	1
23	во всяком случае	1	1
24	то что и	1	1
25	но ни одно	1	1
26	ни о каких	1	1
27	на то что	2	1
28	в большинстве случаев	2	1
29	это не имеет	1	1
30	и одна из	1	1
31	в том же	1	1
32	а следовательно и	1	1
33	для того чтобы	6	1
34	не значит что	2	1
35	потому что в	1	1
36	в настоящее время	3	1
37	независимо от того	1	1
38	может быть правильно	1	1
39	время вместе с	1	1
40	и пр и	1	1
41	одного и того	1	1
42	в противном случае	1	1
43	и связанных с	1	1
44	не потому что	1	1
45	не было ни	1	1
46	не отличаются от	1	1
47	о том кто	1	1
48	мы имеем здесь	1	1
49	и в своем	1	1
50	но может быть	1	1
51	же с точки	1	1
52	в разные стороны	1	1
53	не имеет смысла	1	1
54	чем ближе к	1	1
55	и того же	1	1
56	не может не	1	1
57	во второй половине	1	1
58	к тому что	4	1
59	а именно в	1	1
60	и всей своей	1	1
61	должен быть признан	1	1
62	общего не имеет	1	1
63	только тогда когда	3	1
64	это и есть	1	1
65	ко всему что	1	1
66	но это не	3	1
67	что и в	1	1
68	пока еще не	1	1
69	мы не можем	5	1
70	может быть и	3	1
