N	2gram	Medvedev_B	SlovoVZh
1	таким образом	1	12
2	и в	1	12
3	и не	2	10
4	прежде всего	1	8
5	художественного произведения	1	7
6	в ней	2	6
7	должна быть	1	5
8	а не	1	5
9	отнюдь не	1	5
10	и на	1	4
11	не только	1	4
12	на самом	1	4
13	за пределы	1	4
14	с другой	1	4
15	так и	1	4
16	все же	1	4
17	и более	1	3
18	все это	2	3
19	в пределах	1	3
20	художественном произведении	1	3
21	в своей	1	3
22	и ее	1	3
23	еще не	1	3
24	что в	1	2
25	и потому	1	2
26	в данном	1	2
27	кроме того	1	2
28	другой стороны	1	2
29	до конца	1	2
30	между ними	1	2
31	можно в	1	1
32	во всяком	1	1
33	выходит за	1	1
34	автора по	1	1
35	является только	1	1
36	в значительной	1	1
37	словесного творчества	1	1
38	точно и	1	1
39	бы только	1	1
40	в области	1	1
41	у нас	3	1
42	на которой	1	1
43	было говорить	1	1
44	можно было	2	1
45	же не	1	1
46	значительной степени	1	1
47	далеко не	1	1
48	не вполне	1	1
49	очень узко	1	1
50	не было	1	1
51	было бы	1	1
52	и о	1	1
53	и во	1	1
54	стиля и	1	1
55	что все	1	1
56	как будто	1	1
57	это вместе	1	1
58	крайней мере	1	1
59	по поэтике	1	1
60	не то	2	1
61	тем более	1	1
62	по крайней	1	1
63	более подробно	1	1
64	всяком случае	1	1
65	работу по	1	1
