N	2gram	Tiupa_Hudo	OGranits
1	и в	34	13
2	и его	8	12
3	прежде всего	12	9
4	может быть	12	8
5	и не	15	8
6	не может	10	8
7	в его	17	7
8	и т.п	2	7
9	точки зрения	7	7
10	не только	22	6
11	мы должны	1	6
12	только в	8	6
13	то что	13	6
14	как бы	11	6
15	в музыке	1	5
16	хотя бы	2	5
17	с точки	5	5
18	и т.д	3	5
19	но ведь	2	5
20	все же	5	5
21	и эта	3	5
22	в каждом	1	4
23	не является	1	4
24	мы не	2	4
25	то же	14	4
26	еще и	2	4
27	было бы	8	4
28	все это	2	4
29	слов и	1	4
30	лишь в	5	4
31	в своей	15	4
32	на фоне	5	4
33	в выборе	1	4
34	в двух	2	4
35	но мы	2	4
36	но в	6	4
37	г в	1	3
38	с этим	3	3
39	что в	8	3
40	к одному	1	3
41	и то	2	3
42	со всей	2	3
43	связана с	1	3
44	ни один	1	3
45	в искусстве	1	3
46	и уже	3	3
47	так и	19	3
48	не как	3	3
49	говорить о	4	3
50	в одном	3	3
51	не столько	4	3
52	отношению к	15	3
53	по отношению	15	3
54	превращается в	6	3
55	в пределах	4	3
56	в поэтике	1	3
57	в их	2	3
58	при анализе	1	3
59	в ее	16	3
60	самом деле	6	3
61	не в	16	3
62	в которой	2	3
63	что же	4	3
64	и все	10	3
65	общего с	1	3
66	но для	1	3
67	в себе	19	3
68	так как	2	3
69	да и	5	3
70	но и	13	3
71	и для	5	3
72	как и	16	3
73	ничего общего	1	3
74	точку зрения	1	3
75	никогда не	8	3
76	в области	1	2
77	к сожалению	1	2
78	своего рода	19	2
79	в самом	7	2
80	нет ничего	4	2
81	и к	6	2
82	что они	4	2
83	того или	4	2
84	в данном	3	2
85	мы уже	7	2
86	и этот	1	2
87	а как	2	2
88	в своих	4	2
89	в этом	22	2
90	в общем	1	2
91	в целях	1	2
92	случае и	1	2
93	данном случае	3	2
94	героя и	5	2
95	на язык	1	2
96	с одной	4	2
97	в произведении	1	2
98	мог бы	1	2
99	в течение	1	2
100	входит в	1	2
101	для себя	9	2
102	наконец в	2	2
103	не чем	1	2
104	одной стороны	4	2
105	роль в	2	2
106	в другом	3	2
107	мы считаем	1	2
108	при этом	21	2
109	несмотря на	7	2
110	между тем	14	2
111	автора героя	2	2
112	в полном	2	2
113	для него	15	2
114	в этот	1	2
115	и тем	2	2
116	в руках	1	2
117	смысле слова	1	2
118	не исчерпывается	1	2
119	в том	24	2
120	полном соответствии	1	2
121	в которую	1	2
122	с этой	3	2
123	что эта	1	2
124	каждое слово	1	2
125	в отношении	1	2
126	чем же	2	2
127	вслед за	3	2
128	литературного произведения	1	2
129	другой стороны	1	2
130	во времени	2	2
131	но так	1	2
132	не на	1	2
133	отношений между	1	2
134	от этого	2	2
135	так же	3	2
136	в них	3	2
137	самого начала	1	2
138	а в	11	2
139	в г	3	2
140	если бы	7	2
141	от своего	2	2
142	элемента в	1	2
143	а также	4	2
144	соответствии с	2	2
145	на две	1	2
146	еще в	4	2
147	в ней	6	2
148	с самого	1	2
149	тем что	6	2
150	и др	1	2
151	их эстетической	1	2
152	могут быть	1	2
153	вовсе не	2	2
154	в действительности	5	2
155	между собою	1	2
156	его на	1	2
157	чем иным	1	2
158	в связи	3	2
159	с ними	3	2
160	говорить об	2	2
161	может стать	1	2
162	все эти	4	2
163	с другой	4	2
164	как в	11	2
165	иным как	1	2
166	художественных произведений	1	2
167	разрыв между	1	2
168	и внутренняя	1	2
169	не менее	9	2
170	нуждается в	2	2
171	явлений и	1	2
172	не имеет	2	2
173	там где	2	2
174	к предмету	1	2
175	том что	31	2
176	в нем	5	2
177	уже в	2	2
178	или иного	4	2
179	не мог	1	2
180	а не	23	2
181	всей своей	2	2
182	в чем	1	2
183	в целом	2	2
184	художественное произведение	1	2
185	пути к	1	2
186	и ее	3	2
187	тот же	1	2
188	к тому	11	2
189	слова и	1	2
190	бы в	2	2
191	в дальнейшем	2	1
192	в особенности	1	1
193	понять и	1	1
194	но у	2	1
195	его к	1	1
196	всего в	1	1
197	только одно	1	1
198	не дано	1	1
199	себе в	2	1
200	поскольку она	1	1
201	как к	4	1
202	в каждой	2	1
203	к которому	1	1
204	и наоборот	1	1
205	литературы в	1	1
206	то он	1	1
207	не зная	2	1
208	ее и	2	1
209	зрения и	1	1
210	для всех	1	1
211	находит свое	1	1
212	еще одну	1	1
213	и других	1	1
214	и он	6	1
215	является для	1	1
216	мышления в	1	1
217	один из	6	1
218	можно говорить	1	1
219	в столь	1	1
220	и здесь	1	1
221	рождения и	1	1
222	и столь	1	1
223	как возможность	1	1
224	она и	1	1
225	отличие от	1	1
226	в последнем	1	1
227	вопрос о	2	1
228	слово но	1	1
229	как же	1	1
230	что мы	1	1
231	на этом	5	1
232	к слову	1	1
233	оказались бы	1	1
234	они не	2	1
235	которым можно	2	1
236	не имеют	3	1
237	только что	4	1
238	которая как	1	1
239	или иная	4	1
240	эта особенность	1	1
241	ее на	3	1
242	художественного высказывания	1	1
243	или только	1	1
244	должно быть	2	1
245	на три	1	1
246	того как	1	1
247	сознание что	1	1
248	и уж	2	1
249	картины мира	4	1
250	отсюда и	2	1
251	в самых	1	1
252	которой он	2	1
253	своего времени	3	1
254	и который	1	1
255	не могу	3	1
256	и вот	1	1
257	на том	3	1
258	теории литературы	2	1
259	требующий для	2	1
260	такого рода	4	1
261	но при	3	1
262	эти слова	3	1
263	более или	1	1
264	внимание на	3	1
265	потому что	7	1
266	в значительной	3	1
267	он всегда	1	1
268	от первого	1	1
269	к творческой	1	1
270	того чтобы	6	1
271	же как	4	1
272	автора и	4	1
273	чтение про	1	1
274	голосом да	1	1
275	ту или	2	1
276	и более	2	1
277	мы имеем	1	1
278	и у	3	1
279	не должно	2	1
280	также и	1	1
281	для которой	1	1
282	это и	2	1
283	для того	3	1
284	совсем не	1	1
285	тому как	4	1
286	художественного впечатления	1	1
287	тому что	8	1
288	узком смысле	1	1
289	организации художественного	1	1
290	вошедшие в	1	1
291	есть его	1	1
292	быть не	1	1
293	которых он	1	1
294	он и	2	1
295	ее жизни	2	1
296	его и	2	1
297	не всегда	1	1
298	в своем	9	1
299	в разных	1	1
300	и тогда	2	1
301	этот момент	3	1
302	этом отношении	4	1
303	тем как	2	1
304	время в	1	1
305	что при	3	1
306	из наиболее	1	1
307	мысли и	2	1
308	тем не	7	1
309	но тем	2	1
310	полагаем что	1	1
311	в другой	2	1
312	как это	8	1
313	в свои	2	1
314	что ведь	1	1
315	этот не	1	1
316	мы в	1	1
317	только на	6	1
318	выйти за	1	1
319	и через	1	1
320	об этом	8	1
321	борьбе с	1	1
322	вступает в	2	1
323	самых первых	1	1
324	только потому	2	1
325	звуков издаваемых	1	1
326	переходит в	1	1
327	остановиться на	1	1
328	мы попытались	1	1
329	всего его	1	1
330	в науке	1	1
331	и что	3	1
332	говоря словами	1	1
333	на самом	2	1
334	или иную	2	1
335	для человека	1	1
336	в различных	1	1
337	для них	1	1
338	и тот	2	1
339	можно было	6	1
340	в этой	11	1
341	людей и	1	1
342	напоминает нам	1	1
343	в широком	1	1
344	в начале	3	1
345	ни одна	2	1
346	во все	1	1
347	в виду	1	1
348	в нашей	1	1
349	же такое	1	1
350	в решении	1	1
351	иного конкретного	1	1
352	к другому	5	1
353	быть может	7	1
354	и до	1	1
355	системы и	1	1
356	в определении	2	1
357	сводится к	7	1
358	истории и	1	1
359	для своей	1	1
360	подобно тому	4	1
361	и вполне	1	1
362	но это	2	1
363	по себе	3	1
364	функции в	1	1
365	все равно	2	1
366	вспомнить о	1	1
367	по своей	5	1
368	же время	11	1
369	поэтому не	1	1
370	лежит в	1	1
371	его в	5	1
372	на основе	2	1
373	никакого отношения	1	1
374	к целостному	1	1
375	человека и	4	1
376	то или	1	1
377	на всю	1	1
378	или как	1	1
379	каждый из	1	1
380	а лишь	1	1
381	или иное	1	1
382	однако если	2	1
383	мы здесь	1	1
384	событий и	1	1
385	жизни он	2	1
386	не было	8	1
387	когда мы	2	1
388	связи с	4	1
389	этого процесса	1	1
390	же не	3	1
391	никоим образом	1	1
392	мы полагаем	1	1
393	этой точки	1	1
394	как известно	1	1
395	что касается	1	1
396	это они	1	1
397	состоит в	8	1
398	не знает	2	1
399	или в	3	1
400	в основе	3	1
401	бы подумать	1	1
402	ему становится	1	1
403	на то	4	1
404	апелляции к	1	1
405	ни о	3	1
406	этого произведения	2	1
