N	4gram	Propp_Morf	Myshleni
1	в то время как	3	20
2	состоит в том что	3	17
3	с этой точки зрения	1	16
4	один и тот же	1	12
5	одно и то же	1	12
6	мы видим таким образом	1	11
7	видим таким образом что	1	10
8	в собственном смысле слова	3	9
9	все более и более	1	8
10	в том что он	1	8
11	не что иное как	2	6
12	прежде чем перейти к	1	5
13	приводит к тому что	1	5
14	в тех случаях когда	2	4
15	в тот момент когда	1	4
16	есть не что иное	1	4
17	вопрос о том как	1	3
18	в связи с этим	4	3
19	связи функций между собой	2	3
20	ответить на этот вопрос	1	3
21	или во всяком случае	1	3
22	бы то ни было	2	3
23	друг к другу и	2	2
24	сомневаться в том что	1	2
25	в то же время	1	2
26	начинается с того что	2	2
27	как мы увидим ниже	4	2
28	какого бы то ни	1	2
29	приводят к тому что	2	2
30	в том случае если	2	2
31	этой точки зрения совершенно	1	2
32	независимо от того как	1	2
33	указанием на то что	1	2
34	с самого начала в	1	2
35	которые не могут быть	1	2
36	на то что в	1	2
37	образом мы видим что	4	1
38	ли можно сомневаться в	1	1
39	как причины так и	1	1
40	но это нисколько не	1	1
41	таким образом мы видим	4	1
42	в коем случае не	1	1
43	с другой стороны они	1	1
44	дело не в количестве	2	1
45	это не значит что	2	1
46	могут иметь различное значение	1	1
47	в этом случае он	1	1
48	что в основе ее	1	1
49	отношении друг к другу	1	1
50	мы видим что в	1	1
51	если в одном случае	1	1
52	можно сомневаться в том	1	1
53	а для того чтобы	1	1
54	которые хотя и не	2	1
55	в том или другом	1	1
56	ни в коем случае	1	1
57	влияют друг на друга	1	1
58	если это так то	1	1
59	в этом случае не	3	1
60	мы постараемся показать что	1	1
61	но как мы уже	1	1
62	говорить о том что	2	1
63	бы они ни были	1	1
64	можно было бы показать	1	1
65	то можно было бы	1	1
66	было бы сказать что	1	1
67	лишь постольку поскольку это	1	1
68	операции при помощи которых	1	1
69	можно было бы сказать	1	1
70	во всех этих случаях	1	1
71	в обоих случаях значение	1	1
72	но если это так	2	1
73	по отношению к которой	1	1
