N	3gram	Vygotskiy_	Tvorches
1	в том что	41	11
2	по нашему мнению	2	10
3	о том что	3	8
4	в конечном счете	1	6
5	не может быть	5	6
6	в самом деле	4	5
7	в том же	1	5
8	по отношению к	3	5
9	до сих пор	3	4
10	с точки зрения	11	4
11	с самого начала	6	4
12	сами по себе	4	3
13	точно так же	4	3
14	том что в	3	3
15	в отличие от	8	3
16	это значит что	6	3
17	во всяком случае	10	3
18	как и в	3	3
19	с другой стороны	5	3
20	и все же	1	3
21	является одним из	1	3
22	что он не	2	2
23	в данном случае	1	2
24	заключает в себе	3	2
25	влечет за собой	1	2
26	для того чтобы	14	2
27	в том числе	3	2
28	тем не менее	6	2
29	важную роль в	1	2
30	так и в	2	2
31	не потому что	1	2
32	в конце концов	1	2
33	не сводится к	1	2
34	в этой области	2	2
35	том числе и	3	2
36	и в самом	1	2
37	он приходит к	1	2
38	и превращается в	1	2
39	не сами по	1	2
40	не могут быть	1	2
41	при этом он	1	2
42	в высшей степени	11	2
43	в целом и	2	2
44	так как он	2	2
45	в известном смысле	2	2
46	да и не	1	2
47	в связи с	8	2
48	в свою очередь	3	2
49	вместе с тем	11	2
50	человека и его	1	2
51	заключается в том	18	2
52	только то что	1	2
53	можно сказать что	1	2
54	перед нами раскрывается	1	2
55	на этот вопрос	2	2
56	и та же	1	2
57	все же не	2	2
58	когда он видит	1	2
59	содержит в себе	2	2
60	так же как	9	2
61	не только в	1	2
62	как бы ни	1	2
63	в первую очередь	2	2
64	как и у	1	2
65	и что в	2	2
66	мы узнаем что	1	2
67	мы уже говорили	6	2
68	в глаза и	1	1
69	это имеет место	1	1
70	а в плане	1	1
71	при этом с	1	1
72	одно из главных	1	1
73	в этот период	1	1
74	в дальнейшем мы	1	1
75	имеет в виду	2	1
76	и как бы	2	1
77	на всем протяжении	1	1
78	том что это	1	1
79	имеет место в	2	1
80	они представляют собой	1	1
81	и даже не	1	1
82	по себе а	1	1
83	во всей ее	1	1
84	не стоит ни	2	1
85	о том как	1	1
86	в применении к	1	1
87	том смысле что	2	1
88	и по способу	2	1
89	решающую роль в	2	1
90	о котором говорил	1	1
91	не содержит в	1	1
92	это все та	1	1
93	поэтому мы должны	2	1
94	один из них	1	1
95	что оно не	1	1
96	мы говорим о	1	1
97	хотя бы и	2	1
98	и не имеют	1	1
99	так например в	1	1
100	в случае с	1	1
101	на эту форму	1	1
102	но на этот	1	1
103	и мы не	1	1
104	друг на друга	3	1
105	мы знаем что	1	1
106	ничего общего с	2	1
107	о связи этого	1	1
108	особое внимание на	1	1
109	на которые ссылается	1	1
110	та же мысль	1	1
111	мы никогда не	3	1
112	и через него	1	1
113	в один ряд	1	1
114	и тем самым	3	1
115	во многих случаях	1	1
116	все же и	1	1
117	по себе не	1	1
118	а с другой	4	1
119	и как мы	2	1
120	приводит нас в	1	1
121	что как бы	2	1
122	то ни было	1	1
123	и того же	5	1
124	несмотря на его	1	1
125	и на другой	1	1
126	на него в	1	1
127	одну и ту	1	1
128	то же самое	9	1
129	по этому поводу	4	1
130	к тому что	1	1
131	что с точки	1	1
132	являются как бы	2	1
133	друга в то	1	1
134	не только на	1	1
135	бы то ни	1	1
136	конце концов к	1	1
137	или во всяком	1	1
138	в истории человечества	1	1
139	на наших глазах	1	1
140	и в том	1	1
141	не мог бы	3	1
142	является в высшей	1	1
143	и в этом	2	1
144	к вопросу о	1	1
145	исследования на которых	1	1
146	это то что	1	1
147	собой не что	1	1
148	представляет собой не	1	1
149	а как бы	1	1
150	его к действительности	1	1
151	свои собственные психологические	1	1
152	с первого взгляда	2	1
153	того или иного	2	1
154	за то что	1	1
155	в ряде других	1	1
156	той или иной	2	1
157	в основе этой	1	1
158	не в его	1	1
159	что они имеют	2	1
160	и только в	1	1
161	а вместе с	1	1
162	но и в	1	1
163	мы видим в	2	1
164	процесса в целом	6	1
165	и ту же	1	1
166	он пришел к	1	1
167	как и для	1	1
168	в том смысле	3	1
169	решения этой задачи	1	1
170	не мог не	1	1
171	а затем уже	2	1
172	связи могут быть	1	1
173	со всеми его	1	1
174	в другом месте	3	1
175	в действительной жизни	1	1
176	свое внимание на	1	1
177	сплошь и рядом	1	1
178	ту или иную	1	1
179	как и сам	1	1
180	в целом ряде	1	1
181	то что в	3	1
182	все более и	1	1
183	не видим его	1	1
184	с одной стороны	8	1
185	в то время	5	1
186	более и более	1	1
187	к которым приводит	1	1
188	все это в	1	1
189	то и другое	5	1
190	не столько на	1	1
191	тем что они	2	1
192	все та же	1	1
193	как и на	1	1
194	не что иное	2	1
195	говорили что в	1	1
196	далеко не все	1	1
197	наряду с ними	1	1
198	можно было бы	8	1
199	уже говорили что	2	1
200	только потому что	2	1
201	не только потому	1	1
202	во времени по	1	1
203	в этом случае	4	1
204	в поле зрения	1	1
205	же как и	6	1
206	одного и того	5	1
207	тем самым как	1	1
208	одна и та	1	1
209	в котором все	1	1
210	что иное как	2	1
211	и в истории	1	1
212	его содержания как	1	1
213	самом деле как	1	1
214	как это имеет	1	1
215	и не только	1	1
216	самым как бы	1	1
217	мы не можем	2	1
218	как и всякая	1	1
