N	3gram	Losev_Dial	NovoeSre
1	не может быть	4	4
2	подобно тому как	1	3
3	не значит что	6	3
4	вопрос о том	1	2
5	он не имеет	1	2
6	в том и	1	2
7	вместе с тем	1	2
8	равно как и	1	2
9	и должно быть	3	2
10	так же как	1	2
11	в нем нет	3	2
12	в этом смысле	4	2
13	значит что в	3	2
14	что в нем	4	2
15	когда мы говорим	2	2
16	с одной стороны	3	2
17	с другой стороны	7	2
18	она не может	1	2
19	это не значит	3	2
20	сами по себе	4	1
21	в том что	12	1
22	не в том	2	1
23	но это значит	1	1
24	до сих пор	4	1
25	не существует что	1	1
26	я не могу	2	1
27	нет уже никакой	1	1
28	чтобы понять смысл	1	1
29	как будто бы	3	1
30	что она не	1	1
31	это конечно не	2	1
32	в зависимости от	2	1
33	общества и культуры	1	1
34	не заинтересована в	1	1
35	и это есть	1	1
36	но для этого	1	1
37	можно было бы	4	1
38	и вместе с	1	1
39	то что он	1	1
40	мы приближаемся к	1	1
41	только потому что	4	1
42	не только в	2	1
43	символы а не	1	1
44	но и в	1	1
45	которые могут быть	1	1
46	в том чтобы	1	1
47	не было и	1	1
48	в том смысле	4	1
49	мы говорим что	2	1
50	из глубины и	1	1
51	как это было	1	1
52	есть прежде всего	1	1
53	но она не	1	1
54	это время как	1	1
55	о том что	6	1
56	же как и	1	1
57	и до сих	1	1
58	как ни в	1	1
59	не могут быть	1	1
60	дня и ночи	1	1
61	мы говорим о	1	1
62	в каком-то новом	1	1
63	в новое время	1	1
64	не та или	1	1
65	я ни в	1	1
66	и не в	1	1
67	а не с	1	1
68	во всяком случае	3	1
69	та или иная	4	1
70	есть такой же	1	1
71	нет у него	1	1
72	это не есть	1	1
73	это значит что	16	1
74	в то время	2	1
75	час тоски невыразимой	1	1
76	имея в виду	1	1
77	это и есть	3	1
78	то время как	2	1
79	я уже говорил	1	1
80	ни в чем	2	1
81	и не может	1	1
82	мысли и жизни	2	1
83	я думаю что	1	1
84	может быть только	2	1
