N	4gram	Vygotskiy_	VerxiiNi
1	в том числе и	3	4
2	во всяком случае не	1	3
3	и вместе с тем	2	3
4	бы то ни было	1	2
5	с этой точки зрения	4	2
6	в том виде в	1	2
7	точно так же как	1	2
8	состоит в том что	4	1
9	вместе с тем и	4	1
10	друг с другом не	1	1
11	но тем не менее	1	1
12	в связи с тем	1	1
13	ничем не отличаются от	1	1
14	указывает на то что	1	1
15	ни один из этих	3	1
16	с нашей точки зрения	2	1
17	во всяком случае в	1	1
18	одном и том же	2	1
19	между этими двумя моментами	1	1
20	том виде в каком	1	1
21	что мы знаем о	4	1
22	с одной стороны с	1	1
23	все что мы знаем	4	1
24	все более и более	1	1
25	совершенно так же как	1	1
26	в том что они	2	1
27	одного и того же	5	1
28	и даже там где	1	1
29	в самом деле если	1	1
30	один и тот же	6	1
31	а вместе с тем	1	1
