1	не может быть	4	7
2	можно сказать что	1	5
3	в том что	2	4
4	до сих пор	2	3
5	бы то ни	3	3
6	в художественном произведении	2	3
7	то ни было	3	3
8	то же самое	2	2
9	имеем в виду	1	2
10	с одной стороны	1	2
11	в данном случае	1	2
12	с другой стороны	3	2
13	или иных приемов	1	1
14	в противном случае	2	1
15	в самом деле	2	1
16	в конечном счете	4	1
17	приходится признать что	1	1
18	теоретическая и историческая	1	1
19	но это же	1	1
20	же время не	1	1
21	по крайней мере	2	1
22	но в то	1	1
23	мы имеем в	1	1
24	в то же	3	1
25	в этом отношении	2	1
26	и в частности	2	1
27	все же не	1	1
28	тех или иных	2	1
29	то же время	3	1
30	сам по себе	1	1
31	таком понимании форма	1	1
32	к которой принадлежит	1	1
33	и прежде всего	1	1
34	более или менее	1	1
35	но прежде всего	1	1
36	при таком понимании	1	1
37	равно как и	1	1
38	и эта позиция	1	1
39	и с другой	1	1
40	и независимо от	1	1
41	для него не	1	1
42	а между тем	2	1
43	и историческая поэтика	1	1
44	в этом смысле	2	1
