N	4gram	Berdyaev_M	Vladivir
1	в то время как	2	5
2	не что иное как	4	4
3	и вместе с тем	4	4
4	в том что он	1	3
5	он никогда не был	1	2
6	в том случае если	1	2
7	в вопросе о свободе	1	2
8	до сих пор не	1	2
9	есть не что иное	3	2
10	того ни с сего	1	1
11	в бога и в	1	1
12	с того ни с	1	1
13	на одной и той	1	1
14	в основе бытия лежит	1	1
15	с обычной точки зрения	1	1
16	отцов и учителей церкви	1	1
17	но оно не может	1	1
18	в них нет ничего	1	1
19	одной и той же	2	1
20	даже и в том	1	1
21	в том что это	1	1
22	а может быть и	1	1
23	и потому не может	1	1
24	есть вместе с тем	1	1
25	он так и не	1	1
26	ни с того ни	1	1
27	в своем отношении к	1	1
28	у него не было	1	1
29	ни в чем не	2	1
30	человек есть не только	1	1
31	о том что в	1	1
32	и в конце концов	2	1
33	так же как и	1	1
34	и не может быть	1	1
