N	2gram	Bakhtin_Fr	Komedia
1	и в	67	77
2	и не	23	47
3	в том	16	44
4	том что	13	42
5	о том	8	33
6	в г	2	33
7	но и	23	32
8	может быть	4	30
9	из них	5	29
10	таким образом	20	29
11	в то	17	28
12	v в	1	28
13	и его	19	28
14	в этом	27	27
15	потому что	8	27
16	что он	7	26
17	к тому	4	26
18	тому же	5	25
19	не только	23	25
20	вместе с	5	25
21	так как	16	24
22	как и	19	23
23	ни в	5	23
24	в доме	4	23
25	что в	14	23
26	в самом	7	22
27	что и	8	22
28	если бы	2	22
29	то же	18	21
30	ясно что	1	21
31	в конце	12	21
32	так и	14	21
33	а в	4	21
34	в его	17	20
35	к этому	4	19
36	во время	15	19
37	по адресу	2	19
38	в этой	13	18
39	тем что	3	17
40	же время	14	17
41	в нем	20	17
42	и здесь	6	17
43	еще не	5	17
44	при этом	5	16
45	все же	7	16
46	не менее	4	16
47	у него	4	16
48	сих пор	3	16
49	до нас	4	16
50	он не	9	16
51	и сам	2	16
52	до сих	3	16
53	тот же	4	16
54	не в	8	15
55	в своем	13	15
56	точки зрения	7	15
57	его в	10	15
58	в которой	1	15
59	между тем	3	15
60	один из	6	15
61	и на	12	15
62	было бы	5	15
63	прежде всего	19	15
64	и с	18	14
65	на протяжении	2	14
66	столь же	1	14
67	к нему	5	14
68	из комедии	1	14
69	в свою	1	14
70	все это	15	14
71	об этом	5	14
72	самом деле	6	13
73	о чем	5	13
74	в них	12	13
75	в одном	7	13
76	что она	4	13
77	того же	6	13
78	как раз	5	13
79	мы можем	5	13
80	в двух	1	13
81	так что	1	13
82	то что	9	13
83	того чтобы	9	13
84	но в	20	13
85	в котором	3	12
86	для того	8	12
87	так же	13	12
88	с другой	3	12
89	на сцене	1	12
90	несмотря на	3	12
91	хотя и	6	12
92	в качестве	5	12
93	как это	5	12
94	как в	4	12
95	уже в	1	12
96	в истории	2	12
97	не по	1	12
98	нового времени	6	12
99	в начале	2	12
100	не может	9	12
101	но не	6	12
102	и даже	6	11
103	с тем	3	11
104	по отношению	1	11
105	с ним	6	11
106	то время	4	11
107	должны были	1	11
108	как мы	16	11
109	на этот	4	11
110	и для	4	11
111	в их	4	11
112	в частности	4	11
113	к ней	2	11
114	с этим	6	10
115	он был	8	10
116	свою очередь	1	10
117	на него	2	10
118	тут же	2	10
119	с одной	2	10
120	в чем	6	10
121	как бы	18	10
122	и что	3	10
123	в отношении	2	10
124	и все	18	10
125	более чем	1	10
126	одной из	6	10
127	в глазах	1	10
128	с его	11	10
129	ничего не	5	10
130	мы не	6	10
131	на его	2	10
132	тем более	3	10
133	еще в	3	10
134	отношение к	1	10
135	в целом	2	10
136	все что	3	9
137	но все	2	9
138	в своей	6	9
139	больше чем	2	9
140	одной стороны	2	9
141	говорить о	5	9
142	и еще	1	9
143	тому что	1	9
144	только в	6	9
145	друг друга	1	9
146	в тех	1	9
147	о его	1	9
148	и по	3	9
149	независимо от	3	9
150	из его	2	9
151	в образе	9	9
152	того как	1	9
153	с участием	1	9
154	а также	4	9
155	вовсе не	19	9
156	отличие от	3	9
157	в ней	10	9
158	и особенно	1	9
159	отношению к	1	9
160	с этой	1	8
161	а затем	7	8
162	другой стороны	2	8
163	в прологе	1	8
164	г в	2	8
165	то это	1	8
166	по поводу	5	8
167	что у	2	8
168	не было	3	8
169	не знает	1	8
170	бы в	5	8
171	во всех	20	8
172	можно было	5	8
173	что для	1	8
174	если не	1	8
175	в которых	3	8
176	да и	2	8
177	в течение	3	8
