N	2gram	Bakhtin_KF	Psycholo
1	то что	7	193
2	и в	28	190
3	в том	6	163
4	что в	4	123
5	потому что	2	114
6	том что	4	113
7	может быть	45	107
8	в этом	15	100
9	то есть	1	97
10	в самом	1	82
11	как бы	9	80
12	для того	3	78
13	того чтобы	2	78
14	что он	2	76
15	не только	5	75
16	на то	1	73
17	и не	28	73
18	что она	1	71
19	самом деле	3	70
20	точки зрения	13	69
21	не может	29	68
22	если мы	1	66
23	так как	1	63
24	было бы	8	56
25	если бы	8	55
26	то же	5	54
27	о том	3	54
28	и мы	2	54
29	при этом	4	52
30	как и	5	51
31	что и	7	50
32	а не	17	50
33	что это	4	49
34	по себе	2	46
35	только в	18	46
36	к тому	1	45
37	в искусстве	1	45
38	не в	13	45
39	ясно что	3	43
40	в этой	2	43
41	показать что	1	43
42	никогда не	5	42
43	и все	9	42
44	вместе с	1	41
45	как это	1	40
46	но и	9	40
47	как раз	1	39
48	того что	3	39
49	же самое	1	38
50	и это	12	37
51	мы видим	1	37
52	и как	2	36
53	с тем	2	35
54	вовсе не	7	34
55	и его	18	34
56	тому что	2	33
57	все же	5	33
58	что все	1	33
59	когда он	1	33
60	в себе	21	32
61	все это	10	32
62	он не	6	31
63	мы не	3	31
64	в его	42	31
65	для нас	4	31
66	в ней	3	31
67	как в	2	30
68	и для	10	29
69	с точки	10	29
70	в нем	32	29
71	и когда	2	28
72	мы можем	1	28
73	и то	2	28
74	что мы	1	28
75	в своих	4	27
76	в основе	5	27
77	и на	3	27
78	а в	5	27
79	в трагедии	1	26
80	совершенно не	7	26
81	только что	1	25
82	и здесь	7	25
83	жизни и	8	25
84	до сих	1	24
85	до конца	3	24
86	тем что	3	24
87	и совершенно	3	24
88	в целом	10	24
89	в своем	17	23
90	сих пор	1	23
91	один из	2	23
92	для этого	2	23
93	могут быть	3	23
94	с этим	1	22
95	между тем	4	22
96	и даже	1	22
97	когда мы	1	22
98	в котором	24	21
99	той же	1	21
100	в своей	11	21
101	ни в	12	21
102	что эта	2	21
103	но только	1	21
104	как мы	1	21
105	и только	7	21
106	в то	3	20
107	тот же	3	20
108	мы имеем	5	20
109	она не	2	20
110	дело с	2	20
111	несмотря на	1	20
112	на этом	1	20
113	там где	5	20
114	это не	10	20
115	все эти	11	20
116	в одном	5	19
117	мы уже	1	19
118	в какой	1	19
119	мы должны	1	19
120	в ее	17	19
121	в которой	1	18
122	но в	5	18
123	зависимости от	1	18
124	в каком	4	18
125	на самом	3	18
126	но не	12	18
127	и есть	10	18
128	был бы	3	18
129	в виду	3	17
130	во всяком	1	17
131	но это	6	17
132	одна из	1	17
133	только не	1	17
134	и о	1	17
135	и к	1	16
136	из которых	2	16
137	к этому	2	16
138	та же	3	16
139	сводится к	2	16
140	и тем	3	16
141	не имеет	6	16
142	формы и	1	16
143	так и	2	16
144	от того	3	16
145	в результате	1	15
146	только на	1	15
147	что именно	1	15
148	во всех	11	15
149	и так	1	15
150	и потому	2	15
151	в зависимости	1	15
152	не просто	1	15
153	еще не	5	15
154	для него	13	15
155	не можем	1	15
156	хотя бы	5	14
157	но он	1	14
158	главным образом	1	14
159	это и	3	14
160	это только	2	14
161	прежде всего	4	14
162	такой же	1	14
163	в жизни	2	14
164	при таком	1	14
165	столь же	1	14
166	должна быть	4	14
167	это есть	2	14
168	всяком случае	1	14
169	или в	1	14
170	есть только	1	14
171	в области	2	14
172	с ним	5	14
173	само по	1	14
174	именно в	5	13
175	а с	2	13
176	могла бы	4	13
177	отнюдь не	7	13
178	едва ли	2	13
179	и он	1	13
180	могло бы	4	13
181	должен был	1	13
182	со стороны	8	13
183	в этих	1	12
184	их в	1	12
185	не менее	3	12
186	может служить	1	12
187	того же	1	12
188	в конечном	1	12
189	я не	6	12
190	тогда когда	3	12
191	совершенно правильно	1	12
192	в свою	3	12
193	и уже	1	12
194	и этот	3	12
195	и может	3	12
196	это в	1	12
197	и очень	1	12
198	и с	1	12
199	что этот	3	12
200	что не	3	12
201	по самому	1	12
202	и до	1	12
203	ничего не	3	12
204	об этом	1	12
205	что эти	1	12
206	конечном счете	1	11
207	конечно не	7	11
208	не было	8	11
209	не будет	2	11
210	утверждать что	1	11
211	была бы	1	11
212	оба эти	2	11
213	но мы	1	11
214	как к	2	11
215	мы никогда	1	11
216	на все	1	11
217	и других	2	11
218	он должен	1	11
219	исходит из	1	11
220	по поводу	1	11
221	его в	5	11
222	ли это	2	11
223	были бы	2	11
224	образом и	1	11
225	и из	1	11
226	отдельного человека	1	11
227	этого слова	2	11
228	с его	2	11
229	думать что	2	11
230	во всем	7	10
231	в другом	3	10
232	смысл и	6	10
233	только тогда	1	10
234	именно на	2	10
235	в их	9	10
236	в одной	1	10
237	от него	3	10
238	противоречие с	1	10
239	отличается от	1	10
240	в данном	2	10
241	должно быть	6	10
242	но как	5	10
243	совсем не	2	10
244	и от	1	10
245	здесь мы	4	10
246	не является	1	10
247	ее в	1	10
248	это было	2	10
249	и их	6	10
250	мы найдем	1	9
251	не есть	22	9
252	в действительности	1	9
253	вопрос о	2	9
254	в чем	4	9
255	и та	3	9
256	мы будем	1	9
257	в него	2	9
258	с ее	2	9
259	бы не	3	9
260	его и	2	9
261	из его	3	9
262	в виде	2	9
263	по своему	3	9
264	на его	1	9
265	и по	1	9
266	тем самым	4	9
267	и ее	2	9
268	но все	6	9
269	мысль о	1	9
270	можно сказать	1	9
271	и другой	1	9
272	к чему	3	9
273	и именно	2	9
274	ту же	1	9
275	который не	1	9
276	должен быть	7	9
277	том случае	1	9
278	и наконец	1	9
279	не к	1	9
280	это значит	1	8
281	что форма	1	8
282	для выражения	2	8
283	себе и	3	8
284	всех остальных	1	8
285	в сознании	2	8
286	и тот	3	8
287	и конечно	2	8
288	художественного творчества	1	8
289	имеет дело	1	8
290	ни на	1	8
291	тем же	1	8
292	о нем	4	8
293	смысле этого	1	8
294	бы совершенно	1	8
295	и таким	1	8
296	как все	1	8
297	место в	6	8
298	и эта	2	8
299	которой мы	1	8
300	из всех	1	8
301	согласиться с	1	8
302	гораздо более	2	8
303	уже давно	1	8
304	и отсюда	2	8
305	кажется что	2	8
306	содержания и	2	8
307	этом смысле	3	8
308	к нему	12	8
309	в противоречие	1	8
310	в процессе	2	8
311	относится к	1	8
312	мы получим	2	8
313	и во	1	8
314	он может	2	8
315	бы и	3	8
316	жизнь и	2	8
317	которую мы	1	8
318	мысли и	1	7
319	не как	4	7
320	от этого	2	7
321	во все	1	7
322	свою очередь	1	7
323	на том	1	7
324	она в	1	7
325	только при	1	7
326	больше и	1	7
327	в каждом	3	7
328	должны быть	1	7
329	что только	2	7
330	имеет место	1	7
331	со всеми	2	7
332	они не	1	7
333	к ним	4	7
334	не существует	1	7
335	того или	3	7
336	но при	1	7
337	к которой	2	7
338	это можно	2	7
339	же в	1	7
340	все что	1	7
341	и другую	1	7
342	одно из	1	7
343	нашего исследования	1	7
344	даны в	2	7
345	если он	1	7
346	в нашем	1	7
347	от себя	10	7
348	в качестве	2	7
349	и эти	2	7
350	лежит в	1	7
351	бы его	1	7
352	с которым	1	7
353	а как	2	7
354	если это	1	7
355	и действительно	6	7
356	себя и	5	7
357	признать что	1	7
358	совпадает с	1	7
359	времени и	4	7
360	ее не	1	7
361	здесь в	1	7
362	отказаться от	2	7
363	дело в	2	7
364	для нашей	1	7
