1	в то же время	7	13
2	но в то же	1	7
3	в том числе и	2	3
4	с одной стороны и	1	2
5	мы имеем в виду	3	2
6	и в то же	2	2
7	в той или иной	2	2
8	в связи с этим	1	1
9	ни в коем случае	2	1
10	в том случае если	1	1
11	одним и тем же	1	1
12	только то что может	1	1
13	то же время оно	1	1
14	какой бы то ни	1	1
15	не что иное как	1	1
16	той или иной форме	1	1
17	мы встречаемся с ним	1	1
18	то же время они	1	1
19	есть не что иное	1	1
20	они существенно связаны с	1	1
21	бы то ни было	2	1
22	одного и того же	3	1
23	по своему смыслу и	1	1
