1	не говоря уже о	3	5
2	не что иное как	4	5
3	есть не что иное	1	5
4	не имеет ничего общего	1	4
5	и т д и	1	4
6	или по крайней мере	4	4
7	дело в том что	4	3
8	имеет ничего общего с	1	3
9	указывает на то что	1	3
10	точно так же и	1	3
11	и в этом случае	3	3
12	если бы не было	2	3
13	о том что это	1	2
14	внимание на то что	2	2
15	с одной стороны и	3	2
16	сама по себе и	1	2
17	уже с самого начала	2	2
18	не имеющий ничего общего	1	2
19	одним и тем же	4	2
20	а может быть и	1	2
21	д и т д	1	2
22	же в таком случае	1	2
23	прежде чем перейти к	1	2
24	заключается в том что	3	2
25	что бы то ни	1	2
26	нужно сказать и о	1	2
27	бы то ни стало	1	2
28	самое нужно сказать и	1	2
29	тем не менее он	1	2
30	то же самое нужно	2	2
31	же самое нужно сказать	1	2
32	в том числе и	1	2
33	когда мы говорим что	1	2
34	в то время как	4	2
35	имеющий ничего общего с	1	2
36	во что бы то	1	2
37	только в том случае	1	2
38	одного и того же	9	2
39	имеем дело не с	1	1
40	тем не менее они	2	1
41	и в том и	1	1
42	тем не менее если	1	1
43	сводится к тому что	1	1
44	уже одно то что	1	1
45	как мы видели выше	1	1
46	с такой точки зрения	1	1
47	хотя бы даже и	1	1
48	в том случае если	2	1
49	не только потому что	1	1
50	при этом заметим что	1	1
51	хотя бы оно и	1	1
52	на то что в	2	1
53	ни для кого не	2	1
54	одно и то же	7	1
55	не для того чтобы	1	1
56	тем не менее совершенно	1	1
57	и тем же словом	2	1
58	значение не сам по	1	1
59	в том что все	1	1
60	еще и потому что	1	1
61	можно сказать что все	1	1
62	один и тот же	4	1
63	и т д это	1	1
64	потому что то что	1	1
65	и тот же предмет	1	1
66	во всяком случае не	2	1
67	между внешним и внутренним	1	1
68	имеет значение не сам	1	1
69	не сам по себе	1	1
70	только по тому как	1	1
71	и ни для кого	1	1
72	и в самом деле	1	1
73	к тому и другому	1	1
74	и во многих других	2	1
75	как мы уже сказали	1	1
76	прежде чем говорить о	1	1
77	существует только тогда когда	1	1
78	в том случае когда	2	1
79	это последнее может быть	1	1
80	вопрос о том что	2	1
81	только тогда когда это	1	1
82	то и другое имеет	1	1
83	не было бы никакого	1	1
84	то тем самым мы	2	1
85	вовсе не то что	1	1
86	тем что в нем	1	1
87	так же как и	1	1
88	мы до сих пор	1	1
89	и в других случаях	1	1
90	говоря уже о том	2	1
91	тем не менее этот	1	1
92	о том что такое	1	1
93	а в том числе	1	1
94	то ни стало свести	1	1
95	мы имеем дело не	1	1
96	и не может быть	1	1
97	не только не есть	1	1
98	указание на то что	1	1
99	между тем и другим	3	1
100	тем более это нужно	1	1
101	для того чтобы она	1	1
102	и во всех случаях	1	1
103	и в этом отношении	1	1
104	обратить внимание на то	2	1
105	то есть только в	1	1
106	уже о том что	2	1
107	одной и той же	7	1
108	только в таком случае	1	1
109	но даже и в	1	1
110	но тем не менее	10	1
