N	4gram	Voloshinov	Istorich
1	не что иное как	2	11
2	в тех случаях когда	2	10
3	но вместе с тем	1	8
4	как мы увидим ниже	1	7
5	есть не что иное	2	5
6	мы должны были бы	1	4
7	это происходит потому что	1	4
8	это не совсем так	1	3
9	прежде всего мы должны	1	2
10	одной и той же	4	2
11	все больше и больше	2	2
12	сколько бы мы ни	1	2
13	одно и то же	5	2
14	и не может быть	1	2
15	иметь в виду что	1	2
16	мы уже видели что	1	2
17	само по себе не	1	1
18	и легче всего поддается	1	1
19	и тем что он	1	1
20	от того в какой	1	1
21	для наших целей достаточно	1	1
22	все это дает нам	1	1
23	но все же и	1	1
24	не только в области	2	1
25	как мы видели есть	1	1
26	с нашей точки зрения	1	1
27	в связи с этим	2	1
28	как мы уже знаем	1	1
29	мысль о том что	1	1
30	о том что такое	1	1
31	то же самое и	1	1
32	тем не менее и	1	1
33	и как мы видели	1	1
34	одни и те же	2	1
35	мы видим что и	1	1
36	независимо от того в	1	1
37	содержит в себе элементы	1	1
38	вместе с тем и	2	1
39	одна и та же	1	1
40	мы должны помнить что	1	1
41	но и в области	2	1
42	в зависимости от того	2	1
43	как мы видели не	1	1
44	как только мы начинаем	1	1
45	в то же время	7	1
46	если бы нам удалось	1	1
