N	4gram	Trubetskoy	Dialekti
1	в то же время	2	14
2	одно и то же	1	12
3	в то время как	1	8
4	не говоря уже о	1	7
5	одной и той же	1	5
6	не в том что	1	5
7	с этой точки зрения	1	4
8	несмотря на то что	2	3
9	одно из двух или	1	3
10	мы уже знаем что	1	2
11	говоря уже о том	1	2
12	дело в том что	1	2
13	уже о том что	1	2
14	только тогда когда оно	1	2
15	тем не менее в	1	2
16	именно в том что	1	1
17	из поставленных выше вопросов	2	1
18	в том и в	1	1
19	именно с точки зрения	1	1
20	и в голову не	1	1
21	ни то ни другое	1	1
22	и до сих пор	1	1
23	том и в другом	1	1
24	как и все прочие	1	1
25	есть не более как	1	1
26	о том что все	1	1
27	на самом деле есть	1	1
28	то ни другое ни	1	1
29	и в другом случае	1	1
30	заключается в том что	3	1
31	бы то ни было	3	1
32	никому и в голову	1	1
33	ее с точки зрения	1	1
34	нечего и говорить что	3	1
35	принять во внимание что	1	1
36	надо иметь в виду	1	1
37	можно представить себе как	1	1
38	одному и тому же	1	1
39	в том что все	1	1
40	до сих пор не	5	1
41	о котором мы только	1	1
42	что в данном случае	1	1
43	мы уже сказали что	1	1
44	и в том и	1	1
45	в том случае если	4	1
46	ни другое ни третье	1	1
47	что это есть не	1	1
48	и не может быть	1	1
49	отличаются друг от друга	3	1
50	а в том что	1	1
51	а на самом деле	1	1
52	а между тем в	1	1
53	котором мы только что	1	1
54	не есть ли это	1	1
55	в том что он	1	1
56	отнюдь не тем что	1	1
57	в том что они	1	1
58	лишь в том случае	2	1
59	и с точки зрения	1	1
60	мы находим в разных	1	1
61	от того будет ли	1	1
62	приводит к тому что	1	1
63	в самом деле если	1	1
