N	2gram	Propp_Russ	Russkaja
1	не может	6	22
2	и не	6	19
3	в этом	18	17
4	в том	33	17
5	с другом	1	14
6	и в	59	14
7	друг с	1	14
8	то что	10	13
9	таким образом	10	11
10	то же	6	11
11	точки зрения	3	11
12	но и	20	10
13	в то	3	10
14	не только	28	9
15	с точки	3	9
16	том что	33	9
17	во всяком	1	9
18	может быть	14	9
19	церкви и	3	9
20	в себе	1	9
21	прежде всего	2	8
22	того чтобы	6	8
23	как на	2	8
24	не будет	1	7
25	россии в	1	7
26	самом деле	1	7
27	стремление к	1	7
28	к тому	4	7
29	о том	14	7
30	в данном	7	7
31	мы должны	3	7
32	и с	12	7
33	отнюдь не	3	7
34	и к	3	6
35	если в	3	6
36	и при	2	6
37	для него	1	6
38	все это	12	6
39	на самом	3	6
40	в своих	3	6
41	если бы	1	6
42	и для	3	6
43	в россии	4	6
44	с тем	14	6
45	что он	2	6
46	для того	6	6
47	в своем	3	6
48	всяком случае	1	6
49	и на	14	5
50	из которых	2	5
51	только в	4	5
52	по существу	7	5
53	в своей	1	5
54	себя и	2	5
55	между собой	4	5
56	во всех	6	5
57	церкви не	1	5
58	вопрос о	4	5
59	потому что	15	5
60	в нем	3	5
61	между тем	9	5
62	он не	1	5
63	а между	1	5
64	а в	16	5
65	при этом	11	5
66	было бы	3	5
67	на то	2	5
68	он должен	2	5
69	никогда не	1	5
70	что в	35	4
71	во всем	2	4
72	и то	2	4
73	все что	2	4
74	когда они	2	4
75	так как	25	4
76	к этой	1	4
77	тогда когда	4	4
78	в его	3	4
79	не могут	1	4
80	его в	9	4
81	более или	1	4
82	не в	2	4
83	вместе с	16	4
84	как и	19	4
85	на земле	3	4
86	все же	7	4
87	приводит к	4	4
88	в их	5	4
89	к вопросу	2	4
90	себе и	1	4
91	или менее	1	4
92	на соборе	1	4
93	которой он	1	4
94	можно было	3	4
95	в совершенно	1	4
96	от того	1	4
97	церковь не	1	4
98	как бы	18	4
99	в этой	4	4
100	жизни и	1	4
101	но не	7	4
102	точку зрения	1	4
103	что они	8	3
104	этом случае	9	3
105	собой и	2	3
106	самих себя	1	3
107	может не	1	3
108	данном случае	8	3
