N	2gram	Tiupa_Hudo	VrazhdaK
1	в году	2	18
2	не только	20	9
3	и достоевского	1	9
4	в этом	12	8
5	и в	23	8
6	и что	4	8
7	что в	7	7
8	тургенева в	1	7
9	достоевского в	1	7
10	но и	14	7
11	то что	5	7
12	как и	3	6
13	и даже	1	6
14	в романе	3	6
15	все же	1	6
16	в котором	1	6
17	в нем	6	6
18	но в	10	6
19	то же	12	5
20	у него	2	5
21	и не	16	5
22	между тем	4	5
23	об этом	2	5
24	не было	1	5
25	же время	7	5
26	в то	8	5
27	это не	4	4
28	при этом	19	4
29	несмотря на	2	4
30	с ним	2	4
31	для нас	1	4
32	все это	2	4
33	в виду	5	4
34	в своих	1	4
35	что он	5	4
36	у достоевского	1	4
37	о том	2	4
38	может быть	19	4
39	в истории	1	4
40	как бы	11	4
41	так же	2	4
42	что достоевский	1	4
43	русской литературе	2	3
44	в его	11	3
45	в том	20	3
46	его в	4	3
47	раз в	1	3
48	связи с	3	3
49	но он	3	3
50	в связи	3	3
51	я не	2	3
52	и как	4	3
53	далеко не	4	3
54	тем что	1	3
55	речь идет	2	3
56	в чем	2	3
57	в русской	3	3
58	о себе	2	3
59	дворянского гнезда	1	3
60	том что	9	3
61	он не	4	3
62	в конце	1	3
63	и о	4	3
64	одним из	2	3
65	в своем	4	3
66	на то	1	3
67	с его	6	3
68	и его	12	3
69	в той	3	2
70	таким образом	3	2
71	начиная с	2	2
72	и то	4	2
73	в момент	3	2
74	время и	1	2
75	с точки	3	2
76	для него	5	2
77	о чем	3	2
78	как раз	3	2
79	в повести	2	2
80	в них	2	2
81	а также	6	2
82	же в	1	2
83	отношения к	4	2
84	в мире	24	2
85	их в	3	2
86	же как	1	2
87	в своей	7	2
88	рядом с	1	2
89	вместе с	1	2
90	что ж	1	2
91	так в	4	2
92	в это	1	2
93	в известном	2	2
94	не менее	5	2
95	и это	2	2
96	на первый	1	2
97	еще не	4	2
98	но как	2	2
99	а с	2	2
100	в свою	3	2
101	на основе	2	2
102	и т.п	7	2
103	личность и	1	2
104	в этой	2	2
105	человека с	3	2
106	тогда как	15	2
107	а в	13	2
108	на это	1	2
109	писателей но	1	2
110	к ним	1	2
111	отношение к	7	2
112	уже не	6	2
113	из них	1	2
114	в себе	13	2
115	с нею	1	2
116	не может	9	2
117	место в	5	2
118	с которым	1	2
119	столь же	2	2
120	том же	1	2
121	точки зрения	11	2
122	тем более	2	2
123	одна из	2	2
124	отнюдь не	2	2
125	в него	1	2
126	и ее	3	2
127	к автору	1	2
128	никогда не	2	2
129	могли быть	1	2
130	души и	1	1
131	в особенности	1	1
132	своего рода	9	1
133	в самом	7	1
134	то в	2	1
135	как к	5	1
136	именно к	1	1
137	в преступлении	1	1
138	так и	12	1
139	что они	1	1
140	в свое	1	1
141	в литературе	2	1
142	все что	1	1
143	для всех	1	1
144	в душе	9	1
145	один из	2	1
146	можно говорить	1	1
147	со мной	1	1
148	этого в	1	1
