N	3gram	Voloshinov	Formalny
1	с точки зрения	5	40
2	не может быть	2	29
3	на самом деле	3	21
4	то же время	7	20
5	в то же	9	20
6	в связи с	2	16
7	по отношению к	2	12
8	в самом деле	2	11
9	в этом отношении	2	11
10	в зависимости от	7	10
11	в большинстве случаев	1	9
12	с другой стороны	1	9
13	и не может	1	9
14	для того чтобы	7	8
15	до сих пор	1	8
16	вместе с тем	2	8
17	как мы видели	3	8
18	более или менее	1	7
19	того или иного	5	7
20	в высшей степени	1	7
21	в свою очередь	4	7
22	и в этом	1	7
23	в том что	1	6
24	и в то	2	6
25	не только не	1	6
26	смысле этого слова	2	6
27	одни и те	2	5
28	к тому что	2	5
29	в значительной степени	2	5
30	и те же	2	5
31	связи с этим	2	5
32	прежде всего в	4	5
33	мы не можем	1	5
34	в той же	3	4
35	тем не менее	1	4
36	в конце концов	3	4
37	в последнем счете	1	4
38	как раз и	1	4
39	вовсе не является	1	4
40	но все же	3	4
41	но и в	3	4
42	может быть понято	2	4
43	с самого начала	4	4
44	хотя бы в	1	4
45	и не могут	1	4
46	в нем и	1	4
47	нет и не	1	4
48	ничего не останется	2	4
49	мы уже знаем	1	3
50	с помощью языка	1	3
51	то или иное	4	3
52	так и от	1	3
53	не только на	1	3
54	чтобы убедиться в	1	3
55	то же самое	4	3
56	равно как и	2	3
57	с тем и	2	3
58	мы увидим что	2	3
59	в литературном произведении	1	3
60	при этом не	1	3
61	во всех своих	3	3
62	но в то	2	3
63	у нас не	2	3
64	в пределах одного	1	3
65	как мы увидим	2	3
66	между этими двумя	1	3
67	и является задачей	1	2
68	все то что	2	2
69	речевого общения в	2	2
70	отнюдь не является	1	2
71	отношение к миру	1	2
72	ни на кого	1	2
73	но все эти	1	2
74	в собственном смысле	1	2
75	или иное значение	1	2
76	хотя бы и	1	2
77	в жизни и	1	2
78	было говорить о	1	2
79	но даже и	1	2
80	бы совершенно иной	1	2
81	одних и тех	1	2
82	но при этом	2	2
83	форм и типов	1	2
84	именно потому что	1	2
85	иметь в виду	1	2
86	что перед нами	2	2
87	тех или иных	3	2
88	и тем самым	3	2
89	влияние и на	1	2
90	социального общения и	3	2
91	слово как таковое	1	2
92	мы видели что	2	2
93	и все же	1	2
94	то что именно	1	2
95	ничем не связанных	1	2
96	и тем же	2	2
97	в социальной жизни	1	2
98	данной социальной группы	1	2
99	ни на один	1	2
100	подвести некоторые итоги	1	2
101	как и в	1	2
102	можно говорить лишь	1	2
103	и тех же	1	2
104	особое место в	1	2
105	на этот вопрос	1	2
106	мы приходим к	1	2
107	не говоря уже	1	2
108	они находятся в	1	2
109	одним и тем	1	2
110	же время и	1	2
111	что было бы	1	2
112	зависимости от того	2	2
113	не только в	3	2
114	мы имеем в	1	2
115	в этом случае	3	2
116	в виду что	1	2
117	же как мы	1	2
118	так как и	1	2
119	или хотя бы	2	2
120	что же такое	2	2
121	лежит в основе	1	2
122	тот или иной	2	2
123	если же он	1	2
124	мы убедились что	2	1
125	и в жизни	1	1
126	и в сознании	2	1
127	существенными социально-экономическими предпосылками	1	1
128	и как бы	2	1
129	имели в виду	2	1
130	а не иначе	1	1
131	о котором мы	1	1
132	мы наблюдаем в	1	1
133	ни на минуту	1	1
134	значение лишь в	1	1
135	вполне понятно что	1	1
136	свое выражение в	1	1
137	но вместе с	1	1
138	о чем говорится	1	1
139	произведения совершается в	1	1
140	на другого человека	1	1
141	бы мы ни	3	1
142	как материал для	1	1
143	который вкладывается в	1	1
144	по сравнению с	1	1
145	в процессе развития	1	1
146	коллектива в котором	1	1
147	не поняв его	1	1
148	и преломляется в	2	1
149	нашей точки зрения	1	1
150	не может пойти	1	1
151	теперь мы можем	1	1
152	в наш кругозор	1	1
153	в своем развитии	1	1
154	и во всех	1	1
155	вот что говорит	1	1
156	в ней как	1	1
157	и всякий идеологический	1	1
158	органов речи и	1	1
159	и то же	5	1
160	тем что его	1	1
161	через нее и	1	1
162	не останется как	1	1
163	а не наоборот	1	1
164	того социального коллектива	1	1
165	мы подойдем к	1	1
166	одного и того	1	1
167	как таковой не	1	1
168	в сознании человека	2	1
169	знаком в слове	1	1
170	что же останется	1	1
171	условий при которых	1	1
172	что было в	2	1
173	в том насколько	1	1
174	так а не	1	1
175	имеет первостепенное значение	1	1
176	этого слова мы	1	1
177	то о чем	1	1
178	что же является	1	1
179	конечно таким же	1	1
180	или иное место	1	1
181	и чаще всего	1	1
182	целого произведения и	1	1
183	лишь там где	1	1
184	в наши дни	1	1
185	так и по	1	1
186	прежде всего мы	1	1
187	являются для нас	1	1
188	как и всякий	1	1
189	в одних и	1	1
190	как материалом для	1	1
191	что оно является	1	1
192	возникновения и развития	2	1
193	мы совершенно не	1	1
194	но если бы	1	1
195	и никогда не	1	1
196	по себе не	1	1
197	таким образом в	1	1
198	они как бы	1	1
199	и по отношению	1	1
200	есть не что	2	1
201	и того же	1	1
202	не может не	1	1
203	в ее наиболее	1	1
204	социальной оценки в	1	1
205	что для них	1	1
206	языка и не	1	1
207	на минуту не	1	1
208	не может ведь	1	1
209	в виду прежде	1	1
210	отражающих и преломляющих	1	1
211	виду прежде всего	1	1
212	всего того что	1	1
213	теми или иными	1	1
214	мы видим что	2	1
215	каждое из этих	1	1
216	свою очередь определяет	1	1
217	с нашей точки	1	1
218	конечно это не	1	1
219	собственном смысле слова	1	1
220	может показаться что	2	1
221	в конкретном высказывании	1	1
222	в том и	1	1
223	таким образом мы	1	1
224	художественного творчества и	1	1
225	друг друга и	1	1
226	и в романе	1	1
227	чуть ли не	2	1
228	совершенно иной но	1	1
229	той или иной	4	1
230	и форму его	1	1
231	котором мы говорили	1	1
232	во всех их	1	1
233	происходит и в	1	1
234	вследствие того что	1	1
235	мы увидим дальше	1	1
236	прежде всего на	1	1
237	отражается и преломляется	1	1
238	как по отношению	1	1
239	в процессе общения	1	1
240	как к своему	1	1
241	не нуждается в	1	1
242	вошел в кругозор	1	1
243	и в особенности	1	1
244	которая могла бы	1	1
245	о том что	2	1
246	ни в какой	1	1
247	того чтобы не	1	1
248	по крайней мере	1	1
249	это связано с	1	1
250	в гораздо большей	1	1
251	ту или иную	4	1
252	во внутренней речи	3	1
253	тот факт что	1	1
254	что же делает	1	1
255	и не было	1	1
256	остается тем же	1	1
257	можно сказать что	2	1
258	только в том	1	1
259	и той же	4	1
260	что при этом	1	1
261	гораздо большей степени	1	1
262	социального коллектива в	1	1
263	той же мере	1	1
264	быть понято и	2	1
265	того что было	1	1
266	на всякое высказывание	1	1
267	в точном смысле	2	1
268	знаки идеологического общения	1	1
269	на один из	1	1
270	существеннейшую роль в	1	1
271	иное значение лишь	1	1
272	не было бы	2	1
273	с помощью которого	1	1
274	речи но все	1	1
275	не что иное	2	1
276	содержание и форму	2	1
277	что иное как	2	1
278	одно и то	5	1
279	то у нас	1	1
280	тем же самым	1	1
281	не должен забывать	1	1
282	связаны с более	1	1
