N	3gram	Propp_Russ	Formalny
1	с точки зрения	3	40
2	не может быть	1	29
3	на самом деле	1	21
4	и т д	12	19
5	и т п	1	18
6	в связи с	4	16
7	во всяком случае	1	16
8	в настоящее время	3	13
9	по отношению к	1	12
10	в этом отношении	1	11
11	в большинстве случаев	2	9
12	для того чтобы	6	8
13	вместе с тем	10	8
14	как мы видели	1	8
15	с одной стороны	1	8
16	в применении к	1	7
17	более или менее	1	7
18	и пр и	1	7
19	в свою очередь	2	7
20	как мы знаем	1	7
21	и в этом	2	7
22	в том что	27	6
23	с тем что	1	6
24	в данном случае	7	6
25	может быть и	3	6
26	одни и те	1	5
27	в отличие от	4	5
28	к тому что	4	5
29	и те же	1	5
30	мы не можем	5	5
31	тем не менее	3	4
32	но все же	2	4
33	но и в	1	4
34	подобно тому как	3	4
35	т е как	1	4
36	по аналогии с	1	4
37	а н веселовского	3	3
38	нечто совсем другое	1	3
39	мы уже знаем	2	3
40	друг с другом	1	3
41	не только на	3	3
42	можно говорить о	1	3
43	что бы ни	1	3
44	из всего этого	1	3
45	самом же деле	2	3
46	на самом же	2	3
47	с тем и	3	3
48	в том чтобы	2	3
49	потому что он	2	3
50	и в дальнейшем	1	3
51	мы увидим что	1	3
52	главным образом на	1	3
53	при этом не	1	3
54	в противном случае	1	3
55	и то и	1	3
56	как мы увидим	5	3
57	т е в	6	3
58	с таким же	2	3
59	а в связи	1	2
60	и наконец в	1	2
61	т е на	2	2
62	это приводит к	1	2
63	в собственном смысле	1	2
64	в предыдущей главе	1	2
65	такой же степени	1	2
66	они вместе с	1	2
67	совершенно очевидно что	2	2
68	не потому что	1	2
69	как например в	1	2
70	и для них	2	2
71	в такой же	1	2
72	иметь в виду	2	2
73	не могла быть	1	2
74	в двух направлениях	1	2
75	поэтому мы не	1	2
76	и в других	7	2
77	влияние и на	1	2
78	в таком случае	1	2
79	в своей книге	1	2
80	из того что	1	2
81	и в том	2	2
82	мы видели что	1	2
83	в это время	3	2
84	как и в	1	2
85	в целом ряде	1	2
86	быть и не	1	2
87	ничего общего с	1	2
88	на этот вопрос	1	2
89	т е с	1	2
90	так как они	2	2
91	не только в	1	2
92	так же как	5	2
93	в этом случае	9	2
94	в виду что	2	2
95	что и в	1	2
96	направления в их	1	1
97	и как бы	1	1
98	этого слова в	1	1
99	мы наблюдаем в	1	1
100	можно говорить об	1	1
101	том что это	2	1
102	но вместе с	3	1
103	виду что в	1	1
104	сделать вывод что	1	1
105	и многие другие	2	1
106	т е когда	1	1
107	указывает что в	1	1
108	но и на	2	1
109	у нас в	1	1
110	и связанные с	2	1
111	не значит что	2	1
112	в том же	1	1
113	нее как на	1	1
114	что также не	1	1
115	в какой степени	3	1
116	так например в	1	1
117	на нее как	1	1
118	главным образом из	1	1
119	но для каждого	1	1
120	не можем согласиться	1	1
121	говорит о том	1	1
122	одного и того	1	1
123	это не значит	2	1
124	эти требования и	1	1
125	идет не о	1	1
126	все же в	1	1
127	что было в	1	1
128	можно сделать вывод	1	1
129	оно связано с	1	1
130	которое в свою	1	1
131	но в данном	1	1
132	но ни одна	1	1
133	можно думать что	1	1
134	или даже просто	1	1
135	что в этом	2	1
136	к вопросу об	1	1
137	том что этот	2	1
138	что именно эти	1	1
139	таким образом в	1	1
140	но не с	1	1
141	и в нашем	1	1
142	том чтобы установить	1	1
143	что в основе	1	1
144	и того же	1	1
145	для нас важны	1	1
146	состоит в том	16	1
147	но в особенности	1	1
148	не может не	1	1
149	по этому поводу	3	1
150	что в первый	2	1
151	так как он	1	1
152	для нас важно	1	1
153	значит что они	1	1
154	приблизимся к пониманию	1	1
155	мы видим что	1	1
156	в этих случаях	1	1
157	нужно иметь в	1	1
158	т е не	1	1
159	и некоторые другие	2	1
160	не по существу	1	1
161	к ней как	1	1
162	на то что	2	1
163	а вместе с	1	1
164	каждый из этих	2	1
165	о том что	6	1
166	они ничего не	1	1
167	а иногда и	4	1
168	делается вывод что	1	1
169	мы и здесь	1	1
170	т е что	1	1
171	а следовательно и	1	1
172	можно сказать что	1	1
173	и состоит в	1	1
174	что при этом	1	1
175	значения между тем	1	1
176	в то время	3	1
177	свое внимание на	1	1
178	все же не	2	1
179	хотя и не	1	1
180	в этот поток	1	1
181	в этом бою	1	1
182	кроме того в	3	1
183	те или другие	1	1
184	иногда и в	1	1
185	не что иное	3	1
186	что иное как	3	1
187	тому как в	1	1
188	и все другие	1	1
189	же а не	1	1
190	значения и смысла	1	1
191	входит в круг	1	1
192	из этих элементов	1	1
193	между собой и	1	1
194	только потому что	1	1
195	во всех этих	1	1
196	прежде всего как	1	1
197	еще далеко не	2	1
198	что каждый из	2	1
199	существует независимо от	1	1
200	но тем не	2	1
201	в этой роли	1	1
202	но так как	1	1
203	же как и	3	1
204	в других случаях	2	1
205	том что они	1	1
206	по меньшей мере	1	1
207	в связь с	1	1
208	в таком виде	2	1
209	и в некоторых	2	1
210	по этому вопросу	1	1
211	объясняется тем что	1	1
212	сюда же относятся	1	1
213	одна из них	1	1
214	вне связи с	1	1
215	вопрос о том	1	1
216	то увидим что	1	1
217	это и есть	1	1
218	можно было бы	2	1
219	потому что они	1	1
220	по происхождению своему	2	1
