N	2gram	Tiupa_Anal	FransuaR
1	и в	36	367
2	то есть	15	209
3	в этом	19	112
4	и т.п	7	108
5	и не	14	101
6	таким образом	4	100
7	и его	18	99
8	в его	12	98
9	прежде всего	7	92
10	не только	40	87
11	мы уже	2	85
12	но и	26	84
13	как бы	14	82
14	все эти	2	79
15	вовсе не	2	77
16	в романе	3	77
17	как и	27	76
18	в нем	3	75
19	но в	8	75
20	и на	5	72
21	и др	1	72
22	в том	16	71
23	как мы	4	71
24	то же	7	66
25	и все	3	66
26	в них	4	65
27	в этой	10	65
28	так и	19	65
29	и с	1	64
30	в сущности	5	64
31	в то	8	63
32	во время	2	63
33	во всех	4	62
34	все это	5	62
35	же время	7	55
36	что в	15	52
37	в своем	7	51
38	только в	9	48
39	и до	2	46
40	том что	19	45
41	в году	5	44
42	уже говорили	1	44
43	то что	5	41
44	здесь в	2	41
45	у него	2	40
46	жизни и	2	40
47	в самом	7	38
48	точки зрения	3	37
49	в ней	2	37
50	с его	15	36
51	о том	9	35
52	он был	3	35
53	может быть	19	35
54	мы видим	1	35
55	сказать что	2	34
56	и даже	12	34
57	в себе	7	34
58	рабле не	1	34
59	до нас	1	34
60	рядом с	1	32
61	в конце	6	32
62	он не	9	32
63	для него	8	32
64	в литературе	3	31
65	связаны с	2	31
66	в своей	12	31
67	нового времени	4	31
68	так же	1	30
69	но он	1	30
70	один из	6	30
71	потому что	1	30
72	той же	7	30
73	и потому	3	30
74	никогда не	7	30
75	в одном	4	29
76	еще не	7	29
77	связи с	1	29
78	в этих	2	29
79	что он	5	29
80	не может	3	29
81	в особенности	4	29
82	при этом	19	29
83	его в	4	29
84	не в	9	29
85	и к	7	28
86	из них	4	28
87	всех этих	1	28
88	в той	3	28
89	в основе	2	28
90	здесь и	3	28
91	и другие	1	27
92	сих пор	1	27
93	до сих	1	27
94	все же	6	27
95	по своему	3	27
96	роль в	5	27
97	в эпизоде	7	27
98	и их	3	27
99	все они	2	26
100	на самом	1	25
101	с помощью	1	25
102	но это	3	25
103	мира и	2	25
104	он и	4	24
105	но не	13	24
106	например в	2	24
107	в ее	5	24
108	и у	1	24
109	и от	3	24
110	как в	9	24
111	того чтобы	1	24
112	времени и	1	24
113	в частности	19	24
114	в большинстве	2	24
115	отношение к	2	24
116	большинстве случаев	1	23
117	так сказать	2	23
118	своего рода	17	23
119	и здесь	4	23
120	с ним	2	23
121	и для	4	23
122	в их	7	23
123	есть и	1	23
124	это не	4	23
125	еще и	4	23
126	даже в	6	22
127	не было	3	22
128	а в	17	22
129	тем что	3	22
130	что и	10	22
131	и других	1	22
132	там где	2	22
133	вместе с	3	22
134	и во	1	22
135	связь с	3	22
136	и о	1	22
137	в своих	3	21
138	именно в	4	21
139	культуры и	1	21
140	в отношении	2	21
141	уже в	5	21
142	и как	5	21
143	есть в	2	21
144	в качестве	22	21
145	одним из	1	21
146	в себя	6	21
147	что это	1	21
148	и наконец	1	21
149	в виду	1	20
150	в связи	1	20
151	в значительной	3	20
152	одной из	6	20
153	этом отношении	3	20
154	с точки	2	20
155	как раз	8	20
156	а также	5	20
157	самом деле	2	20
158	во всем	5	19
159	их в	1	19
160	к этому	3	19
161	в эту	2	19
162	того же	7	19
163	за пределы	3	19
164	было бы	6	19
165	с ее	3	19
166	в дальнейшем	2	19
167	с другой	10	19
168	хотя и	4	19
169	в форме	2	19
170	далеко не	8	19
171	на мир	1	18
172	со всеми	2	18
173	это и	4	18
174	здесь не	8	18
175	одна из	6	18
176	но они	2	18
177	превращается в	3	18
178	на этом	2	18
179	перед нами	7	18
180	и смерти	1	17
181	для того	1	17
