N	3gram	Vygotskiy_	OGranits
1	с точки зрения	11	5
2	не может быть	3	4
3	до тех пор	2	4
4	тех пор пока	2	3
5	одно и то	3	3
6	в том что	20	2
7	то же слово	1	2
8	ничего общего с	2	2
9	не что иное	1	2
10	того или иного	2	2
11	в зависимости от	1	2
12	в данном случае	5	2
13	но так как	1	2
14	и то же	3	2
15	в самом деле	29	2
16	что иное как	1	2
17	с одной стороны	6	2
18	с другой стороны	5	2
19	с самого начала	10	2
20	мы все же	1	1
21	не было бы	2	1
22	на самом деле	3	1
23	таким образом мы	1	1
24	так же точно	4	1
25	те же самые	1	1
26	и тот же	1	1
27	и как бы	2	1
28	все то что	13	1
29	к тому направлению	1	1
30	может быть не	2	1
31	как это обычно	1	1
32	что едва ли	1	1
33	тому направлению которое	1	1
34	не могу поверить	1	1
35	подобно тому как	1	1
36	в конечном счете	1	1
37	если бы мы	1	1
38	так же как	2	1
39	что в ней	3	1
40	на то что	16	1
41	для того чтобы	17	1
42	мы уже видели	1	1
43	том что в	1	1
44	на две группы	1	1
45	до такой степени	3	1
46	и никогда не	2	1
47	все эти три	1	1
48	мысли и что	1	1
49	там где она	3	1
50	хотя бы в	1	1
51	то или иное	1	1
52	то что до	1	1
53	что в этом	2	1
54	один и тот	1	1
55	в отличие от	1	1
56	этой точки зрения	2	1
57	время мы имеем	1	1
58	как и в	1	1
59	то же самое	12	1
60	то что в	5	1
61	а вовсе не	2	1
62	к тому что	5	1
63	несмотря на все	1	1
64	только то что	3	1
65	но столь же	1	1
66	вступает в свои	1	1
67	в предисловии к	2	1
68	и к тому	1	1
69	так как все	1	1
70	в этом отношении	1	1
71	своего времени в	1	1
72	как в музыке	1	1
73	в свои права	1	1
74	более или менее	1	1
75	в достаточной мере	1	1
76	элемента в целом	1	1
77	с этой точки	2	1
78	не мог бы	1	1
79	можно было бы	6	1
80	те или иные	1	1
81	мы не можем	2	1
82	в тех случаях	1	1
83	и вместе с	3	1
84	состоит в том	2	1
85	однако было бы	1	1
86	ошибкой думать что	1	1
87	и не может	1	1
88	потому что они	2	1
89	нам кажется что	1	1
90	тот же самый	1	1
91	а также и	1	1
92	указать на то	1	1
93	может быть и	1	1
