N	3gram	Berdyaev_N	KFilosof
1	не может быть	4	11
2	может быть только	1	7
3	ни в чем	1	4
4	в этом смысле	2	3
5	в котором и	1	3
6	это не есть	1	3
7	в том что	1	2
8	других людей и	1	2
9	мы говорим о	1	2
10	но это уже	1	2
11	а не в	1	2
12	вопрос о том	2	2
13	быть не может	1	1
14	а это предполагает	1	1
15	том смысле в	1	1
16	для этого конечно	1	1
17	не должно быть	1	1
18	это не значит	2	1
19	вместе с тем	2	1
20	равно как и	2	1
21	во всяком случае	1	1
22	а не к	1	1
23	но сам этот	1	1
24	и во всех	1	1
25	в большинстве случаев	1	1
26	в том смысле	1	1
27	в средние века	3	1
28	что в эту	1	1
29	конечно не в	1	1
30	не есть принцип	1	1
31	в том случае	1	1
32	он не может	2	1
33	и не в	1	1
34	для себя и	1	1
35	не значит что	3	1
36	когда мы говорим	2	1
37	этого мира не	1	1
38	не в том	1	1
39	я исхожу из	1	1
40	жизнь не может	1	1
41	одного и того	1	1
42	со всех сторон	3	1
43	он не имеет	2	1
44	как это было	1	1
45	этого не знает	1	1
46	до сих пор	1	1
47	я не могу	1	1
48	и для другого	1	1
49	в нем нет	2	1
50	не было и	1	1
51	в нем не	1	1
52	в зависимости от	1	1
53	и того же	1	1
54	нужно помнить что	1	1
55	не в смысле	2	1
56	весь мир все	1	1
57	должен быть признан	1	1
58	в известном смысле	1	1
59	никогда не было	2	1
60	это и есть	1	1
61	но нет и	1	1
62	в значительной степени	1	1
63	характер и в	1	1
