N	2gram	Potebnia_M	PoTuStor
1	может быть	46	17
2	и в	48	16
3	таким образом	24	9
4	в этом	19	9
5	прежде всего	6	9
6	мы можем	13	9
7	и проч	25	9
8	и только	5	9
9	точки зрения	4	8
10	и с	4	8
11	не может	18	8
12	и его	4	8
13	не только	32	7
14	в сознание	16	7
15	сказать что	8	7
16	с его	1	7
17	и к	5	6
18	при этом	6	6
19	для него	14	6
20	самом деле	5	6
21	я и	3	6
22	и это	6	6
23	конечно не	2	6
24	с точки	3	6
25	что такое	2	5
26	ни в	2	5
27	все эти	1	5
28	только для	3	5
29	в чем	6	5
30	еще не	9	5
31	сознание и	5	5
32	в бессознательном	1	5
33	как бы	10	5
34	отношение к	2	5
35	до сознания	2	5
36	а потому	8	4
37	все что	4	4
38	и на	5	4
39	так как	20	4
40	законы образования	1	4
41	все это	4	4
42	в его	6	4
43	мысли и	8	4
44	так и	17	4
45	на самом	4	4
46	его в	6	4
47	и даже	3	4
48	и все	5	4
49	с ними	6	4
50	только в	29	4
51	и не	28	4
52	но мы	3	4
53	можно сказать	4	4
54	с самого	1	4
55	но и	30	4
56	хотя бы	3	4
57	и может	4	4
58	и их	4	4
59	в этой	3	4
60	как мы	8	4
61	в нем	16	4
62	в один	4	4
63	и ее	1	4
64	и наконец	3	4
65	но в	8	4
66	и вот	1	3
67	если б	9	3
68	до сих	4	3
69	на язык	1	3
70	в том	47	3
71	мы знаем	1	3
72	те же	6	3
73	с другими	9	3
74	с их	1	3
75	представлений и	5	3
76	между ними	4	3
77	их в	3	3
78	отношения к	2	3
79	этом смысле	2	3
80	для сознания	5	3
81	и как	8	3
82	что в	30	3
83	том что	28	3
84	большинстве случаев	2	3
85	вместе с	22	3
86	в этих	2	3
87	мира и	1	3
88	и художественного	1	3
89	и оно	3	3
90	во всех	1	3
91	но оно	6	3
92	с сознанием	2	3
93	во всяком	4	3
94	и потому	9	3
95	и притом	3	3
96	тех же	1	3
97	только как	9	3
98	по крайней	8	3
99	и теперь	6	3
100	как это	1	3
101	только на	4	3
102	в одном	4	3
103	и значение	2	3
104	даже не	2	3
105	чем не	1	3
106	а в	14	3
107	в большинстве	2	3
108	то что	37	3
109	никаких оснований	1	3
110	и др	1	3
111	могут быть	6	3
112	и есть	4	3
113	сих пор	4	3
114	в общем	1	3
115	жизни и	3	3
116	в области	3	3
117	чувств и	1	3
118	всяком случае	3	3
119	во время	4	3
120	крайней мере	8	3
121	едва ли	1	3
122	в самом	11	2
123	в свое	2	2
124	мы видим	3	2
125	что оно	12	2
126	и мы	3	2
127	к другим	4	2
128	мы не	17	2
129	с этой	2	2
130	ни было	2	2
131	что это	6	2
132	нашего времени	2	2
133	ее в	2	2
134	и говорить	2	2
135	в область	1	2
136	может иметь	1	2
137	для нас	40	2
138	но как	2	2
139	что и	16	2
140	сознания и	2	2
141	быть может	7	2
142	сводится к	1	2
143	у него	3	2
144	не на	1	2
145	не могут	7	2
146	в душе	17	2
147	в них	9	2
148	из сказанного	3	2
149	и других	3	2
150	эти понятия	1	2
151	все то	3	2
152	чувства и	5	2
153	не знает	4	2
154	остается и	1	2
155	что не	12	2
156	здесь же	1	2
157	вообще не	1	2
158	между собою	13	2
159	в жизни	1	2
160	можно назвать	2	2
161	как и	22	2
162	что он	8	2
163	есть в	6	2
164	не есть	24	2
165	только то	1	2
166	в переводе	1	2
167	в своей	2	2
168	в одно	8	2
169	как с	1	2
170	по своему	2	2
171	себя и	4	2
172	знаем что	1	2
173	не менее	9	2
174	в каком	8	2
175	во сне	1	2
176	и таким	1	2
177	на первый	1	2
178	и вообще	4	2
179	не удается	1	2
180	на них	2	2
181	с этим	12	2
182	какое значение	1	2
183	при всей	2	2
184	к этому	3	2
185	все и	1	2
186	оно не	7	2
187	не существует	5	2
188	между собой	1	2
189	что мы	16	2
190	это нечто	1	2
191	это последнее	4	2
192	мы уже	5	2
193	другими словами	3	2
194	все остальные	3	2
195	из этих	10	2
196	на основе	1	2
197	совсем не	2	2
198	и содержание	2	2
199	на два	1	2
200	переводе на	1	2
201	а может	2	2
202	он не	4	2
203	и т.п	1	2
204	кажется что	3	2
205	не будет	4	2
206	оно и	1	2
207	для меня	5	2
208	не существовало	1	2
209	говорить о	6	2
210	есть и	3	2
211	в науке	3	2
212	за пределы	2	2
213	в начале	3	2
214	в пределах	1	2
215	почти совершенно	1	2
216	так же	6	2
217	потому и	1	2
218	было бы	16	2
219	таким путем	2	2
220	что можно	1	2
221	к ним	3	2
222	нет и	2	2
223	и о	6	2
224	к следующему	1	2
225	если мы	2	2
226	в систему	2	2
227	с нею	5	2
228	находится в	5	2
229	что на	3	2
230	на высоте	1	2
231	о том	7	2
232	в голову	3	2
233	можем сказать	1	2
234	один из	7	2
235	и по	5	2
236	с ним	10	2
237	но это	9	2
238	для этого	1	2
239	того же	5	2
240	нам кажется	7	2
241	понятия и	3	2
242	то же	35	2
243	не можем	8	2
244	образов и	2	2
245	о бессознательном	1	2
246	никогда не	2	2
247	как кажется	2	1
248	науки о	1	1
249	мир не	1	1
250	как причина	1	1
251	и психическое	1	1
252	во всем	2	1
253	бы то	2	1
254	читатель может	1	1
255	несколько слов	2	1
256	от нее	2	1
257	события и	1	1
258	дает нам	3	1
259	можно получить	1	1
260	представляет себе	1	1
261	что они	2	1
262	этой работе	1	1
263	и то	13	1
264	в другой	3	1
265	заметим что	1	1
266	не нашел	2	1
267	образом и	3	1
268	только из	2	1
269	в ком	1	1
270	в более	4	1
271	на языке	2	1
272	следующем в	1	1
273	мышления в	1	1
274	даны в	1	1
275	тянется к	1	1
276	и здесь	3	1
277	та же	3	1
278	для ребенка	2	1
279	образов в	1	1
280	и содержания	1	1
281	в ребенке	2	1
282	мы принуждены	1	1
283	же и	3	1
284	со всем	1	1
285	нельзя сказать	5	1
286	до своего	1	1
287	сознании а	1	1
288	данном случае	3	1
289	только что	12	1
290	на вопрос	2	1
291	было на	1	1
292	или только	2	1
293	которая в	1	1
294	время и	2	1
295	за собою	4	1
296	и того	2	1
297	с одной	8	1
298	уже в	10	1
299	наших глазах	2	1
300	на ее	2	1
301	внимание на	2	1
302	при объяснении	2	1
303	мог бы	1	1
304	тогда когда	20	1
305	сознание в	1	1
306	есть прежде	2	1
307	в состоянии	5	1
308	не будем	1	1
309	оно само	1	1
310	личной жизни	1	1
311	одна и	2	1
312	еще более	1	1
313	любовь к	1	1
314	это и	2	1
315	потом и	1	1
316	несмотря на	2	1
317	но именно	1	1
318	б не	2	1
319	что мир	1	1
320	его за	2	1
321	двух слов	6	1
322	говорит и	1	1
323	и философии	1	1
324	из моментов	1	1
325	мы чувствуем	1	1
326	хотя и	3	1
327	в разных	4	1
328	а это	2	1
329	этом отношении	2	1
330	с тем	9	1
331	в море	1	1
332	что при	3	1
333	в сущности	3	1
334	только не	5	1
335	переносит в	1	1
336	желание его	1	1
337	было связано	2	1
338	о нем	1	1
339	чувствами и	1	1
340	что только	7	1
341	из предшествующего	1	1
342	исследования мы	1	1
343	потому не	1	1
344	более позднее	1	1
345	в человеке	4	1
346	нас в	3	1
347	достигают полной	1	1
348	и слов	1	1
349	у нас	2	1
350	в виду	1	1
351	годятся только	1	1
352	я не	1	1
353	подобно тому	3	1
354	что между	2	1
355	них и	1	1
356	можно было	1	1
357	содержания как	1	1
358	связанная с	3	1
