N	2gram	Kanaev_Sov	Psycholo
1	и в	7	190
2	в том	4	163
3	что в	2	123
4	том что	1	113
5	и что	2	108
6	может быть	12	107
7	таким образом	11	102
8	в этом	7	100
9	все время	1	86
10	в самом	2	82
11	как бы	4	80
12	не только	4	75
13	и не	6	73
14	что она	3	71
15	самом деле	2	70
16	точки зрения	12	69
17	не может	17	68
18	если мы	4	66
19	так же	1	63
20	так как	4	63
21	было бы	3	56
22	если бы	1	55
23	то же	3	54
24	о том	1	54
25	и мы	3	54
26	при этом	3	52
27	как и	6	51
28	а не	3	50
29	что это	2	49
30	сказать что	1	46
31	по себе	1	46
32	только в	1	46
33	не в	3	45
34	ясно что	3	43
35	в этой	3	43
36	никогда не	1	42
37	и все	3	42
38	вместе с	4	41
39	с и	1	40
40	же самое	2	38
41	и это	1	37
42	мы видим	2	37
43	вовсе не	1	34
44	и если	1	34
45	и его	1	34
46	все же	3	33
47	что все	2	33
48	в себе	3	32
49	все это	3	32
50	он не	1	31
51	мы не	9	31
52	в его	2	31
53	для нас	3	31
54	в ней	1	31
55	с одной	2	29
56	и для	1	29
57	одной стороны	1	29
58	с точки	5	29
59	в нем	3	29
60	увидим что	1	28
61	мы можем	6	28
62	в своих	1	27
63	а в	4	27
64	с другой	1	27
65	совершенно не	2	26
66	жизни и	4	25
67	до сих	1	24
68	в целом	4	24
69	в своем	1	23
70	сих пор	1	23
71	один из	1	23
72	могут быть	2	23
73	с этим	2	22
74	из них	4	22
75	и даже	2	22
76	когда мы	3	22
77	той же	2	21
78	ни в	1	21
79	в конце	3	21
80	что эта	1	21
81	но только	1	21
82	как мы	2	21
83	и только	1	21
84	в то	1	20
85	тот же	2	20
86	мы имеем	1	20
87	она не	1	20
88	несмотря на	1	20
89	на этом	2	20
90	там где	1	20
91	это не	4	20
92	все эти	5	20
93	в одном	3	19
94	что при	2	19
95	мы уже	1	19
96	в какой	1	19
97	мы должны	4	19
98	у него	2	19
99	в которой	2	18
100	можно было	1	18
101	но в	3	18
102	зависимости от	4	18
103	что с	1	18
104	на самом	1	18
105	но не	1	18
106	и есть	2	18
107	видим что	1	18
108	есть не	1	18
109	во всяком	2	17
110	из этих	2	17
111	но это	1	17
112	одна из	3	17
113	только не	1	17
114	у нас	3	17
115	и к	3	16
116	из которых	2	16
117	к этому	1	16
118	та же	1	16
119	самого начала	3	16
120	с самого	3	16
121	в таком	2	16
122	же как	1	16
123	не имеет	1	16
124	в результате	6	15
125	только на	1	15
126	во всех	1	15
127	мы знаем	2	15
128	не могут	2	15
129	и потому	3	15
130	в зависимости	4	15
131	утверждает что	1	15
132	еще не	3	15
133	не можем	7	15
134	в совершенно	1	14
135	одной и	1	14
136	и той	1	14
137	это и	1	14
138	это только	1	14
139	прежде всего	5	14
140	заключает в	1	14
141	такой же	2	14
