N	3gram	Savitsky_P	Stilisti
1	в то же	7	9
2	для того чтобы	1	7
3	то же время	7	7
4	с точки зрения	3	5
5	заключает в себе	2	4
6	но и в	2	3
7	не только в	4	3
8	и тем самым	1	3
9	а с тем	1	2
10	чуть ли не	1	2
11	вместе с тем	1	2
12	не может быть	1	2
13	не было бы	1	2
14	но в то	1	2
15	и в то	2	2
16	ни к чему	1	2
17	и не только	2	2
18	тот или иной	1	2
19	или хотя бы	1	2
20	мы все же	1	1
21	в том что	4	1
22	но возможно также	1	1
23	в большинстве случаев	1	1
24	на наш взгляд	1	1
25	общения человека с	1	1
26	в наших глазах	1	1
27	в собственном смысле	1	1
28	в гораздо большей	4	1
29	хотя бы и	1	1
30	что это значит?	1	1
31	и тем более	1	1
32	гораздо большей степени	4	1
33	обстановки и без	1	1
34	более или менее	1	1
35	по сравнению с	1	1
36	были бы непонятны	1	1
37	в определенный момент	1	1
38	именно потому что	1	1
39	прежде всего мы	1	1
40	экономических и политических	1	1
41	само по себе	1	1
42	она должна была	1	1
43	нужно помнить что	2	1
44	между тем в	1	1
45	та или иная	1	1
46	с другой стороны	1	1
47	формы в которых	1	1
48	большинстве случаев только	1	1
49	и не может	1	1
50	и в этом	1	1
51	быть может и	1	1
