N	4gram	Tiupa_Vved	Komedia
1	в то же время	4	16
2	к тому же в	1	6
3	один и тот же	1	3
4	в том числе и	1	3
5	сомневаться в том что	1	3
6	состоит в том что	1	2
7	с одной стороны и	3	2
8	с утра до вечера	1	2
9	одних и тех же	1	2
10	и в то же	1	2
11	той мере в какой	2	1
12	не что иное как	1	1
13	и в этом случае	1	1
14	за три года до	1	1
15	в той мере в	2	1
16	между детьми и родителями	2	1
17	до поры до времени	1	1
18	который в свою очередь	1	1
19	в той же мере	1	1
20	мира в соответствии с	1	1
21	с другой стороны в	1	1
22	в самом деле не	1	1
23	однако и в пределах	1	1
24	состоит в том чтобы	1	1
25	одного и того же	1	1
26	в том же году	1	1
27	начинается с того что	2	1
28	не следует забывать что	1	1
29	одна из них не	1	1
30	не в последнюю очередь	1	1
31	во всяком случае в	1	1
32	так же как и	1	1
33	как в случае с	1	1
34	одна и та же	1	1
35	мы имеем дело с	4	1
