N	3gram	Propp_Russ	Vladivir
1	в том что	27	29
2	там же с	1	29
3	о том что	6	22
4	тем не менее	3	18
5	с м соловьев	1	15
6	в то время	3	13
7	во всяком случае	1	12
8	в связи с	4	12
9	более или менее	1	11
10	не может быть	1	10
11	вместе с тем	10	10
12	с точки зрения	3	10
13	на то что	2	8
14	точно так же	1	7
15	в это время	3	7
16	в данном случае	7	6
17	том что в	7	6
18	в отличие от	4	6
19	и в этом	2	6
20	как мы знаем	1	6
21	в настоящее время	3	6
22	можно судить по	1	6
23	как мы видели	1	6
24	и в том	2	5
25	и потому что	2	5
26	то что в	1	5
27	не только в	1	5
28	то время как	1	5
29	что и в	1	5
30	можно сказать что	1	4
31	как мы уже	2	4
32	в том же	1	4
33	для того чтобы	6	4
34	в этом отношении	1	4
35	сказать что в	1	4
36	мы увидим ниже	2	4
37	что в этом	2	4
38	к этому времени	2	4
39	и т д	12	4
40	в том чтобы	2	4
41	в себе и	1	4
42	не что иное	3	4
43	можно было бы	2	4
44	что иное как	3	4
45	с одной стороны	1	4
46	потому что в	1	3
47	ничего общего с	1	3
48	иметь в виду	2	3
49	не только на	3	3
50	вот что пишет	1	3
51	по этому поводу	3	3
52	к тому что	4	3
53	самом же деле	2	3
54	на самом же	2	3
55	но это не	3	3
56	во второй половине	1	3
57	в свою очередь	2	3
58	несмотря на все	1	3
59	и в дальнейшем	1	3
60	на себя внимание	2	3
61	тем более что	1	3
62	хотя и не	1	3
63	кроме того в	3	3
64	так что в	1	3
65	в первую очередь	1	3
66	у нас нет	1	3
67	так же как	5	2
68	имеет ничего общего	1	2
69	но вместе с	3	2
70	с этим в	1	2
71	и в таком	1	2
72	об этом не	1	2
73	в течение всего	1	2
74	обращает на себя	1	2
75	в таком случае	1	2
76	бросается в глаза	3	2
77	там же в	3	2
78	так как это	2	2
79	в москве и	1	2
80	мы уже знаем	2	2
81	не имеет ничего	1	2
82	не может не	1	2
83	так как он	1	2
84	для нас важно	1	2
85	так как в	2	2
86	он так и	1	2
87	а так как	1	2
88	еще и в	1	2
89	с новым годом	1	2
90	а следовательно и	1	2
91	независимо от того	1	2
92	с а а	1	2
93	но в данном	1	2
94	не было ни	1	2
95	и в своем	1	2
96	в этом случае	9	2
97	с тем что	1	2
98	как мы увидим	5	2
99	по этому вопросу	1	2
100	мы не будем	4	2
101	это и есть	1	2
102	после того как	3	2
103	может быть и	3	2
104	в полной уверенности	1	1
105	с целью получить	2	1
106	но в этот	1	1
107	внимания на то	1	1
108	и как бы	1	1
109	может быть назван	1	1
110	как будто бы	1	1
111	но и по	1	1
112	в году у	1	1
113	на колени и	2	1
114	к религиозным обрядам	1	1
115	мы видим что	1	1
116	и наконец в	1	1
117	в глаза при	1	1
118	к выводу что	3	1
119	на место в	1	1
120	не говорится о	1	1
121	дошедшим до нас	1	1
122	наряду с этим	1	1
123	же деле это	1	1
124	а может быть	1	1
125	как и другие	4	1
126	эту точку зрения	1	1
127	не значит что	2	1
128	и все это	1	1
129	потому что она	1	1
130	более высокой ступени	1	1
131	его жизнь в	1	1
132	но не с	1	1
133	которую можно назвать	1	1
134	в москве в	1	1
135	том же месте	1	1
136	обращают на себя	1	1
137	не потому что	1	1
138	приходит к выводу	1	1
139	в такой же	1	1
140	и с ней	2	1
141	потому что он	2	1
142	с тем и	3	1
143	не будем здесь	2	1
144	можно думать что	1	1
145	не могла быть	1	1
