N	2gram	Berdyaev_O	Tragedij
1	и в	19	18
2	в этом	12	9
3	униженные и	1	9
4	и оскорбленные	1	9
5	в бесах	3	9
6	не только	11	8
7	и на	2	7
8	достоевский в	1	7
9	и не	13	7
10	может быть	11	7
11	и с	2	7
12	как бы	3	7
13	петр верховенский	1	7
14	он сам	4	7
15	что он	3	6
16	у него	22	6
17	но в	2	6
18	и его	4	6
19	это не	3	5
20	что это	1	5
21	так и	2	5
22	все же	2	5
23	у достоевского	19	5
24	как и	6	5
25	не может	4	5
26	что в	4	4
27	в себе	3	4
28	и даже	1	4
29	он всегда	7	4
30	все это	6	4
31	прежде всего	9	4
32	презрение к	1	4
33	и все	10	4
34	достоевский не	4	4
35	еще не	3	4
36	но и	13	4
37	том что	2	4
38	но достоевский	1	4
39	и что	1	4
40	то что	5	4
41	в этой	5	4
42	в нем	10	4
43	но это	1	4
44	что достоевский	2	4
45	и он	8	3
46	один из	1	3
47	достоевского в	3	3
48	записках из	3	3
49	должно быть	2	3
50	уже в	2	3
51	в его	7	3
52	для него	5	3
53	в своем	2	3
54	с ним	3	3
55	о чем	1	3
56	и сам	1	3
57	в конце	1	3
58	и как	1	3
59	в мире	1	3
60	как в	1	3
61	никто не	3	3
62	ставрогина и	1	3
63	как это	1	3
64	как будто	1	3
65	все эти	4	3
66	к нему	3	3
67	в самом	5	2
68	не так	1	2
69	в преступлении	4	2
70	и то	2	2
71	человеческой личности	6	2
72	в душе	2	2
73	и здесь	1	2
74	в том	5	2
75	и великий	3	2
76	ивана карамазова	7	2
77	он и	1	2
78	с тем	2	2
79	в ее	2	2
80	говорит о	1	2
81	как у	1	2
82	романах достоевского	3	2
83	князь мышкин	1	2
84	и наказании	3	2
85	что и	2	2
86	бы и	1	2
87	с иваном	1	2
88	в русском	1	2
89	что все	2	2
90	не могут	3	2
91	его в	2	2
92	не в	11	2
93	из самых	1	2
94	в силах	1	2
95	между этими	1	2
96	этими двумя	1	2
97	преступлении и	3	2
98	одном из	1	2
99	вопрос о	10	2
100	зла в	2	2
101	состоит из	1	2
102	и это	1	2
103	под влиянием	1	2
104	уже не	1	2
105	о том	3	2
106	в записках	3	2
107	а что	1	2
108	не имеет	2	2
109	и я	1	2
110	бросается в	1	2
111	права на	1	2
112	она должна	1	2
113	он был	8	2
114	потому что	9	2
115	личности и	2	2
116	так что	2	2
117	он не	7	2
118	для достоевского	5	2
119	в частности	1	2
120	из мертвого	2	2
121	в это	1	2
122	в одном	1	2
123	и до	1	2
124	мертвого дома	2	2
125	в глаза	1	2
126	отношение к	5	2
127	в самую	4	2
128	о его	5	2
129	до конца	7	2
130	достоевским в	1	2
131	в глазах	1	2
132	что она	1	2
133	русской литературы	1	2
134	который в	1	2
135	одна из	1	2
136	что говорит	1	2
137	с его	4	2
138	тем что	2	2
139	не случайно	1	2
140	и ее	3	2
141	никогда не	9	2
142	ничего не	2	2
143	любви и	1	2
144	все в	4	1
145	понял что	1	1
146	ставрогин говорит	1	1
147	во всем	1	1
148	то в	1	1
149	от него	7	1
150	могут быть	3	1
151	над ними	1	1
152	в центре	1	1
153	по природе	1	1
154	все герои	5	1
155	бога но	1	1
156	от самой	1	1
157	достоевского и	5	1
158	после того	1	1
159	был даже	1	1
160	великого сердца	1	1
161	на западе	2	1
162	того как	1	1
163	к этой	2	1
164	в братьях	1	1
165	хочет сделать	1	1
166	и вот	3	1
167	его с	1	1
168	достоевского все	4	1
169	должна быть	1	1
170	но еще	1	1
171	ко всему	1	1
172	любовь к	2	1
173	него была	1	1
174	это часто	1	1
175	но от	1	1
176	тут нужна	1	1
177	с образом	1	1
178	т е	4	1
179	его ума	1	1
180	человеке о	4	1
181	которым все	1	1
182	того что	3	1
183	сам по	1	1
184	совершенно ином	1	1
185	о нем	1	1
186	в человеке	9	1
187	и достоевский	1	1
188	одно из	2	1
189	это глубоко	1	1
190	достоевского к	2	1
191	дается в	1	1
192	страстная жажда	1	1
193	же не	1	1
194	раскрывает свое	1	1
195	в виду	1	1
196	смысле этого	1	1
197	быть может	3	1
198	и женщины	1	1
199	по себе	2	1
200	ума и	2	1
201	в самой	9	1
202	вопрос об	1	1
203	говорит он	1	1
204	со злом	3	1
205	не было	9	1
206	ко всем	2	1
207	в борьбе	1	1
208	это должно	1	1
209	но он	7	1
210	говорит в	1	1
211	исходит от	1	1
212	вот что	1	1
213	его собственная	1	1
214	в россии	5	1
215	заключается в	1	1
216	мысль о	2	1
217	разрушения и	1	1
218	что не	4	1
219	в эпоху	1	1
220	не есть	2	1
221	ведет к	1	1
222	указывает на	1	1
223	достоевского не	4	1
224	да неужто	1	1
225	лишь на	1	1
226	с ними	1	1
227	было до	1	1
228	так часто	1	1
229	показал что	1	1
230	вы так	1	1
231	приходит в	1	1
232	страха и	1	1
233	на земле	4	1
234	злом в	2	1
235	боль и	1	1
236	в своей	2	1
237	жизни ее	1	1
238	жизни в	2	1
239	я хочу	1	1
240	к ставрогину	1	1
241	эта тема	1	1
242	случайно достоевский	1	1
243	но у	1	1
244	сравнению с	1	1
245	это было	3	1
246	иван карамазов	2	1
247	человеком и	1	1
248	человек слишком	1	1
249	бы в	1	1
250	в них	1	1
251	умирает в	2	1
252	к одному	1	1
253	братьях карамазовых	1	1
254	во всяком	1	1
255	и потому	2	1
256	и дело	1	1
257	попал в	1	1
258	до самой	3	1
259	совершенно не	1	1
260	самое главное	2	1
261	к счастью	1	1
262	достоевский сделал	1	1
263	в котором	1	1
264	виду не	1	1
265	не могли	2	1
266	карамазова в	1	1
267	его а	1	1
268	за все	2	1
269	в романах	4	1
270	раскольникова и	1	1
271	между достоевским	1	1
272	хотя бы	3	1
273	она не	1	1
274	другом разговоре	1	1
275	того чтобы	4	1
276	от самого	2	1
277	достоевский и	1	1
278	но не	1	1
279	в другом	2	1
280	природе своей	1	1
281	этом мире	2	1
282	силе и	1	1
283	необходимо подчеркнуть	1	1
284	представляет собой	1	1
285	быть не	1	1
286	он раскрывал	1	1
287	не быть	1	1
288	в ней	1	1
289	что нужно	1	1
290	его речь	1	1
291	в отношениях	1	1
292	самом деле	1	1
293	в которой	2	1
294	лишь в	7	1
295	но может	1	1
296	только один	1	1
297	а не	11	1
298	это была	1	1
299	можно было	1	1
300	в форме	1	1
301	вместо того	2	1
302	природу человека	1	1
303	доходит до	1	1
304	творчества достоевского	1	1
305	добро и	2	1
306	б это	1	1
307	не вполне	1	1
308	в истории	2	1
309	по своей	1	1
310	человека с	1	1
311	ту же	1	1
312	чего же	1	1
313	человека и	10	1
314	отметить что	1	1
315	перед ним	1	1
316	он еще	1	1
317	всего что	1	1
318	достоевский всегда	2	1
