N	4gram	Voloshinov	EvropaiC
1	до сих пор не	1	5
2	бы то ни было	11	3
3	одного и того же	9	3
4	что же касается до	1	2
5	и без того уже	1	2
6	несмотря на то что	1	2
7	в то же время	7	2
8	именно в том что	1	1
9	с этой точки зрения	1	1
10	то же самое что	1	1
11	но для того чтобы	1	1
12	не только по отношению	1	1
13	в широком смысле слова	1	1
14	в этом последнем случае	1	1
15	не говоря уже о	1	1
16	во всяком случае за	1	1
17	в том что он	3	1
18	и более или менее	1	1
19	ее до сих пор	1	1
20	одно и то же	3	1
21	только по отношению к	1	1
22	каких бы то ни	3	1
23	из поколения в поколение	1	1
24	вступить в противоречие с	1	1
25	общи у него с	1	1
26	говоря уже о том	1	1
27	дело в том что	1	1
28	и с точки зрения	1	1
29	и не может быть	5	1
30	в том числе и	3	1
31	приводит к тому что	1	1
32	мы уже говорили что	1	1
33	уже о том что	1	1
34	нет и не может	2	1
35	одной и той же	2	1
36	в самом деле ведь	2	1
37	тем не менее в	1	1
38	в самом деле если	2	1
39	а может быть и	1	1
