N	3gram	Propp_Russ	Dialekti
1	и т д	12	75
2	с точки зрения	3	46
3	в том что	27	25
4	не может быть	1	18
5	не что иное	3	18
6	что иное как	3	18
7	тем не менее	3	16
8	в таком случае	1	14
9	т д и	1	14
10	только тогда когда	3	13
11	о том что	6	12
12	на то что	2	11
13	т е в	6	10
14	иметь в виду	2	9
15	и в этом	2	9
16	и не только	1	9
17	подобно тому как	3	9
18	т е что	1	9
19	это и есть	1	9
20	не значит что	2	8
21	в то время	3	8
22	и та же	1	8
23	то время как	1	8
24	одна и та	1	8
25	можно сказать что	1	7
26	т е не	1	7
27	точно так же	1	7
28	в связи с	4	7
29	не потому что	1	7
30	только потому что	1	6
31	для того чтобы	6	6
32	более или менее	1	6
33	во всяком случае	1	6
34	с одной стороны	1	6
35	может быть и	3	6
36	имеет ничего общего	1	5
37	на самом деле	1	5
38	того или другого	1	5
39	потому что она	1	5
40	ничего общего с	1	5
41	потому что он	2	5
42	не имеет ничего	1	5
43	к тому что	4	5
44	в виду что	2	5
45	это не значит	2	4
46	мы уже знаем	2	4
47	и т п	1	4
48	так же как	5	4
49	и то и	1	4
50	в данном случае	7	4
51	не может не	1	4
52	из того что	1	4
53	но это не	3	4
54	можно было бы	2	4
55	в этом отношении	1	4
56	и как бы	1	3
57	самом же деле	2	3
58	как будто бы	1	3
59	ничего общего не	2	3
60	и от этого	1	3
61	но все же	2	3
62	на самом же	2	3
63	как и в	1	3
64	в себе и	1	3
65	хотя и не	1	3
66	не было ни	1	3
67	не только в	1	3
68	же как и	3	3
69	т е как	1	3
70	так что в	1	3
71	некоторые из них	1	2
72	ничего не знает	1	2
73	том что в	7	2
74	в собственном смысле	1	2
75	и пр и	1	2
76	друг с другом	1	2
77	даже если бы	1	2
78	не отличаются от	1	2
79	легко заметить что	1	2
80	можно говорить о	1	2
81	точки зрения в	1	2
82	так как это	2	2
83	что в основе	1	2
84	из всего этого	1	2
85	можно понимать как	1	2
86	так как он	1	2
87	но так как	1	2
88	мы видим что	1	2
89	а именно в	1	2
90	в свою очередь	2	2
91	друг к другу	2	2
92	все то же	1	2
93	это не имеет	1	2
94	в это время	3	2
95	не более как	1	2
96	к выводу что	3	2
97	сказать что в	1	2
98	мы не можем	5	2
99	вопрос о том	1	2
100	и в том	2	2
101	в таком виде	2	2
102	на первый взгляд	1	2
103	а так как	1	2
104	во всем этом	1	2
105	что и в	1	2
106	в течение всего	1	2
107	потому что они	1	2
108	факты как например	1	1
109	в некоторых случаях	1	1
110	нечто совсем другое	1	1
111	в применении к	1	1
112	сливаются в одно	1	1
113	во многих местах	3	1
114	это та же	1	1
115	по существу совершенно	1	1
116	смерти и воскресения	1	1
117	об этом не	1	1
118	взгляд на них	1	1
119	первые два и	1	1
120	этой теории может	1	1
121	и все это	1	1
122	тем и другим	1	1
123	потому что в	1	1
124	и после этого	1	1
125	с религией или	1	1
126	и во многих	1	1
127	что не только	1	1
128	эту точку зрения	1	1
