N	4gram	Trubetskoy	DiskursI
1	в то же время	10	8
2	дело в том что	1	5
3	одного и того же	1	4
4	к той или иной	1	3
5	в том числе и	1	3
6	в том случае если	3	2
7	и не может быть	1	2
8	а в том что	1	2
9	бы то ни было	1	2
10	и в этом случае	1	1
11	в том и в	2	1
12	и в том и	2	1
13	в большинстве случаев это	1	1
14	том и в другом	2	1
15	самим собой и не	1	1
16	только в том случае	2	1
17	жизни в том числе	1	1
18	состоит в том чтобы	1	1
19	ни к чему не	1	1
20	при таком взгляде на	1	1
21	и в другом случае	2	1
22	заключается в том что	1	1
23	мы не знаем и	1	1
24	лишь в том случае	2	1
25	в том случае когда	1	1
