N	3gram	Losev_Prob	slovoVRo
1	и т п	1	72
2	не может быть	2	19
3	то же время	1	18
4	в то же	2	18
5	той или иной	4	15
6	с точки зрения	13	15
7	в той или	2	13
8	в большинстве случаев	1	11
9	с одной стороны	5	11
10	и т д	1	10
11	более или менее	1	9
12	во всяком случае	6	8
13	и в особенности	1	7
14	но в то	2	7
15	так и в	1	6
16	но все же	2	6
17	с другой стороны	7	6
18	они могут быть	1	6
19	в том что	13	5
20	по отношению к	2	5
21	как мы уже	1	5
22	не только в	5	5
23	а вовсе не	1	5
24	в этом отношении	4	5
25	во всех областях	1	5
26	для того чтобы	3	4
27	до сих пор	3	4
28	а также и	3	4
29	могут быть и	1	4
30	в свою очередь	2	4
31	то есть как	2	4
32	можно сказать что	4	4
33	у него нет	1	4
34	в новое время	3	4
35	того или иного	2	3
36	может быть только	6	3
37	тех или иных	2	3
38	в данном случае	5	3
39	в связи с	11	3
40	сама по себе	2	3
41	к тому что	1	3
42	и не в	2	3
43	как мы видели	1	3
44	это не значит	1	2
45	для нас в	2	2
46	в средние века	1	2
47	уже не в	1	2
48	то или иное	1	2
49	с этой точки	2	2
50	вовсе не в	1	2
51	тем не менее	8	2
52	далеко не всегда	3	2
53	к своему пределу	2	2
54	не только о	1	2
55	на фоне этого	1	2
56	в чем не	2	2
57	в нем не	1	2
58	до некоторой степени	4	2
59	не только не	1	2
60	то есть на	1	2
61	в известном смысле	1	2
62	и в том	1	2
63	и в этом	1	2
64	хотя и не	3	2
65	но и в	2	2
66	бы ни были	1	2
67	точном смысле слова	1	2
68	о том что	14	2
69	в мировой литературе	1	2
70	этой точки зрения	2	2
71	с ним до	1	2
72	и не было	1	2
73	в то время	4	2
74	же время это	1	2
75	если она не	1	2
76	можно было бы	2	2
77	с самого начала	3	2
78	между тем как	1	2
79	и в частности	4	2
80	то время как	4	2
81	ни в чем	2	2
82	тот факт что	1	2
83	который в своей	3	1
84	никак не могут	2	1
85	в одном своем	1	1
86	у него есть	1	1
87	и без всякой	1	1
88	принимает участие в	1	1
89	чем перейти к	1	1
90	которые не были	1	1
91	по себе а	2	1
92	которые в свою	1	1
93	в себе все	1	1
94	на задний план	1	1
95	к действительности и	1	1
96	своей книге о	1	1
97	в которой они	1	1
98	здесь перед нами	6	1
99	это только те	1	1
100	у нас в	1	1
101	в какой степени	1	1
102	в том числе	2	1
103	в новом свете	1	1
104	с ним в	2	1
105	его из этого	1	1
106	каковы бы ни	1	1
107	точки зрения которого	1	1
108	которые как бы	1	1
109	друг на друга	1	1
110	его форму и	1	1
111	в романах достоевского	1	1
112	прежде чем перейти	1	1
113	так или иначе	3	1
114	перед дилеммой либо	1	1
115	римской империи и	1	1
116	именно потому что	1	1
117	и в той	1	1
118	то перед нами	2	1
119	как и у	2	1
120	таким образом даже	1	1
121	нем не только	1	1
122	подчеркнуть что в	1	1
123	том числе и	1	1
124	если бы мы	1	1
125	человека в этом	1	1
126	сказать что в	1	1
127	и прежде всего	2	1
128	мы все время	1	1
129	том что в	1	1
130	в х годах	1	1
131	какой степени не	1	1
132	мы должны сказать	1	1
133	и сам в	1	1
134	то ни было	2	1
135	и нуждается в	1	1
136	с которым она	1	1
137	людей и их	3	1
138	для нас и	1	1
139	не входит в	1	1
140	в своей книге	1	1
141	и в его	1	1
142	бы то ни	4	1
143	но это не	1	1
144	стремится к своему	1	1
145	в какой мере	3	1
146	но именно в	1	1
147	прежде всего как	1	1
148	не только по	1	1
149	его об этом	1	1
150	проявляется в том	1	1
151	в одном из	1	1
152	то есть в	5	1
153	в которой все	1	1
154	по аналогии с	1	1
155	равно как и	2	1
156	на одной из	1	1
157	и во всяком	1	1
158	на всех этих	1	1
159	на то что	2	1
160	по крайней мере	8	1
161	как это было	1	1
162	во всем его	1	1
163	в том чтобы	2	1
164	заключается в том	1	1
165	здесь конечно не	1	1
166	вместе со своим	1	1
167	и в дальнейшем	1	1
168	своей и чужой	1	1
169	ни в какой	4	1
170	в виду не	1	1
171	то есть только	2	1
172	все более и	1	1
173	это не только	1	1
174	свою жизнь в	1	1
175	и ни в	2	1
176	связи с этим	1	1
177	хотя и в	1	1
178	xvii и xviii	1	1
179	более и более	1	1
180	со всеми другими	1	1
181	там где нет	1	1
182	жизни и в	2	1
183	к людям и	1	1
184	добра и зла	1	1
185	слова то есть	2	1
186	себе самом и	1	1
187	и с точки	1	1
188	дело в том	4	1
189	как и все	1	1
190	далеко не все	1	1
191	и сам человек	2	1
192	как раз в	1	1
193	то есть весь	1	1
194	это и не	2	1
195	и притом в	1	1
196	и ничего не	1	1
197	перед нами здесь	3	1
198	не менее в	2	1
199	еще далеко не	1	1
200	говорить так как	1	1
201	только в истории	1	1
202	том что он	3	1
203	в нем по	1	1
204	всяком случае не	1	1
205	нисколько не уменьшается	1	1
206	которые в той	1	1
207	в нем и	2	1
208	и в значительной	1	1
209	здесь таким образом	1	1
210	также и в	2	1
211	или в другом	1	1
212	не только как	1	1
213	прежде всего в	1	1
214	одной из возможных	1	1
215	друг к другу	1	1
