N	3gram	Vinokur_Ku	Problemy
1	то же время	4	26
2	в то же	4	26
3	с точки зрения	16	25
4	по отношению к	8	18
5	и т п	39	18
6	в этом смысле	8	16
7	на самом деле	3	15
8	не может быть	5	14
9	в большинстве случаев	2	12
10	в конце концов	3	11
11	до сих пор	5	10
12	в самом деле	14	9
13	с другой стороны	12	9
14	во всяком случае	8	9
15	в том что	23	8
16	и в то	1	7
17	как раз и	1	7
18	бы то ни	1	7
19	и т д	21	7
20	между тем как	1	6
21	в отличие от	3	6
22	то ни было	1	6
23	том что он	4	6
24	хотя бы и	4	5
25	сам по себе	1	5
26	в зависимости от	7	5
27	к тому же	1	5
28	той или иной	1	5
29	по крайней мере	11	5
30	но все же	3	5
31	можно было бы	11	5
32	и не в	2	4
33	к тому чтобы	2	4
34	тем не менее	9	4
35	сами по себе	2	4
36	так и в	2	4
37	более или менее	3	4
38	само по себе	6	4
39	смысле этого слова	2	4
40	о том что	6	4
41	как и в	1	4
42	в этом отношении	8	4
43	хотя и не	1	4
44	в сущности не	1	4
45	а вовсе не	1	4
46	может быть и	1	4
47	все то что	1	3
48	это не значит	1	3
49	никак не может	1	3
50	в братьях карамазовых	1	3
51	можно сказать что	2	3
52	к своему предмету	1	3
53	а может быть	1	3
54	потому что она	2	3
55	и то же	1	3
56	и все это	1	3
57	в настоящее время	2	3
58	то же что	1	3
59	в данном случае	1	3
60	это вовсе не	1	3
61	что он есть	1	3
62	того что он	1	3
63	в том и	3	3
64	на то что	3	3
65	большей или меньшей	2	3
66	слова т е	1	3
67	и в самом	4	3
68	на этот вопрос	3	3
69	в большей или	2	3
70	в узком смысле	2	3
71	как мы видели	1	3
72	одно и то	1	3
73	или меньшей степени	2	3
74	в этом случае	4	3
75	тем что он	1	3
76	т е в	3	3
77	мы увидим что	2	3
78	уст в уста	1	2
79	как будто и	1	2
80	рано или поздно	2	2
81	в письме к	1	2
82	в противоречии с	2	2
83	что же это	1	2
84	для этого необходимо	1	2
85	я не хочу	1	2
86	и в другом	2	2
87	того или другого	1	2
88	т е все	1	2
89	для того чтобы	21	2
90	что все это	2	2
91	как впрочем и	1	2
92	в свою очередь	4	2
93	дело в том	1	2
94	друг от друга	1	2
95	т е не	1	2
96	рядом с этим	1	2
97	лишает их всякой	1	2
98	вместе с тем	3	2
99	но только в	1	2
100	и если не	1	2
101	в том или	1	2
