N	2gram	Medvedev_F	BTomashe
1	у нас	6	3
2	все это	11	2
3	литературных произведений	5	2
4	в ней	15	2
5	можно было	1	2
6	не то	3	2
7	и не	34	2
8	вопрос о	3	1
9	говорить о	4	1
10	было говорить	2	1
11	творчества и	2	1
12	и о	3	1
13	о них	1	1
14	было и	1	1
15	со всем	4	1
16	и нет	1	1
17	литературы как	4	1
18	не только	14	1
19	остановиться на	2	1
20	а о	4	1
21	всего в	5	1
22	таким образом	28	1
23	не было	7	1
24	в эпоху	2	1
25	формализма и	2	1
26	прежде всего	34	1
27	без понимания	1	1
28	и в	54	1
29	на самом	8	1
30	так и	24	1
31	на которой	1	1
32	по теории	4	1
33	в своей	16	1
34	стиля и	2	1
35	иначе не	1	1
36	во всяком	6	1
37	и потому	9	1
38	и во	2	1
39	также что	1	1
40	за пределы	2	1
41	томашевского и	1	1
42	же не	1	1
43	по крайней	1	1
44	с другой	8	1
45	художественного произведения	27	1
46	значение слова	1	1
47	своей книге	2	1
48	точке зрения	1	1
49	совершенно не	5	1
50	не о	7	1
51	другой стороны	5	1
52	крайней мере	1	1
53	всяком случае	6	1
54	формалистической поэтики	4	1
55	кроме того	3	1
56	было бы	10	1
57	как таковому	1	1
58	является изучение	1	1
59	установка на	3	1
60	что формалисты	2	1
61	не следует	5	1
62	на выражение	4	1
63	и ее	15	1
64	чем на	1	1
65	поэтика должна	3	1
66	одной из	2	1
67	в значительной	3	1
68	из ее	2	1
69	почти совершенно	2	1
70	в пределах	13	1
71	в данном	2	1
72	теоретической и	1	1
73	теории литературы	1	1
74	должна быть	11	1
75	самостоятельная и	1	1
76	в области	6	1
77	является только	1	1
78	и исторической	2	1
79	далеко не	2	1
80	тем более	1	1
81	в научном	1	1
82	говорить не	2	1
83	не вполне	1	1
84	то как	1	1
85	и более	4	1
86	поэтики и	1	1
87	нельзя не	1	1
88	художественном произведении	4	1
89	в книге	1	1
90	значительной степени	3	1
91	чтобы можно	1	1
92	его не	2	1
93	также не	1	1
94	а не	11	1
95	о художественном	1	1
96	отнюдь не	13	1
97	до конца	9	1
98	методологической позиции	1	1
99	переходя к	1	1
100	представляется нам	1	1
101	и на	10	1
102	выходит за	1	1
103	между ними	3	1
104	еще не	6	1
105	нет но	1	1
106	к ней	3	1
107	все же	8	1
108	что в	10	1
109	к формальному	1	1
110	материала по	1	1
111	меньше чем	1	1
