N	2gram	Berdyaev_O	Istorich
1	и в	19	181
2	т е	4	133
3	может быть	11	115
4	не только	11	114
5	что он	3	111
6	что в	4	90
7	но и	13	85
8	в этом	12	81
9	так как	2	75
10	то что	5	73
11	и не	13	67
12	все же	2	65
13	в этих	3	64
14	еще не	3	63
15	не может	4	61
16	никогда не	9	56
17	в том	5	53
18	том что	2	53
19	а в	5	52
20	потому что	9	52
21	и что	1	51
22	и здесь	1	51
23	что и	2	51
24	а не	11	48
25	о том	3	48
26	связь с	1	47
27	его в	2	47
28	не в	11	47
29	и пр	1	44
30	но в	2	44
31	это не	3	43
32	и его	4	43
33	этот случай	1	42
34	в нем	10	42
35	как в	1	42
36	тем что	2	38
37	и на	2	38
38	в его	7	38
39	как и	6	37
40	уже не	1	37
41	он не	7	37
42	так и	2	37
43	что они	2	35
44	с тем	2	35
45	мы не	1	35
46	все эти	4	35
47	но не	1	34
48	а именно	1	34
49	у него	22	34
50	что это	1	34
51	попадает в	1	32
52	один из	1	31
53	прежде всего	9	31
54	представляет собой	1	31
55	ничего не	2	31
56	в русской	3	30
57	к нему	3	30
58	но это	1	29
59	что она	1	28
60	и с	2	28
61	например в	1	28
62	так что	2	27
63	могут быть	3	27
64	того что	3	27
65	как это	1	26
66	в ней	1	26
67	вопрос о	10	25
68	и он	8	25
69	видно что	1	24
70	к этому	2	24
71	было бы	3	24
72	того как	1	24
73	если бы	1	24
74	как бы	3	23
75	и это	1	23
76	в этой	5	23
77	все это	6	23
78	когда он	3	23
79	в частности	1	23
80	с ним	3	22
81	в другом	2	21
82	в одном	1	21
83	сказать что	2	21
84	связан с	1	21
85	ее в	2	21
86	из них	1	20
87	она не	1	20
88	одна из	1	20
89	в других	2	20
90	в силу	1	20
91	что у	2	19
92	но он	7	19
93	все еще	2	19
94	на то	1	19
95	и как	1	19
96	после того	1	19
97	после этого	1	18
98	не все	2	18
99	вовсе не	1	18
100	в них	1	17
101	и этим	2	17
102	том как	1	17
103	в котором	1	16
104	между двумя	1	16
105	не вполне	1	16
106	и действительно	1	16
107	и все	10	16
108	со стороны	1	16
109	связана с	1	16
110	но есть	1	15
111	и то	2	15
112	в своей	2	15
113	его и	1	15
114	и там	2	15
115	в одной	1	15
116	как будто	1	15
117	и даже	1	15
118	он в	2	15
119	от него	7	14
120	находится в	1	14
121	можно было	1	14
122	и ее	3	14
123	у нас	1	14
124	должна быть	1	14
125	и есть	3	14
126	с того	1	14
127	должен был	2	14
128	отношение к	5	14
129	него и	4	14
130	в своем	2	13
131	по себе	2	13
132	и для	2	13
133	в себе	3	13
134	все что	3	13
135	в форме	1	13
136	и от	3	13
137	с ними	1	13
138	не имеет	2	13
139	его не	2	13
140	же можно	2	13
141	во всем	1	12
142	хотя бы	3	12
143	о нем	1	12
144	к ней	2	12
145	к этой	2	12
146	что не	4	12
147	у нее	1	12
148	в этот	2	11
149	от этого	1	11
150	никто не	3	11
151	уже в	2	11
152	хотя и	2	11
153	но оно	1	11
154	и вот	3	11
155	и более	1	11
156	человека в	11	11
157	и к	2	10
158	он видит	1	10
159	на земле	4	10
160	не было	9	10
161	в которой	2	10
162	за собой	1	10
163	а с	1	10
164	что же	2	10
165	он и	1	10
166	и других	1	10
167	о чем	1	10
168	говорит о	1	10
169	их не	2	10
170	в это	1	10
171	друг с	1	10
172	в ее	2	10
173	ли он	1	10
174	указывает на	1	10
175	очень ясно	1	9
176	в царстве	1	9
177	на этот	1	9
178	он должен	1	9
179	ты не	1	9
180	не могут	3	9
181	в истории	2	9
182	с его	4	9
183	из него	1	9
184	же не	1	9
185	так часто	1	9
186	с другом	1	9
187	это так	1	9
188	жизни и	1	9
189	и сам	1	8
190	во всяком	1	8
191	он был	8	8
192	еще одну	1	8
193	не так	1	8
194	та же	1	8
195	на нем	1	8
196	смерть и	1	8
197	смысле этого	1	8
198	ту же	1	8
199	и потому	2	8
200	не с	1	8
201	оказывается что	1	8
202	одно из	2	8
203	она и	1	8
204	его с	1	8
205	и из	2	8
206	за это	1	8
207	на своем	1	8
