N	3gram	Bakhtin_KF	DiskursI
1	в том что	2	28
2	по отношению к	22	17
3	не может быть	11	12
4	то же время	2	10
5	той или иной	2	10
6	в то же	2	8
7	и все же	1	7
8	в конечном счете	1	6
9	в соответствии с	2	6
10	с точки зрения	10	6
11	в основе своей	1	6
12	и как бы	1	5
13	то же самое	1	5
14	в значительной степени	1	5
15	в свою очередь	1	5
16	и может быть	2	5
17	дело в том	1	5
18	тем не менее	2	4
19	не в том	1	4
20	одного и того	1	4
21	и т.п но	1	4
22	и того же	1	4
23	как и всякое	1	3
24	и вследствие этого	1	3
25	того или иного	3	3
26	в том случае	1	3
27	пока еще не	1	3
28	а не в	2	3
29	не может претендовать	1	3
30	во всяком случае	1	3
31	бы то ни	2	2
32	заключать в себе	1	2
33	бытия а не	2	2
34	в большинстве случаев	1	2
35	на том что	1	2
36	он не может	1	2
37	потому что в	1	2
38	не совпадает с	1	2
39	если бы я	1	2
40	в этом мире	1	2
41	и в то	1	2
42	то ни было	2	2
43	возможна только в	1	2
44	в целом и	2	2
45	никогда не было	1	2
46	принципиально не может	2	2
47	могла бы быть	3	2
48	то что и	1	2
49	для себя а	1	2
50	а не как	1	2
51	времени и пространства	1	2
52	только в том	1	2
53	между жизнью и	1	2
54	я в мире	1	2
55	включает в себя	2	2
56	чего не было	1	2
57	но отнюдь не	1	2
58	и то что	1	2
59	тем или иным	1	2
60	это отнюдь не	1	2
61	события так и	2	1
62	время от времени	1	1
63	но все эти	3	1
64	событие не есть	1	1
65	в целом может	1	1
66	в себе в	1	1
67	и тем самым	1	1
68	и мир в	1	1
69	человека вообще а	1	1
70	в чем не	4	1
71	в этом смысле	3	1
72	в себя и	1	1
73	во всех его	1	1
74	теоретического познания в	1	1
75	оно лежит в	1	1
76	то или иное	2	1
77	не было и	1	1
78	мира в котором	2	1
79	хотя бы и	1	1
80	дело не в	1	1
81	она могла бы	2	1
82	в котором он	3	1
83	для того чтобы	1	1
84	это не есть	3	1
85	с ним в	1	1
86	тем самым оно	1	1
87	себя в нем	1	1
88	могут быть признаны	1	1
89	точки зрения автора	1	1
90	оно принципиально чуждо	1	1
91	именно в этой	1	1
92	до сих пор	1	1
93	и не должно	1	1
94	к нему он	1	1
95	приводит его в	1	1
96	но прежде всего	1	1
97	между тем как	3	1
98	не может иметь	1	1
99	но и от	1	1
100	смысле можно говорить	1	1
101	но не в	1	1
102	чему не обязывающий	1	1
103	не может не	1	1
104	но в этом	1	1
105	я и другой	1	1
106	в нем нет	1	1
107	на этом пути	1	1
108	со стороны своей	2	1
109	отношение к ценности	1	1
110	не должно быть	1	1
111	в нем совершенно	1	1
112	но это не	1	1
113	и в этом	3	1
114	в этом последнем	1	1
115	том случае когда	1	1
116	и не быть	2	1
117	во второй половине	1	1
118	даже мысль о	1	1
119	только по отношению	2	1
120	вместе с тем	1	1
121	равно как и	1	1
122	к чему не	2	1
123	и только в	3	1
124	ее а не	1	1
125	но и здесь	3	1
126	на то что	1	1
127	не только от	1	1
128	позицию по отношению	1	1
129	субъектом и его	1	1
130	имеют дело с	1	1
131	себя в другом	1	1
132	и именно в	1	1
133	случае мы имеем	1	1
134	ту или иную	1	1
135	может быть в	3	1
136	между ним и	1	1
137	всему что не	1	1
138	и героиня и	1	1
139	не было он	1	1
140	только таким путем	1	1
141	в известном смысле	1	1
142	бытия в его	3	1
143	не может стать	1	1
144	пространственную и временную	1	1
145	в противном случае	1	1
146	на самом деле	3	1
147	единственным и неповторимым	2	1
148	он вступает в	1	1
149	то все же	1	1
150	такова же и	1	1
151	и для другого	1	1
152	это и не	1	1
153	не подлежит сомнению	1	1
154	во всех этих	2	1
155	и все остальные	1	1
156	не менее в	1	1
157	к той же	1	1
158	в своих границах	2	1
159	мы ничего не	1	1
160	жизни и смерти	1	1
161	ни к чему	2	1
162	и не знает	1	1
163	оба эти момента	2	1
164	это и есть	1	1
165	нет и не	1	1
166	ни в чем	4	1
167	в другом случае	1	1
