N	3gram	Tiupa_Narr	Stilisti
1	в то же	3	9
2	то же время	3	7
3	того или иного	2	5
4	с точки зрения	2	5
5	в свою очередь	3	4
6	той или иной	4	4
7	то или иное	2	4
8	ту или иную	2	4
9	то же самое	1	4
10	прежде всего в	1	4
11	как мы уже	1	3
12	на самом деле	1	3
13	как мы видели	1	3
14	тех или иных	1	3
15	не только в	2	3
16	и тем самым	3	3
17	но все же	4	3
18	в самом деле	1	2
19	есть не что	1	2
20	может показаться что	1	2
21	мы не имеем	1	2
22	все то что	1	2
23	не может быть	5	2
24	по отношению к	6	2
25	о том что	6	2
26	и т.д на	1	2
27	можно сказать что	4	2
28	и как бы	1	2
29	не что иное	2	2
30	только потому что	1	2
31	и в то	1	2
32	как мы увидим	1	2
33	на первый взгляд	2	2
34	в связи с	2	2
35	что иное как	2	2
36	в этом отношении	3	2
37	в значительной степени	2	2
38	тот или иной	1	2
39	или хотя бы	1	2
40	так и от	1	1
41	в том что	8	1
42	несмотря на свою	1	1
43	только благодаря этому	1	1
44	мысль о том	1	1
45	в конечном счете	2	1
46	дело не с	1	1
47	на наш взгляд	1	1
48	это дает нам	1	1
49	по крайней мере	1	1
50	в русской литературе	1	1
51	точку зрения на	1	1
52	в силу которого	1	1
53	самое происходит и	1	1
54	и в особенности	1	1
55	из которых он	1	1
56	внешний облик героя	1	1
57	хотя бы одной	1	1
58	до наших дней	1	1
59	как и в	1	1
60	на ту или	1	1
61	и не было	1	1
62	тем не менее	3	1
63	и тем более	1	1
64	не только одним	1	1
65	более или менее	2	1
66	независимо от того	1	1
67	в качестве одного	1	1
68	одного и того	1	1
69	из них в	1	1
70	до сих пор	1	1
71	одна из многочисленных	1	1
72	не смог бы	1	1
73	иметь в виду	1	1
74	в иной ситуации	1	1
75	содержит в себе	1	1
76	и ответ на	1	1
77	жизни однако в	1	1
78	само по себе	1	1
79	один из этих	1	1
80	является как бы	1	1
81	по себе не	1	1
82	несет в себе	1	1
83	не только о	2	1
84	и при этом	1	1
85	и того же	1	1
86	ни единого слова	1	1
87	и т.д в	1	1
88	же самое происходит	1	1
89	не может не	2	1
90	в хх веке	1	1
91	он почувствовал что	1	1
92	с другой стороны	4	1
93	тем самым мы	1	1
94	то есть к	1	1
95	в этой ситуации	1	1
96	перед нами не	2	1
97	точки зрения и	1	1
98	с точкой зрения	2	1
99	вовсе и не	1	1
100	можно было бы	2	1
101	и т.п то	1	1
102	что несмотря на	1	1
103	ответ на него	1	1
