N	2gram	Medvedev_V	KFilosof
1	и не	1	28
2	и в	2	28
3	только в	1	18
4	и его	1	18
5	в этом	1	15
6	все это	1	10
7	в их	1	9
8	и только	1	7
9	я не	1	6
10	в том	2	6
11	но это	1	6
12	то же	1	5
13	именно в	1	5
14	хотя бы	1	5
15	том что	2	4
16	и т.д	1	4
17	ясно что	1	3
18	самом деле	1	3
19	в другом	1	3
20	к чему	1	3
21	чего не	1	2
22	и то	1	2
23	сводится к	1	2
24	дело в	1	2
25	к этому	1	2
26	ни к	1	2
27	ведь это	1	2
28	же с	1	2
29	потому что	1	2
30	а значит	1	2
31	другое дело	1	2
32	гораздо более	1	2
33	в самом	1	1
34	что язык	1	1
35	так как	1	1
36	других и	1	1
37	не будем	1	1
38	все дело	1	1
39	за свою	1	1
40	а только	1	1
41	более чем	1	1
42	по поводу	1	1
43	говоря о	1	1
44	главным образом	1	1
45	значительной степени	1	1
46	столь же	1	1
47	том же	1	1
48	ценное что	1	1
49	в значительной	1	1
