N	2gram	Tiupa_Hudo	SlovoVZh
1	не может	9	16
2	может быть	19	14
3	точки зрения	11	14
4	как бы	11	13
5	и его	12	13
6	таким образом	3	12
7	и в	23	12
8	отношению к	10	11
9	по отношению	10	11
10	в нашем	2	11
11	и не	16	10
12	так как	1	9
13	если бы	3	9
14	прежде всего	5	8
15	для нас	1	7
16	сказать что	4	7
17	художественного произведения	4	7
18	нашем примере	1	7
19	и героя	1	6
20	слова и	2	6
21	в том	20	6
22	только в	7	6
23	в нем	6	6
24	при этом	19	6
25	к содержанию	3	6
26	и др	2	5
27	можно сказать	6	5
28	героя и	5	5
29	то же	12	5
30	художественной формы	1	5
31	к предмету	1	5
32	а не	13	5
33	в виду	5	5
34	то что	5	5
35	в жизни	3	5
36	как и	3	5
37	как в	2	5
38	отнюдь не	2	5
39	том что	9	5
40	но в	10	5
41	никогда не	2	5
42	в самом	7	4
43	и к	3	4
44	к автору	1	4
45	высказывания как	1	4
46	в литературе	2	4
47	и на	3	4
48	материала и	1	4
49	не только	20	4
50	ни было	2	4
51	и является	1	4
52	за пределы	2	4
53	его в	4	4
54	с другой	9	4
55	не в	9	4
56	дело в	1	4
57	отношение к	7	4
58	что не	1	4
59	так и	12	4
60	уже не	6	4
61	жизни и	1	4
62	в этом	12	4
63	все же	1	4
64	зависимости от	1	4
65	к нему	3	4
66	бы то	2	3
67	как к	5	3
68	к герою	2	3
69	и более	2	3
70	в котором	1	3
71	с героем	1	3
72	автору и	1	3
73	и по	2	3
74	в поэзии	1	3
75	и пр	1	3
76	то ни	2	3
77	между тем	4	3
78	для него	5	3
79	отношении к	3	3
80	с ним	2	3
81	того что	5	3
82	быть и	2	3
83	тем не	3	3
84	имеет в	1	3
85	все это	2	3
86	он должен	3	3
87	ни в	5	3
88	с автором	1	3
89	в пределах	3	3
90	сколько бы	1	3
91	по себе	2	3
92	так же	2	3
93	в них	2	3
94	в каком	2	3
95	этой точки	2	3
96	самом деле	2	3
97	только на	1	3
98	но для	1	3
99	в себе	13	3
100	слово в	1	3
101	художественном произведении	1	3
102	все эти	2	3
103	о том	2	3
104	в своей	7	3
105	здесь не	2	3
106	не менее	5	3
107	из этого	2	3
108	в художественном	5	3
109	художественного творчества	6	3
110	в такой	1	3
111	нуждается в	1	3
112	да и	1	3
113	но и	14	3
114	и для	3	3
115	точек зрения	1	3
116	художественное произведение	3	3
117	и ее	3	3
118	внутренней речи	14	3
119	еще не	4	3
120	в особенности	1	2
121	что в	7	2
122	этих двух	2	2
123	все они	1	2
124	истории литературы	2	2
125	слова так	1	2
126	не так	1	2
127	и потому	2	2
128	действия и	1	2
129	в строгой	1	2
130	и другие	2	2
131	и то	4	2
132	ясность и	1	2
133	опираясь на	1	2
134	в данном	4	2
135	в душе	9	2
136	произведение и	1	2
137	в то	8	2
138	сливается с	1	2
139	разрыв между	1	2
140	на один	1	2
141	в момент	3	2
142	в событии	1	2
143	высказывания с	1	2
144	зависит от	1	2
145	с одной	3	2
146	совпадает с	2	2
147	высказывания и	2	2
148	в его	11	2
149	с этой	3	2
150	это не	4	2
151	одной стороны	3	2
152	автора и	3	2
153	как уже	3	2
154	дело с	1	2
155	с точки	3	2
156	мы имеем	6	2
157	и дает	1	2
158	была бы	3	2
159	искусства и	3	2
160	тем как	1	2
161	в себя	4	2
162	автором и	1	2
163	от всех	2	2
164	в формах	2	2
165	и слово	1	2
166	как это	7	2
167	те же	1	2
168	форму в	1	2
169	жизненной ситуации	1	2
170	одно и	3	2
171	и что	4	2
172	общения не	1	2
173	что и	2	2
174	в отношении	4	2
175	в форме	4	2
176	же самое	1	2
177	о ком	1	2
178	другой стороны	6	2
179	и вполне	1	2
180	и те	1	2
181	в этих	4	2
182	тому же	1	2
183	оно не	2	2
184	и притом	3	2
185	форма в	1	2
186	на это	1	2
187	имеем в	3	2
188	эта возможность	1	2
189	для других	1	2
190	к ним	1	2
191	и здесь	1	2
192	выбор слова	1	2
193	в комнате	1	2
194	но не	13	2
