N	2gram	Medvedev_S	Stilisti
1	и в	3	42
2	как бы	2	30
3	не только	3	28
4	прежде всего	1	22
5	хотя бы	1	18
6	то же	2	16
7	но и	2	16
8	и не	1	14
9	может быть	2	13
10	не может	1	13
11	как и	1	12
12	в этом	5	10
13	и как	1	10
14	мы должны	1	10
15	отнюдь не	1	10
16	мы не	1	9
17	все же	1	9
18	то что	2	9
19	в то	1	9
20	таким образом	2	8
21	ничего не	1	8
22	так и	1	7
23	только в	2	7
24	и его	1	7
25	же время	1	7
26	было бы	2	7
27	никогда не	1	7
28	в его	3	6
29	не в	3	6
30	в конце	2	6
31	в процессе	1	6
32	но ведь	3	6
33	бы в	1	6
34	с помощью	1	6
35	когда мы	1	6
36	в этой	1	6
37	в области	1	6
38	те же	1	5
39	тому что	1	5
40	а с	1	5
41	а в	1	5
42	же самое	1	5
43	и наконец	1	5
44	один из	1	4
45	что это	1	4
46	все это	7	4
47	его в	1	4
48	как только	2	4
49	о том	1	4
50	в каждом	1	4
51	в целом	1	4
52	тем же	1	4
53	представить себе	1	3
54	что эти	1	3
55	для нас	3	3
56	в том	5	3
57	ни на	1	3
58	между ними	1	3
59	связи с	1	3
60	слова но	1	3
61	вряд ли	1	3
62	все эти	1	3
63	должно было	1	3
64	том что	2	3
65	конце концов	2	3
66	перед нами	1	3
67	еще не	2	3
68	в котором	1	3
69	для наших	1	3
70	между тем	1	3
71	в частности	2	3
72	связь между	1	3
73	конечно не	1	3
74	главным образом	2	3
75	это не	1	3
76	очевидно что	2	2
77	зависит от	1	2
78	и потому	1	2
79	с ним	1	2
80	но как	1	2
81	не было	1	2
82	на этот	1	2
83	все то	1	2
84	но не	1	2
85	тем что	1	2
86	он говорит	1	2
87	я и	1	2
88	в связи	1	2
89	что он	1	2
90	или даже	2	2
91	в своей	1	2
92	в мире	1	2
93	в этих	1	2
94	это же	1	2
95	ли не	1	2
96	на первый	1	2
97	еще и	1	2
98	между собой	1	2
99	только тогда	1	2
100	в него	1	2
101	нужно было	2	2
102	для этого	1	2
103	по отношению	2	2
104	перейти к	1	2
105	вовсе не	1	2
106	к которому	2	2
107	на отдельные	1	2
108	место в	1	2
109	отношению к	2	2
110	эти вопросы	1	2
111	не из	1	2
112	чуть ли	1	2
113	конечно только	1	2
114	что в	2	1
115	не мешает	1	1
116	дает нам	1	1
117	и будет	1	1
118	и должны	1	1
119	этом но	1	1
120	исторической жизни	2	1
121	писателя не	1	1
122	же этот	1	1
123	даже в	1	1
124	никак не	1	1
125	в результате	2	1
126	том и	1	1
127	у него	1	1
128	в виде	1	1
129	в конечном	1	1
130	в таких	1	1
131	как же	3	1
132	в сущности	1	1
133	или не	1	1
134	происходящее в	1	1
135	о художественных	1	1
136	этом не	1	1
137	крайней мере	1	1
138	по существу	2	1
139	его исследования	1	1
140	именно в	1	1
141	конечном счете	1	1
142	из тех	1	1
143	это происходит	1	1
144	по себе	1	1
145	на все	1	1
146	может не	1	1
147	благодаря тому	1	1
148	по необходимости	1	1
149	в чем	1	1
150	тем более	2	1
151	по крайней	1	1
152	это и	2	1
153	более чем	3	1
154	и понимает	1	1
155	она должна	1	1
156	это как	1	1
157	мастером своего	1	1
158	только как	2	1
159	дело не	2	1
160	в те	1	1
161	и что	2	1
162	за пределы	2	1
163	вопросом о	1	1
164	что личность	1	1
165	даже не	1	1
166	только то	1	1
167	творческой энергии	1	1
168	жизни он	1	1
169	с другой	1	1
170	поэта и	1	1
171	и о	1	1
172	и благодаря	1	1
173	он ни	1	1
174	благодаря этому	1	1
175	это дает	1	1
176	стоит только	1	1
177	и есть	1	1
178	образом в	1	1
179	столь же	1	1
180	в силу	1	1
181	что без	1	1
182	нет его	1	1
183	и темы	1	1
184	как будто	2	1
185	к вопросам	1	1
186	осложняется еще	1	1
187	и по	1	1
188	со своими	1	1
189	в заключение	1	1
190	и никак	1	1
191	даже больше	1	1
