N	2gram	Bakhtin_Fr	ViktorSh
1	в книге	3	3
2	конце концов	1	2
3	книге в	1	2
4	в конце	3	2
5	и в	105	2
6	в том	17	2
7	том что	9	2
8	в другом	2	1
9	но это	5	1
10	их как	1	1
11	по существу	2	1
12	новой комбинации	1	1
13	способно вызвать	1	1
14	главным образом	6	1
15	связанным с	1	1
16	в самом	7	1
17	как же	1	1
18	не одно	1	1
19	и т.д	2	1
20	что слово	3	1
21	для них	2	1
22	говорили в	1	1
23	без знания	1	1
24	от других	1	1
25	то я	1	1
26	именно в	6	1
27	этому и	1	1
28	все то	1	1
29	ни к	2	1
30	они на	1	1
31	самом деле	3	1
32	другом месте	2	1
33	ясно что	1	1
34	речи и	2	1
35	говоря о	2	1
36	в частности	6	1
37	так в	4	1
38	стоит на	1	1
39	время в	3	1
40	и его	24	1
41	сводится к	1	1
42	от многих	1	1
43	связаны и	1	1
44	к чему	1	1
45	под влиянием	3	1
46	значительной степени	4	1
47	хотя бы	2	1
48	по поводу	2	1
49	далеко не	6	1
50	в которых	1	1
51	к этому	2	1
52	только в	16	1
53	же с	2	1
54	потому что	6	1
55	в значительной	9	1
56	в их	6	1
57	и почти	3	1
58	оно с	1	1
59	и только	1	1
60	то же	6	1
61	по своим	1	1
62	не будем	1	1
63	без учета	2	1
64	и не	34	1
65	я не	1	1
66	дело в	2	1
67	да и	5	1
68	в этом	22	1
69	так как	11	1
70	все это	16	1
71	в устах	2	1
