N	2gram	Voloshinov	Problema
1	и в	3	182
2	и не	1	152
3	не только	1	104
4	может быть	1	82
5	но и	1	70
6	не менее	1	58
7	а не	1	56
8	в его	1	44
9	то же	1	42
10	не может	4	39
11	точки зрения	1	36
12	и все	1	36
13	в то	1	32
14	связи с	1	31
15	и на	1	25
16	с точки	1	25
17	несмотря на	1	20
18	если бы	1	19
19	в ней	1	18
20	в языке	1	17
21	художественного произведения	1	16
22	к тому	1	16
23	с другими	1	14
24	тому что	1	13
25	и можно	1	12
26	один из	2	10
27	он в	1	10
28	нет и	1	9
29	сравнении с	1	9
30	бы в	1	9
31	из этих	1	8
32	и больше	1	8
33	если в	2	8
34	для него	1	8
35	его от	1	7
36	себе все	1	6
37	в каждом	1	5
38	с теми	1	5
39	анализа и	1	5
40	смысл и	1	4
41	можно назвать	1	4
42	ничего кроме	1	4
43	на нее	1	4
44	художественной структуры	1	4
45	конечно и	1	4
46	теми или	1	4
47	больше ничего	1	4
48	бы на	1	4
49	именно с	1	3
50	мы видим	1	3
51	вещей и	1	3
52	на месте	1	3
53	так называемая	1	3
54	в конкретном	1	3
55	может не	1	3
56	ни один	1	3
57	может и	1	3
58	язык как	1	3
59	языка как	1	3
60	в системе	1	3
61	и должно	1	3
62	вопрос что	1	2
63	и событий	1	2
64	при анализе	1	2
65	не из	1	2
66	можно и	1	2
67	вполне понятно	1	2
68	оторвано от	1	2
69	в центре	2	1
70	зрения их	1	1
71	по своим	1	1
72	категорий то	1	1
73	произведения но	1	1
74	русской литературы	1	1
75	если один	1	1
76	или иными	1	1
77	время бесконечно	1	1
78	эта вторая	1	1
79	в особенности	1	1
80	в анализе	1	1
81	ней ничего	1	1
82	его основе	1	1
83	в школе	1	1
84	на примере	1	1
85	лучше всего	1	1
86	и тому	1	1
87	поставить в	1	1
88	ничего для	1	1
89	исходя из	1	1
90	как художественная	1	1
91	бессилия и	1	1
92	преодолеть эту	1	1
93	от контекста	1	1
94	это направление	1	1
95	и заставляет	1	1
96	впадает в	1	1
97	своих теоретических	1	1
98	и предварительно	1	1
99	в лингвистике	1	1
100	достоевского и	2	1
101	на русской	1	1
102	тех же	1	1
103	же время	1	1
104	категорий и	1	1
105	категорий столь	1	1
106	разных категорий	1	1
107	речь и	1	1
108	искусство как	1	1
