N	2gram	Bakhtin_fo	FransuaR
1	и в	84	367
2	то есть	42	209
3	в этом	41	112
4	и т.п	6	108
5	и не	19	101
6	у рабле	12	100
7	таким образом	14	100
8	и его	26	99
9	в его	19	98
10	прежде всего	28	92
11	не только	16	87
12	мы уже	17	85
13	но и	14	84
14	как бы	11	82
15	все эти	12	79
16	вовсе не	20	77
17	в романе	40	77
18	как и	15	76
19	рабле в	5	76
20	в нем	28	75
21	но в	16	75
22	в эпоху	5	75
23	и на	13	72
24	и др	13	72
25	в том	16	71
26	как мы	19	71
27	то же	18	66
28	и все	10	66
29	в них	11	65
30	рабле и	4	65
31	в этой	3	65
32	так и	17	65
33	и с	10	64
34	в сущности	5	64
35	в то	13	63
36	во время	7	63
37	во всех	13	62
38	все это	10	62
39	романе рабле	3	59
40	же время	13	55
41	что в	9	52
42	в своем	8	51
43	только в	12	48
44	так как	12	46
45	и до	7	46
46	том что	7	45
47	уже говорили	6	44
48	то что	13	41
49	здесь в	6	41
50	у него	8	40
51	жизни и	12	40
52	в самом	9	38
53	точки зрения	14	37
54	в ней	4	37
55	с его	10	36
56	о том	4	35
57	он был	2	35
58	может быть	18	35
59	мы видим	4	35
60	сказать что	4	34
61	и даже	5	34
62	в себе	7	34
63	рабле не	3	34
64	до нас	6	34
65	рядом с	4	32
66	мы видели	2	32
67	тела в	3	32
68	в конце	11	32
69	он не	6	32
70	для него	5	32
71	до конца	5	31
72	в литературе	17	31
73	связаны с	3	31
74	в своей	2	31
75	так же	7	30
76	но он	4	30
77	один из	5	30
78	потому что	11	30
79	той же	2	30
80	и потому	4	30
81	никогда не	8	30
82	тела и	4	30
83	в одном	10	29
84	еще не	8	29
85	связи с	14	29
86	в этих	6	29
87	что он	2	29
88	не может	8	29
89	в особенности	15	29
90	при этом	8	29
91	его в	8	29
92	не в	10	29
93	и к	4	28
94	из них	8	28
95	романа рабле	5	28
96	всех этих	9	28
97	также и	6	28
98	в той	5	28
99	эти образы	1	28
100	в основе	9	28
101	здесь и	3	28
102	и другие	6	27
103	сих пор	4	27
104	до сих	4	27
105	в гротескном	1	27
106	том числе	7	27
107	в образах	1	27
108	все же	12	27
109	по своему	3	27
110	роль в	12	27
111	в эпизоде	6	27
112	и их	11	27
113	образов в	1	26
114	кроме того	7	26
115	в преисподнюю	2	26
116	средние века	4	26
117	в условиях	8	26
118	в средние	4	26
119	все они	4	26
120	на самом	1	25
121	в области	1	25
122	с помощью	5	25
123	рабле но	1	25
124	но это	1	25
125	мира и	6	25
126	этот образ	2	24
127	он и	1	24
128	но не	9	24
129	например в	7	24
130	в ее	6	24
131	и у	8	24
132	и от	3	24
133	как в	10	24
134	того чтобы	11	24
135	времени и	10	24
136	брат жан	2	24
137	в частности	11	24
138	в большинстве	3	24
139	отношение к	5	24
140	большинстве случаев	2	23
141	так сказать	14	23
142	своего рода	1	23
143	и здесь	2	23
144	с ним	5	23
145	и для	12	23
146	смеха и	1	23
147	в их	9	23
148	есть и	4	23
149	это не	8	23
150	еще и	3	23
151	не было	8	22
152	гротескный образ	1	22
153	а в	6	22
154	тем что	4	22
155	что и	5	22
156	и других	5	22
157	там где	4	22
158	поэтому и	4	22
159	вместе с	9	22
160	и во	13	22
161	форм и	1	22
162	и о	1	22
163	в своих	1	21
164	именно в	5	21
165	xvii века	2	21
166	культуры и	1	21
167	в отношении	5	21
168	уже в	5	21
169	и как	12	21
170	есть в	3	21
171	в качестве	6	21
172	одним из	1	21
173	в себя	3	21
174	что это	1	21
175	ни в	9	21
176	и наконец	6	21
177	в виду	5	20
178	еды и	17	20
179	в связи	13	20
180	и это	5	20
181	в значительной	3	20
182	одной из	3	20
183	этом отношении	5	20
184	образов и	1	20
185	с точки	9	20
186	как раз	13	20
187	в образе	8	20
188	они были	4	20
189	а также	5	20
190	самом деле	2	20
191	во всем	3	19
192	их в	6	19
193	к этому	5	19
194	в эту	1	19
195	того же	9	19
196	за пределы	1	19
197	было бы	2	19
198	с ее	7	19
199	эпизод с	1	19
200	в дальнейшем	10	19
201	с другой	4	19
202	на протяжении	3	19
203	хотя и	5	19
204	в форме	5	19
205	в ту	1	19
206	третьей книге	1	19
207	xvii веке	2	19
208	эпизоде с	4	19
209	далеко не	3	19
210	существенную роль	3	18
211	мы находим	2	18
212	средневековья и	1	18
213	в xvii	3	18
214	на мир	1	18
215	со всеми	4	18
216	конечно и	5	18
217	это и	1	18
218	здесь не	5	18
219	одна из	3	18
220	но они	3	18
221	весь мир	3	18
222	этих образов	2	18
223	на этом	2	18
224	связанные с	5	18
225	перед нами	1	18
226	связан с	2	18
227	и смерти	1	17
228	для того	12	17
229	конечно не	7	17
230	на площади	4	17
231	в результате	6	17
232	человеческого тела	10	17
233	кн iii	2	17
234	iii гл	2	17
235	связанных с	3	17
236	на его	1	17
237	числе и	4	17
238	в плане	1	17
239	такой же	1	17
240	еще более	7	17
241	но все	6	17
242	для рабле	2	17
243	связана с	1	17
244	и вот	2	17
245	того что	5	17
246	века и	3	17
247	и образов	2	17
248	а не	7	17
249	в другом	2	16
250	влияние на	6	16
251	с одной	5	16
252	между ними	5	16
253	между тем	1	16
254	почти вовсе	3	16
255	тот же	4	16
256	в начале	3	16
257	образов рабле	1	16
258	с народной	1	16
259	ii гл	7	16
260	вернемся к	2	16
261	самого рабле	1	16
262	он дает	1	16
263	ничего не	9	16
264	они не	4	16
265	дело в	3	16
266	не подлежит	1	16
267	а затем	3	15
268	характерно что	5	15
269	в которой	3	15
270	кн ii	9	15
271	на весь	1	15
272	гаргантюа и	2	15
