N	3gram	Berdyaev_V	Narrotol
1	в том что	2	18
2	в известном смысле	1	6
3	но и в	2	5
4	к тому что	3	4
5	и в жизни	1	2
6	бы и не	2	2
7	а между тем	2	2
8	на том свете	1	2
9	но все же	1	2
10	добра и зла	2	2
11	которым можно было	2	2
12	как бы в	1	2
13	не могли бы	1	1
14	говорить о возможности	1	1
15	по сравнению с	1	1
16	что я не	1	1
17	в первый раз	3	1
18	так и в	1	1
19	потому что оно	1	1
20	ведет не к	1	1
21	с другой стороны	1	1
22	бы то ни	1	1
23	никогда не было	1	1
24	в последних словах	1	1
25	и т д	2	1
26	по крайней мере	1	1
27	как и в	1	1
28	и не было	1	1
29	всего что было	1	1
30	тем что они	1	1
31	не верит в	2	1
32	том что он	2	1
33	и что в	1	1
34	того что есть	1	1
35	вместо того чтобы	2	1
36	то что я	2	1
37	то что мы	3	1
38	хоть и не	1	1
39	все что было	1	1
