N	3gram	Propp_Morf	Istorich
1	и т д	60	142
2	в этих случаях	14	47
3	с другой стороны	5	46
4	мы видим что	11	30
5	до сих пор	1	30
6	в этом случае	10	29
7	с одной стороны	2	28
8	в иное царство	6	28
9	в том что	4	25
10	не может быть	9	24
11	но все же	4	23
12	тем не менее	6	23
13	точно так же	2	22
14	о том что	3	22
15	мы имеем в	2	19
16	здесь мы имеем	1	17
17	и в сказке	1	17
18	в связи с	9	17
19	мы уже знаем	1	15
20	о том как	2	15
21	в данном случае	2	15
22	после того как	1	15
23	по отношению к	7	14
24	за тридевять земель	1	14
25	в сказке о	2	14
26	на то что	3	14
27	в некоторых случаях	1	14
28	в то время	3	13
29	таким образом мы	7	13
30	мы уже видели	2	13
31	что в сказке	1	13
32	мы увидим ниже	6	13
33	мы увидим что	2	13
34	то время как	3	13
35	мы не будем	2	12
36	в тех случаях	2	11
37	не что иное	2	11
38	всех этих случаях	1	11
39	во всех этих	1	11
40	что иное как	2	11
41	случай мы имеем	3	10
42	как и в	3	10
43	можно было бы	2	10
44	к заключению что	1	10
45	тех случаях когда	2	10
46	что и в	1	10
47	друг с другом	1	9
48	но так как	2	9
49	как мы увидим	5	9
50	более или менее	2	9
51	в немецкой сказке	1	9
52	в таких случаях	2	9
53	надо сказать что	1	8
54	образом мы видим	4	8
55	с того что	2	8
56	на этот вопрос	1	8
57	в лес и	1	8
58	в ином царстве	1	8
59	подобно тому как	5	8
60	еще не все	1	8
61	в большинстве случаев	3	7
62	наряду с этим	5	7
63	дело не в	2	7
64	во время боя	2	7
65	в одном случае	1	7
66	начинается с того	2	7
67	то что в	2	7
68	во всяком случае	2	7
69	так например в	1	7
70	если бы мы	1	7
71	на первый взгляд	3	7
72	отсюда видно что	2	7
73	тридевять земель в	1	7
74	можно предположить что	1	7
75	и в других	2	6
76	в другой сказке	1	6
77	это значит что	1	6
78	но это не	1	6
79	т д все	1	6
80	этой точки зрения	1	6
81	т д но	4	6
82	с этой точки	1	6
83	на курьих ножках	2	6
84	имеем в сказке	4	6
85	мы должны будем	1	6
86	вход в иное	1	6
87	с самого начала	1	6
88	мы не можем	1	6
89	с этим в	1	5
90	то что он	1	5
91	между героем и	1	5
92	для того чтобы	3	5
93	для наших целей	2	5
94	т е мы	1	5
95	уже видели выше	1	5
96	так как это	1	5
97	иное царство и	1	5
98	т д то	1	5
99	может быть поставлен	1	5
100	в одной сказке	1	5
101	в других случаях	1	5
102	до наших дней	2	5
103	быть поставлен вопрос	1	5
104	т д и	1	5
105	не представляет собой	1	5
106	есть не что	1	5
107	то же происходит	2	5
108	в лесной избушке	1	5
109	сказка начинается с	1	5
110	т д в	2	5
111	же можно сказать	1	5
112	в сказке она	1	5
113	на самом деле	4	5
114	мы имеем здесь	1	5
115	в запретном чулане	1	5
116	т д здесь	1	4
117	чем перейти к	1	4
118	выдает себя за	1	4
119	так в сказке	1	4
120	но есть и	1	4
121	даже в тех	1	4
122	в лесу на	1	4
123	случаях мы имеем	1	4
124	то это значит	1	4
125	и может быть	1	4
126	в других сказках	1	4
127	с точки зрения	6	4
128	независимо от того	4	4
129	мы можем наблюдать	1	4
130	состоит в том	3	4
131	не означает что	1	4
132	это еще не	2	4
133	связь сказки с	1	4
134	вопрос о том	2	4
135	оно может быть	2	4
136	сюда же относится	1	4
137	по всему миру	1	4
138	тот момент когда	1	4
139	обстоит дело с	1	4
140	он не может	1	4
141	друг на друга	2	4
142	имеется и в	1	4
143	иметь в виду	1	4
144	можно наблюдать что	5	4
145	но наряду с	1	4
146	поставить вопрос о	1	4
147	то же можно	1	4
148	и тем не	2	4
149	случаи когда герой	1	4
150	в руки героя	3	4
151	связи с изучением	1	4
152	в тот момент	1	4
153	нос в потолок	1	4
154	можно сказать что	1	4
155	мы легко узнаем	1	4
156	ничего не говорится	1	4
157	здесь можно усмотреть	1	4
158	при помощи которой	2	4
159	но они не	1	4
160	между прочим и	1	4
161	он показывает что	1	4
162	к этому же	1	4
163	на тот свет	1	3
164	как один из	1	3
165	он женится на	1	3
166	и многие другие	1	3
167	один из них	1	3
168	д все эти	1	3
169	берет с собой	1	3
170	и то же	1	3
171	вступает в брак	1	3
172	в иных случаях	2	3
173	этот вопрос мы	1	3
174	в обоих случаях	2	3
175	в точности соответствует	2	3
176	такой случай мы	1	3
177	может быть разрешен	3	3
178	в уточку и	1	3
179	в различных животных	1	3
180	к тому что	4	3
181	в подземное царство	1	3
182	если всмотреться в	1	3
183	в брак и	1	3
184	это так то	1	3
185	например в сказке	1	3
186	не покидать высока	1	3
187	один и тот	1	3
188	мы нашли что	1	3
189	не может считаться	4	3
190	то мы не	1	3
191	т д с	1	3
192	волшебной сказки не	1	3
193	стоит в связи	1	3
194	можно установить что	1	3
195	она может быть	1	3
196	бегство и погоня	1	3
197	избушка на курьих	1	3
198	в сказке имеется	1	3
199	в другом случае	1	3
200	превращаться в животных	1	3
201	при помощи которых	1	3
202	и тот же	1	3
203	видим что в	1	3
204	то же в	1	3
205	как уже указано	1	3
206	из этих двух	1	3
207	дочь в лес	1	3
208	д с другой	1	3
209	некоторый свет на	1	3
210	это завело бы	1	3
211	это означает что	1	3
212	то ни было	2	3
213	если это так	2	3
214	я тебе пригожусь	1	3
215	связь его с	1	3
216	мы увидим дальше	1	3
217	бы то ни	3	3
218	в третий раз	1	3
219	так же и	1	3
220	в сказке сказать	1	3
221	сих пор не	1	3
222	покидать высока терема	1	3
223	но и здесь	1	3
224	есть и другие	2	3
225	в приведенных случаях	1	3
226	что там где	1	3
227	во второй раз	2	3
228	с собой в	1	3
229	так тесно связаны	1	2
230	кроме того есть	1	2
231	и здесь можно	1	2
232	но то что	1	2
233	не в количестве	2	2
234	это не значит	2	2
235	в тех сказках	1	2
236	героя т е	1	2
237	с золотыми яблоками	1	2
238	он как бы	1	2
239	и в нашей	1	2
240	она все же	1	2
241	они и не	1	2
242	бросают некоторый свет	1	2
243	доходит до места	1	2
244	больте и поливки	1	2
245	ни вздумать ни	1	2
246	мужа в лес	1	2
247	связи с сватовством	4	2
248	к ложным заключениям	1	2
