N	3gram	Potebnia_M	EvropaiE
1	с точки зрения	2	16
2	в то же	8	15
3	то же время	8	14
4	с одной стороны	4	8
5	в том что	22	6
6	одной стороны и	1	6
7	для того чтобы	5	5
8	само по себе	6	4
9	не только в	4	4
10	то ни было	1	4
11	бы то ни	1	4
12	и в этом	1	4
13	друг с другом	1	3
14	можно думать что	2	3
15	их отношении к	1	3
16	в этом смысле	2	3
17	в некотором смысле	2	3
18	заключает в себе	10	3
19	как бы ни	4	3
20	хотя бы и	1	3
21	между тем в	1	3
22	во всяком случае	3	3
23	можно сказать что	3	3
24	в их отношении	1	3
25	в этом отношении	2	3
26	так и в	2	2
27	но не только	1	2
28	в одном из	1	2
29	а тем более	2	2
30	рано или поздно	2	2
31	того что в	1	2
32	как мы видели	1	2
33	нам кажется что	3	2
34	не может быть	7	2
35	на то что	3	2
36	в большинстве случаев	2	2
37	в данном случае	3	2
38	по себе не	2	2
39	заключается в том	1	2
40	и со стороны	1	2
41	к тому чтобы	1	2
42	только в том	5	2
43	так же мало	1	2
44	друг от друга	2	2
45	очевидно что в	1	2
46	то что в	2	2
47	во второй половине	1	2
48	в свою очередь	6	2
49	с другой стороны	4	2
50	из того что	1	2
51	вслед за тем	3	2
52	с течением времени	2	2
53	не говоря уже	1	2
54	мы видели что	1	1
55	это можно утверждать	1	1
56	с другой и	1	1
57	и т д	5	1
58	заключающее в себе	1	1
59	нельзя сказать чтобы	1	1
60	в противном случае	1	1
61	с такими же	1	1
62	что для него	1	1
63	при помощи этого	1	1
64	мы видели в	1	1
65	в том случае	2	1
66	и чем больше	1	1
67	именно потому что	1	1
68	или поздно не	1	1
69	не заключает в	3	1
70	и связанное с	1	1
71	и та же	2	1
72	большего или меньшего	1	1
73	но и эта	1	1
74	то есть в	1	1
75	и в некотором	1	1
76	дело в том	1	1
77	во многих других	1	1
78	смысле этого слова	9	1
79	как и теперь	1	1
80	большей или меньшей	1	1
81	с но и	1	1
82	для нас значение	1	1
83	в других случаях	1	1
84	мы не можем	5	1
85	к тому что	3	1
86	но и в	4	1
87	том смысле что	2	1
88	для нас в	1	1
89	можем сказать что	1	1
90	и эта последняя	1	1
91	какова должна быть	1	1
92	и тем самым	1	1
93	во многих случаях	1	1
94	то время как	3	1
95	как мы не	1	1
96	есть то что	2	1
97	в том смысле	6	1
98	оставим в стороне	1	1
99	теперь не только	1	1
100	или вовсе не	1	1
101	в себе в	1	1
102	так как мы	1	1
103	мы оставим в	1	1
104	до настоящего времени	1	1
105	в себе не	2	1
106	но и то	1	1
107	и то и	2	1
108	что оно не	2	1
109	что как бы	1	1
110	и та и	2	1
111	но не в	1	1
112	окажется что в	1	1
113	и того же	2	1
114	один и тот	2	1
115	себе не только	1	1
116	та и другая	2	1
117	не могут быть	3	1
118	и человеческой жизни	1	1
119	то и другое	3	1
120	имеет для нас	1	1
121	с тем что	1	1
122	в силу этого	1	1
123	что же касается	1	1
124	вовсе не в	1	1
125	более близкие к	1	1
126	вероятно что в	2	1
127	занять место в	1	1
128	и не в	1	1
129	том случае если	1	1
130	в том же	2	1
131	и тот же	2	1
132	было бы совершенно	1	1
133	связанное с ним	1	1
134	в области где	1	1
135	того что мы	2	1
136	каждого из них	1	1
137	это значит что	1	1
138	то есть к	3	1
139	но какой бы	1	1
140	главным образом из	1	1
141	говоря уже о	1	1
142	в своей совокупности	1	1
143	в то время	7	1
144	только тогда когда	11	1
145	то есть чем	1	1
146	и притом с	1	1
147	более или менее	6	1
148	это зависит от	1	1
149	их связь и	1	1
150	что само по	1	1
151	но так как	2	1
152	и во многих	1	1
153	в его руках	1	1
154	в переводе на	1	1
155	это потому что	2	1
156	в большей или	1	1
157	тех и других	1	1
158	к тому же	1	1
159	одна и та	2	1
160	одного и того	2	1
161	есть такая же	2	1
162	может быть и	1	1
163	друг к другу	1	1
