N	2gram	Berdyaev_M	Russkaja
1	не может	39	22
2	и не	26	19
3	в этом	34	17
4	в том	9	17
5	и в	61	14
6	то что	10	13
7	самим собой	1	12
8	то же	4	11
9	точки зрения	6	11
10	но и	34	10
11	в то	2	10
12	не только	42	9
13	с точки	1	9
14	том что	7	9
15	во всяком	1	9
16	может быть	42	9
17	в себе	12	9
18	прежде всего	18	8
19	русской интеллигенции	1	8
20	того чтобы	4	8
21	как на	1	8
22	не будет	3	7
23	ни к	2	7
24	самом деле	2	7
25	к тому	6	7
26	о том	5	7
27	самого себя	6	7
28	и если	1	7
29	мы должны	1	7
30	и с	6	7
31	к богу	5	7
32	и к	9	6
33	если в	2	6
34	для него	28	6
35	признать что	1	6
36	все это	6	6
37	на самом	2	6
38	в своих	4	6
39	если бы	5	6
40	и для	7	6
41	в россии	2	6
42	с тем	10	6
43	что он	16	6
44	для того	4	6
45	к которой	4	6
46	своего народа	1	6
47	в своем	17	6
48	всяком случае	1	6
49	а потому	1	5
50	до сих	5	5
51	и на	9	5
52	только в	7	5
53	в своей	18	5
54	во имя	26	5
55	жизни в	3	5
56	себя и	6	5
57	во всех	3	5
58	сих пор	5	5
59	и только	1	5
60	вопрос о	7	5
61	хотя бы	8	5
62	потому что	25	5
63	в нем	26	5
64	между тем	2	5
65	он не	34	5
66	конечно не	3	5
67	а в	4	5
68	было бы	11	5
69	на то	1	5
70	он должен	4	5
71	никогда не	30	5
72	что в	12	4
73	во всем	5	4
74	и то	2	4
75	все что	5	4
76	когда они	1	4
77	так как	10	4
78	возможно лишь	1	4
79	к этой	3	4
80	тогда когда	2	4
81	в его	10	4
82	к соединению	2	4
83	тому чтобы	2	4
84	не могут	6	4
85	его в	6	4
86	не в	16	4
87	он будет	1	4
88	вместе с	7	4
89	как и	14	4
90	на земле	7	4
91	что такой	1	4
92	в мире	12	4
93	все же	2	4
94	приводит к	2	4
95	в их	4	4
96	себе и	4	4
97	том случае	1	4
98	которой он	2	4
99	можно было	1	4
100	что же	2	4
101	от того	4	4
102	а лишь	3	4
103	как бы	10	4
104	путь к	2	4
105	в этой	12	4
106	себя в	6	4
107	жизни и	6	4
108	но не	8	4
109	точку зрения	1	4
110	в другое	1	4
111	в самом	15	3
112	то в	2	3
113	что они	4	3
114	был и	1	3
115	и этот	4	3
116	может не	3	3
117	должно быть	5	3
118	что это	5	3
119	для них	3	3
120	что и	6	3
121	в будущем	1	3
122	не было	25	3
123	сил и	1	3
124	тем что	7	3
125	в конце	11	3
126	и как	3	3
127	вряд ли	3	3
128	и т	1	3
129	да и	1	3
130	не есть	21	3
131	но если	4	3
