N	2gram	Potebnia_M	Vladivir
1	и в	58	116
2	то что	24	71
3	и не	34	67
4	у него	3	65
5	не только	32	65
6	в этом	18	53
7	в том	38	52
8	том что	21	51
9	что в	34	48
10	но и	26	47
11	в его	7	40
12	и с	3	39
13	то есть	69	37
14	и даже	4	36
15	сказать что	5	36
16	там же	9	35
17	так что	23	35
18	же с	8	34
19	потому что	89	33
20	что он	5	32
21	еще и	1	32
22	не может	30	31
23	о том	6	30
24	только в	36	30
25	как мы	3	29
26	никогда не	7	29
27	для него	13	29
28	вовсе не	13	27
29	а в	11	27
30	не было	7	26
31	а к	1	25
32	в себе	22	25
33	но в	12	25
34	в то	6	25
35	и то	4	25
36	и его	7	25
37	даже и	4	24
38	точки зрения	8	23
39	между прочим	5	23
40	он не	4	23
41	может быть	47	23
42	что же	3	23
43	ни в	2	22
44	так как	29	22
45	в виде	1	22
46	об этом	1	22
47	в своей	3	21
48	вместе с	12	21
49	а именно	1	20
50	и что	13	20
51	в своем	3	20
52	для нас	29	20
53	прежде всего	8	20
54	не менее	10	19
55	и вообще	5	19
56	по поводу	7	19
57	тем не	11	19
58	таким образом	21	19
59	в течение	2	19
60	так и	17	19
61	и потому	7	19
62	как и	16	18
63	не мог	3	18
64	не в	23	18
65	хотя и	6	18
66	как это	1	18
67	с его	3	18
68	в письме	1	17
69	то это	8	17
70	что и	16	17
71	в этой	3	17
72	едва ли	1	17
73	и если	6	17
74	а не	38	17
75	у нас	3	17
76	все же	11	16
77	уже не	4	16
78	к тому	5	16
79	не есть	13	16
80	совсем не	1	16
81	для себя	4	16
82	и все	6	16
83	было бы	21	16
84	того что	15	16
85	в котором	5	16
86	то же	13	15
87	в своих	4	15
88	к этому	3	15
89	несмотря на	5	15
90	в связи	2	15
91	но это	7	15
92	это было	3	15
93	того же	13	14
94	все эти	3	14
95	раз и	1	14
96	его жизни	1	14
97	же касается	1	14
98	мы уже	1	14
99	и на	8	14
100	с а	4	14
101	уже в	5	14
102	и как	11	14
103	во всем	5	13
104	в результате	1	13
105	с тем	9	13
106	можно сказать	1	13
107	так же	7	13
108	на этот	2	13
109	и от	5	13
110	что это	5	13
111	то время	3	13
112	да и	1	13
113	дело в	3	13
114	жизни и	3	13
115	по себе	24	12
116	только на	4	12
117	и это	3	12
118	и у	3	12
119	и по	8	12
120	в нем	26	12
121	то в	6	12
122	если не	5	12
123	всяком случае	7	12
124	ничего не	2	12
125	во всяком	9	12
126	есть только	16	12
127	связи с	6	12
128	при этом	17	11
129	но что	2	11
130	более или	6	11
131	всякого рода	1	11
132	в данном	1	11
133	хотя бы	4	11
134	тому же	1	11
135	в которой	5	11
136	на то	5	11
137	и здесь	1	11
138	никак не	3	11
139	в отношении	1	11
140	еще в	1	11
141	все это	3	11
142	то он	2	11
143	или менее	6	11
144	мы должны	4	11
145	и о	3	11
146	в самом	5	10
147	даже в	1	10
148	что все	4	10
149	такого рода	1	10
150	с точки	4	10
151	что его	2	10
152	можно было	1	10
153	что для	5	10
154	к нему	2	10
155	с ним	7	10
156	еще не	9	10
157	собственно говоря	2	10
158	в истории	8	10
159	здесь не	2	10
160	о нем	1	10
161	в ней	9	10
162	но не	19	10
163	и сам	1	9
164	именно в	2	9
165	с этим	11	9
166	и психологии	1	9
167	с другой	13	9
168	мы знаем	2	9
169	и притом	6	9
170	но он	3	9
171	а только	8	9
172	но как	4	9
173	не будет	2	9
174	этом смысле	4	9
175	мы будем	3	9
176	из этого	2	9
177	в начале	2	9
178	оно есть	1	9
179	отношения к	2	9
180	своей жизни	1	9
181	что мы	11	9
182	что если	7	9
183	для меня	4	9
184	это не	10	9
185	же время	4	9
186	ни с	2	9
187	что касается	2	9
188	в целом	3	9
189	с этой	3	8
190	это значит	1	8
191	не столько	3	8
192	в этих	10	8
193	тем что	15	8
194	можно считать	2	8
195	в этот	1	8
196	конечно не	1	8
197	себя в	1	8
198	в смысле	4	8
199	в чем	6	8
200	значит что	1	8
201	как в	18	8
202	со стороны	11	8
203	должно быть	9	8
204	как бы	12	8
205	и для	8	8
206	тот же	5	8
207	тоже не	1	8
208	когда он	1	8
209	из этих	8	8
210	отношение к	1	8
211	мы и	1	7
212	к этой	3	7
213	в одном	13	7
214	в них	7	7
215	но все	4	7
216	к ней	3	7
217	что этот	1	7
218	но даже	2	7
219	точно так	18	7
220	с в	5	7
221	в нашем	2	7
222	и мы	1	7
223	выше мы	2	7
224	себе и	2	7
225	за пределы	4	7
226	о его	2	7
227	и есть	4	7
228	мы видели	5	7
229	если бы	23	7
230	не имеет	9	7
231	в каком	7	7
232	ничего общего	3	7
233	того чтобы	4	7
234	из его	1	7
235	при помощи	2	7
236	но если	4	7
237	не без	2	7
238	нисколько не	2	7
239	на его	1	7
240	в таком	7	7
241	то и	15	7
242	и ни	1	7
243	как он	5	7
244	или как	2	7
245	мы бы	3	7
246	по этому	2	7
247	же в	7	7
248	же и	1	6
249	тому что	4	6
250	мысли и	9	6
251	те же	4	6
252	в виду	2	6
253	другой стороны	7	6
254	его на	3	6
255	этого последнего	2	6
256	для того	8	6
257	то как	1	6
258	видно что	2	6
259	в отличие	1	6
260	на него	6	6
261	если мы	5	6
262	той же	3	6
263	указать на	1	6
264	по мнению	4	6
265	его в	3	6
266	чем в	2	6
267	том же	3	6
268	не говорит	1	6
269	что она	3	6
270	на себя	1	6
271	время как	2	6
272	под влиянием	10	6
273	но только	2	6
274	по своей	2	6
275	в боге	1	6
276	главным образом	4	6
277	сказать о	1	6
278	взгляд на	2	6
279	не с	2	6
280	и вполне	2	6
281	должен был	1	6
282	но на	3	6
283	нельзя сказать	2	6
284	в сравнении	5	6
285	и теперь	1	6
286	на основании	3	6
287	что здесь	1	6
288	мы не	17	6
289	а это	1	6
290	и всегда	3	6
291	знания и	1	6
292	в общем	1	6
293	было для	1	6
294	по его	7	6
295	не говоря	1	6
296	ко всему	1	6
297	тем более	2	6
298	отличие от	1	6
299	в жизни	5	6
300	от того	9	6
301	такой же	4	6
302	само по	6	6
303	что на	9	6
304	есть не	7	6
305	говоря уже	1	5
306	еще более	2	5
307	и до	1	5
308	отношением к	1	5
309	об этих	1	5
310	но мы	3	5
311	не прямо	1	5
312	вопрос о	5	5
313	в каких	1	5
314	говорит что	1	5
315	не вполне	1	5
316	как на	5	5
317	без всякого	1	5
318	быть в	1	5
319	понятие о	2	5
320	из них	2	5
321	бы то	2	5
322	что они	6	5
323	во всех	12	5
324	сравнении с	4	5
325	что у	2	5
326	а и	5	5
327	и за	1	5
328	для своего	1	5
329	то ни	3	5
330	и тем	5	5
331	что бы	2	5
332	он в	1	5
333	с с	1	5
334	во время	5	5
335	один из	2	5
336	утверждает что	3	5
337	все то	2	5
338	и так	1	5
339	нет ничего	2	5
340	в свою	8	5
341	мы имеем	1	5
342	им в	1	5
343	заметить что	7	5
344	начиная с	2	5
345	что я	2	5
346	только при	3	5
347	из воспоминаний	1	5
348	друг друга	6	5
349	что с	3	5
350	ее в	1	5
351	где он	2	5
352	на одной	1	5
353	как нечто	1	5
354	место в	3	5
355	в их	3	5
356	мы находим	3	5
357	этого не	2	5
358	а то	1	5
359	и без	4	5
360	он никогда	1	5
361	на все	5	5
362	но уже	2	5
363	но его	1	5
364	только к	1	5
365	с самого	5	5
366	эти последние	3	5
367	она не	3	5
368	но она	3	5
369	далеко не	4	5
370	только то	3	5
371	еще на	1	5
372	которое в	1	5
373	бытия и	3	5
374	и прежде	1	5
375	в области	1	5
376	и только	6	5
377	которой мы	3	5
378	не к	1	5
379	с которыми	3	4
380	и другие	1	4
381	заметим что	1	4
382	только что	4	4
383	которые не	5	4
384	ровно ничего	1	4
385	нас в	2	4
386	на свою	1	4
387	их в	2	4
388	по своим	1	4
389	не имели	1	4
390	не могли	2	4
391	мы увидим	3	4
392	о которых	5	4
393	уже о	1	4
394	об отношении	3	4
395	уже и	2	4
396	не что	2	4
397	с этими	1	4
398	были в	1	4
399	что даже	2	4
400	она есть	3	4
401	крайней мере	6	4
402	не то	3	4
403	сам по	5	4
404	и весь	3	4
405	только не	2	4
406	что иное	2	4
407	с одной	7	4
408	есть его	1	4
409	в теории	2	4
410	мы можем	10	4
411	или не	3	4
412	не о	1	4
413	но для	1	4
414	и вместе	5	4
415	уже давно	1	4
416	если оно	1	4
417	вообще в	1	4
418	на этом	3	4
419	о необходимости	1	4
420	в духе	1	4
421	кажется что	1	4
422	в тех	1	4
423	когда мы	4	4
424	чувства к	2	4
425	любви к	1	4
426	независимо от	15	4
427	нам кажется	2	4
428	должны сказать	1	4
429	в особенности	1	4
430	не так	6	4
431	как с	1	4
432	с и	3	4
433	которых мы	3	4
434	в сущности	2	4
435	о которой	2	4
436	что сам	3	4
437	не на	3	4
438	не могут	10	4
439	как идея	1	4
440	заключается в	3	4
441	в нас	10	4
442	есть нечто	7	4
443	и просто	1	4
444	и т	10	4
445	себя и	3	4
446	всей своей	1	4
447	по крайней	6	4
448	он мог	1	4
449	перед нами	1	4
450	человека и	2	4
451	только одно	1	4
452	совершенно не	1	4
453	и более	3	4
454	тех же	1	4
455	с которой	1	4
456	лишь в	2	4
457	для нее	4	4
458	знаем что	1	4
459	как например	4	4
460	то мы	4	4
461	мог бы	5	4
462	и во	6	4
463	со своими	1	4
464	того с	1	4
465	в свой	1	4
466	не имел	2	4
467	т д	6	4
468	только с	1	4
469	как к	1	4
470	в более	4	4
471	ему в	1	4
472	после этого	2	4
473	разума и	1	4
474	тем самым	6	4
475	не будем	1	4
476	всех этих	2	4
477	бы на	1	4
478	этом отношении	1	4
479	знаю что	1	4
480	на самом	2	4
481	как именно	3	4
482	но с	3	4
483	этом не	2	4
484	себе в	2	4
485	была для	1	4
486	и бытия	1	4
487	в такой	2	4
488	то можно	1	4
489	не все	3	4
490	он говорит	1	4
491	во второй	1	4
492	в науке	1	4
493	одной стороны	6	4
494	что можно	3	4
495	оно должно	5	4
496	и других	6	4
497	так в	4	4
498	иное как	2	4
499	от него	8	3
500	все что	5	3
501	нельзя себе	3	3
502	человеческой жизни	1	3
503	можно и	1	3
504	самого себя	4	3
505	и объекта	4	3
506	в разных	2	3
507	ни стало	1	3
508	не как	4	3
509	что человек	6	3
510	его от	2	3
511	прибавить что	2	3
512	что по	3	3
513	притом в	1	3
514	но когда	1	3
515	роль в	1	3
516	в природе	11	3
517	отличается от	1	3
518	когда в	3	3
519	мир и	1	3
520	так например	5	3
521	а что	1	3
522	я вижу	1	3
523	не существует	2	3
524	и такие	1	3
525	это последнее	6	3
526	в противоположность	2	3
527	только как	5	3
528	но во	3	3
529	в другом	3	3
530	но то	1	3
531	во многих	5	3
532	имеют для	4	3
533	самого начала	5	3
534	до того	2	3
535	свою очередь	8	3
536	некоторое время	1	3
537	именно так	2	3
538	находится в	2	3
539	своих признаков	1	3
540	наука и	1	3
541	вернее сказать	1	3
542	на котором	1	3
543	к этим	2	3
544	в заключение	1	3
545	влияние на	4	3
546	него как	1	3
547	здесь нет	1	3
548	это будет	5	3
549	время и	2	3
550	можно думать	4	3
551	в состоянии	5	3
552	начала и	1	3
553	как можно	1	3
554	в следующем	1	3
555	не была	2	3
556	а за	1	3
557	будто бы	1	3
558	одним из	2	3
559	что не	15	3
560	я и	1	3
561	между ними	2	3
562	по одному	1	3
563	же как	1	3
564	на земле	1	3
565	в мире	3	3
566	следовательно и	2	3
567	так сказать	5	3
568	был не	1	3
569	в сторону	1	3
570	бы в	6	3
571	оно не	4	3
572	очень часто	1	3
573	но тогда	3	3
574	во что	1	3
575	близкий к	1	3
576	только потому	4	3
577	одно и	1	3
578	не были	2	3
579	не могла	2	3
580	и хотя	1	3
581	сравнительно с	5	3
582	заставляет нас	2	3
583	то по	1	3
584	бы его	1	3
585	и др	1	3
586	что есть	3	3
587	и красоте	1	3
588	его к	3	3
589	с каким	2	3
590	остановиться на	1	3
591	и ее	1	3
592	меня и	1	3
593	от нее	6	3
594	и действительно	1	3
595	него только	1	3
596	и этот	1	3
597	в вопросах	1	3
598	также что	2	3
599	жизни а	1	3
600	был бы	1	3
601	с такой	1	3
602	и при	6	3
603	была бы	3	3
604	от нас	3	3
605	он на	1	3
606	что несмотря	1	3
607	для них	2	3
608	себе не	3	3
609	том и	2	3
610	самом деле	2	3
611	от своего	2	3
612	с таким	3	3
613	если это	2	3
614	с ними	2	3
615	в которых	2	3
616	без которых	1	3
617	мыслей и	1	3
618	говорить и	1	3
619	бы с	2	3
620	ясно и	2	3
621	не имеют	7	3
622	с нами	2	3
623	не знаю	1	3
624	наконец в	1	3
625	само это	1	3
626	не понимает	2	3
627	и вся	1	3
628	не могло	3	3
629	значение для	1	3
630	отношении к	1	3
631	мы действительно	1	3
632	в обществе	3	3
633	видели выше	1	3
634	а скорее	2	3
635	общего с	3	3
636	только о	2	3
637	именно к	1	3
638	п а	1	3
639	что такое	3	3
640	на вопрос	3	3
641	ее на	1	3
642	сам он	1	3
643	того как	12	3
644	о значении	1	3
645	на что	3	3
646	только его	1	3
647	ни на	1	3
648	с их	1	3
649	без всяких	1	3
650	плане но	1	3
651	но эта	1	3
652	с теми	2	3
653	история и	2	3
654	указывает на	2	3
655	в какой	2	3
656	один и	1	3
657	бы мы	1	3
658	пока не	1	3
659	и самого	2	3
660	в полной	1	3
661	его не	3	3
662	может считаться	1	3
663	философской системы	1	3
664	субъекта и	4	3
665	на меня	1	3
666	это была	1	3
667	в трех	1	3
668	говоря о	3	3
669	что к	2	3
670	думать что	6	3
671	при всем	1	3
672	и всякая	1	3
673	но теперь	1	3
674	которые в	1	3
675	бы он	1	3
676	менее если	1	3
677	как будто	2	3
678	том случае	1	3
679	тех пор	2	3
680	человек не	2	3
681	которое мы	5	3
682	в чисто	1	3
683	в той	1	2
684	является в	1	2
685	а другие	1	2
686	для всех	6	2
687	в возможности	1	2
688	в душе	28	2
689	на эти	1	2
690	ней не	1	2
691	до него	1	2
692	бы даже	2	2
693	я этого	1	2
694	случае мы	1	2
695	или по	2	2
696	дело с	2	2
697	нее в	1	2
698	сам собою	1	2
699	их жизни	1	2
700	но тем	6	2
701	человек есть	2	2
702	что дело	2	2
703	время не	1	2
704	потому не	1	2
705	например с	2	2
706	а есть	1	2
707	другое в	1	2
708	то не	5	2
709	отношений в	1	2
710	и которые	3	2
711	вопрос об	3	2
712	чтобы в	1	2
713	на такой	2	2
714	к более	1	2
715	если он	1	2
716	например в	4	2
717	видно из	3	2
718	и другим	1	2
719	дом и	1	2
720	в собственном	4	2
721	себя к	1	2
722	только для	7	2
723	которое не	1	2
724	свою собственную	1	2
725	силою и	1	2
726	даже с	2	2
727	где оно	2	2
728	время с	2	2
729	и того	6	2
730	вероятно не	1	2
731	в действительности	6	2
732	но которое	1	2
733	хотя с	1	2
734	имеет в	1	2
735	ни по	2	2
736	было ничего	1	2
737	но эти	4	2
738	бы если	1	2
739	сила и	1	2
740	не всегда	2	2
741	в себя	2	2
742	не имеем	3	2
743	то его	1	2
744	точке зрения	4	2
745	когда ей	1	2
746	всего этого	1	2
747	единство и	1	2
748	вообще и	2	2
749	что истина	1	2
750	духа и	8	2
751	та часть	1	2
752	как я	1	2
753	несколько слов	1	2
754	без того	1	2
755	чего он	1	2
756	во всей	1	2
757	одна из	4	2
758	иначе и	1	2
759	воли и	1	2
760	без которой	2	2
761	и всякого	1	2
762	именно с	1	2
763	бы это	1	2
764	распадается на	1	2
765	с ее	2	2
766	но так	1	2
767	этих последних	5	2
768	всякий кто	1	2
769	все в	2	2
770	в некоторых	4	2
771	нами не	2	2
772	после того	3	2
773	которое он	2	2
774	что каждая	1	2
775	на том	2	2
776	в произведении	1	2
777	но еще	1	2
778	внимание на	3	2
779	к себе	1	2
780	притом не	5	2
781	что уже	1	2
782	обратить внимание	2	2
783	и совершенно	2	2
784	и легко	1	2
785	образом если	1	2
786	к истине	2	2
787	в ее	2	2
788	других источников	1	2
789	которого он	1	2
790	и никакой	1	2
791	стремится к	1	2
792	организм есть	1	2
793	столько же	4	2
794	это нисколько	1	2
795	во внимание	4	2
796	совсем в	2	2
797	цели но	1	2
798	всем своем	1	2
799	рядом с	3	2
