N	4gram	Medvedev_F	RusskieA
1	не что иное как	1	4
2	на самом же деле	1	3
3	состоит в том чтобы	1	3
4	но вместе с тем	1	3
5	но тем не менее	1	2
6	и в этом случае	1	2
7	вместе с тем и	2	2
8	и до сих пор	2	1
9	в такой же степени	1	1
10	и состоит в том	1	1
11	может быть и не	2	1
12	не непосредственно а через	1	1
13	а в связи с	1	1
14	на нее как на	1	1
15	иметь в виду что	1	1
16	в том чтобы установить	1	1
17	мы не можем согласиться	1	1
18	пишет для того чтобы	1	1
19	дать более или менее	1	1
20	поэтому мы не можем	1	1
