N	2gram	Vygotskiy_	TeoriaLi
1	в качестве	2	33
2	в мире	3	26
3	не только	16	24
4	и в	65	24
5	в частности	3	23
6	то есть	30	22
7	состоит в	4	22
8	может быть	33	22
9	при этом	10	20
10	в том	46	20
11	и не	20	17
12	а в	9	15
13	но и	6	14
14	а не	11	14
15	так и	3	14
16	в себе	9	14
17	представляет собой	3	13
18	такого рода	1	13
19	но не	3	13
20	в этом	37	12
21	сводится к	1	12
22	но в	5	12
23	в его	11	12
24	то же	17	12
25	том что	28	11
26	точки зрения	19	11
27	и его	8	11
28	что в	36	10
29	как это	13	10
30	в душе	1	9
31	только в	9	9
32	в данном	5	9
33	с другой	8	9
34	в искусстве	2	9
35	не в	12	9
36	в то	5	9
37	в своей	6	8
38	как бы	29	8
39	не может	17	8
40	в самом	41	7
41	не столько	1	7
42	в отличие	1	7
43	в своем	8	7
44	себя в	1	7
45	мы имеем	2	7
46	а также	1	7
47	отличие от	1	7
48	во второй	1	7
49	отношение к	2	7
50	однако в	1	7
51	место в	6	7
52	в нем	8	7
53	другой стороны	5	6
54	более или	1	6
55	конечном счете	1	6
56	как и	12	6
57	не менее	1	6
58	еще не	3	6
59	в основе	5	6
60	то что	61	6
61	со стороны	4	6
62	уже не	2	6
63	с его	2	6
64	в ее	9	6
65	с другими	1	6
66	в конечном	2	6
67	или иначе	2	6
68	между ними	1	6
69	или менее	1	6
70	в русской	4	6
71	того или	2	6
72	тем самым	4	6
73	в первой	2	6
74	или иного	2	6
75	ни в	6	5
76	в виду	6	5
77	так или	1	5
78	и одновременно	2	5
79	как в	8	5
80	в художественном	1	5
81	можно сказать	2	5
82	не является	2	5
83	того чтобы	21	5
84	для того	18	5
85	литературных произведений	1	5
86	иначе говоря	10	5
87	как к	6	5
88	по преимуществу	2	5
89	данном случае	5	5
90	для него	4	5
91	того что	9	5
92	в себя	1	5
93	между тем	10	5
94	он не	11	5
95	и тем	4	5
96	и о	6	5
97	художественного произведения	2	5
98	искусства в	1	5
99	в отношении	1	4
100	не на	1	4
101	не следует	3	4
102	и сам	1	4
103	в этих	3	4
104	отношения к	3	4
105	что он	23	4
106	в слове	1	4
