N	2gram	Medvedev_S	SlovoVZh
1	не может	1	16
2	может быть	2	14
3	как бы	2	13
4	и его	1	13
5	таким образом	2	12
6	и в	3	12
7	отношению к	2	11
8	по отношению	2	11
9	и не	1	10
10	прежде всего	1	8
11	для нас	3	7
12	с помощью	1	6
13	в том	5	6
14	в процессе	1	6
15	только в	2	6
16	хотя бы	1	5
17	должна быть	2	5
18	то же	2	5
19	то что	2	5
20	как и	1	5
21	отнюдь не	1	5
22	том что	2	5
23	никогда не	1	5
24	не только	3	4
25	за пределы	2	4
26	его в	1	4
27	литературы и	2	4
28	с другой	1	4
29	не в	3	4
30	так и	1	4
31	в этом	5	4
32	все же	1	4
33	это как	1	3
34	и более	1	3
35	в котором	1	3
36	и по	1	3
37	мы не	1	3
38	или не	1	3
39	между тем	1	3
40	с ним	1	3
41	не должна	1	3
42	все это	7	3
43	конечно не	1	3
44	по себе	1	3
45	в них	1	3
46	все эти	1	3
47	о том	1	3
48	в своей	1	3
49	но и	2	3
50	и наконец	1	3
51	еще не	2	3
52	что в	2	2
53	истории литературы	10	2
54	и потому	1	2
55	ни на	1	2
56	опираясь на	1	2
57	в данном	1	2
58	в то	1	2
59	по природе	2	2
60	зависит от	1	2
61	с одной	1	2
62	социологический метод	4	2
63	в его	3	2
64	это не	1	2
65	одной стороны	1	2
66	метод в	4	2
67	те же	1	2
68	не способен	1	2
69	и что	2	2
70	социологическому методу	1	2
71	же самое	1	2
72	в этих	1	2
73	как же	3	2
74	слова но	1	2
75	но не	1	2
76	между ними	1	2
77	место в	1	2
78	настоящее время	1	2
79	они ни	1	2
80	на все	1	2
81	между собой	1	2
82	в чем	1	2
83	в настоящее	1	2
84	им не	2	2
85	как только	2	2
86	ничего не	1	2
87	остается в	1	1
88	во всяком	1	1
89	это и	2	1
90	развитие по	1	1
91	а с	1	1
92	выходит за	1	1
93	свои права	1	1
94	выдвигает на	1	1
95	она должна	1	1
96	в лучшем	1	1
97	же этот	1	1
98	нашей работы	1	1
99	он различает	1	1
100	только как	2	1
101	словесного творчества	1	1
102	на что	1	1
103	стиль в	1	1
104	что это	1	1
105	в противном	1	1
106	мы должны	1	1
107	это по	1	1
108	в частности	2	1
109	литературе и	1	1
110	вступает в	1	1
111	в области	1	1
112	бы они	1	1
113	кто не	1	1
114	а между	1	1
115	же не	1	1
116	в результате	2	1
117	ни были	1	1
118	том и	1	1
119	далеко не	2	1
120	только то	1	1
121	историка литературы	2	1
122	у него	1	1
123	же время	1	1
124	в виде	1	1
125	о литературе	3	1
126	в конечном	1	1
127	жизни он	1	1
128	не было	1	1
129	когда мы	1	1
130	связи с	1	1
131	положения в	1	1
132	все то	1	1
133	мы понимаем	1	1
134	было бы	2	1
135	это же	1	1
136	именно и	1	1
137	формальный метод	1	1
138	в свои	1	1
139	теоретическая поэтика	1	1
140	самому существу	1	1
141	подвести итоги	1	1
142	ведь это	2	1
143	и мы	2	1
144	что она	1	1
145	и о	1	1
146	эволюционное развитие	2	1
147	тем же	1	1
148	стиля как	1	1
149	именно в	1	1
150	конечном счете	1	1
151	сама по	1	1
152	к которому	2	1
153	эти вопросы	1	1
154	процессе живого	1	1
155	что все	1	1
156	столь же	1	1
157	или даже	2	1
158	как будто	2	1
159	применения социологического	1	1
160	к вопросам	1	1
161	противном случае	1	1
162	ровно ничего	1	1
163	они не	1	1
164	обходится без	1	1
165	и только	3	1
166	поэтической формы	1	1
167	по самому	1	1
168	в ведение	1	1
169	лучшем случае	1	1
170	для этого	1	1
171	не из	1	1
172	в смысле	2	1
173	мы еще	1	1
174	в целом	1	1
175	крайней мере	1	1
176	вовсе не	1	1
177	больше того	1	1
178	я и	1	1
179	тем более	2	1
180	по крайней	1	1
181	перед нами	1	1
182	конечно только	1	1
183	всяком случае	1	1
184	только для	1	1
